Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3623671.8750	6.1736	-3.7745	1.7237	-1.2203	8.7267	4.2493	-0.4933	-0.8485	-0.0130	3625263.6719	0.1349	0.3553	-1.7069	-0.9279	9.7101	-0.6979	-0.3750	-0.8770	0.4817	3624785.1562	-0.3459	-0.6887	2.3989	0.4453	5.9916	-7.5794	0.0926	-0.0146	1.3106	3624746.0937	5.1125	13.8790	-20.7997	1.5065	9.2971	2.7689	0.0157	-0.3807	-0.8782	3624843.7500	3509015721.3289	3509012096.4851	-2.3428	-0.5726	7.9894	0.6369	9.6088	2.4360	0.4184	-0.5702	-0.4484	3625048.8281	0.0237	-0.1620	0.8123	1.1134	6.8019	-7.2591	-0.1540	1.3004	0.6995	3622236.3281	2.3730	-1.1806	1.5265	0.9147	9.6405	-0.9433	-0.6030	-0.6437	-0.3249	0.0000	0.0000
3623681.6406	6.8834	-6.9268	2.5945	-0.9797	8.7267	4.3973	-0.5143	-0.8854	-0.0412	3625273.4375	0.1349	0.3553	-1.7069	-0.9279	9.7117	-0.5407	-0.3750	-0.8770	0.4817	3624794.9219	-0.1308	-1.2553	1.4788	0.4453	5.9916	-7.5794	0.1006	-0.0375	1.2996	3624755.8594	5.1125	13.8790	-20.7997	1.5073	9.4499	2.8446	0.0000	-0.3539	-0.8712	3624853.5156	3509015721.3387	3509012096.4851	-2.3428	-0.5726	7.9894	0.4804	9.4517	2.2796	0.4000	-0.5957	-0.4568	3625058.5937	0.0237	-0.1620	0.8123	1.1126	6.8773	-7.3401	-0.1540	1.3004	0.6995	3622246.0937	2.3730	-1.1806	1.5265	1.1535	9.7934	-0.9448	-0.5826	-0.6264	-0.3295	0.0000	0.0000
3623691.4062	6.8834	-6.9268	2.5945	-0.9812	8.7267	4.2469	-0.4990	-0.8602	-0.0304	3625283.2031	0.1349	0.3553	-1.7069	-0.8483	9.6336	-0.5391	-0.3923	-0.8437	0.4839	3624804.6875	-0.1308	-1.2553	1.4788	0.3674	5.9932	-7.4250	0.1107	-0.0375	1.2621	3624765.6250	2.6481	8.6826	-18.1554	1.5870	9.3735	3.0762	0.0098	-0.3971	-0.8806	3624863.2812	3509015721.3484	3509012096.4851	-0.7513	2.3000	5.6288	0.4022	9.2962	2.2811	0.4061	-0.5638	-0.4463	3625068.3594	0.0424	-0.5516	1.1162	1.0353	6.9575	-7.1810	-0.1680	1.2689	0.7371	3622255.8594	2.3730	-1.1806	1.5265	1.3135	9.6413	-0.8656	-0.5918	-0.6475	-0.3364	0.0000	0.0000
3623701.1719	6.8834	-6.9268	2.5945	-1.2195	8.6504	4.3252	-0.5238	-0.8951	-0.0390	3625292.9687	0.1349	0.3553	-1.7069	-0.8483	9.7889	-0.6208	-0.4058	-0.8633	0.4817	3624814.4531	-0.1308	-1.2553	1.4788	0.4453	5.9924	-7.5026	0.1066	-0.0312	1.2863	3624775.3906	2.6481	8.6826	-18.1554	1.4338	9.2971	3.2329	0.0098	-0.3971	-0.8806	3624873.0469	3509015721.3582	3509012096.4851	-0.7513	2.3000	5.6288	0.4804	9.5287	2.1998	0.4061	-0.5638	-0.4463	3625078.1250	0.0424	-0.5516	1.1162	0.9558	6.8019	-7.2559	-0.1640	1.2815	0.7418	3622265.6250	3.8116	-0.3027	2.3934	1.2331	9.7170	-0.9441	-0.6030	-0.6284	-0.3295	0.0000	0.0000
3623710.9375	8.0271	-8.5491	3.5959	-0.9797	8.7267	4.3973	-0.5067	-0.8680	-0.0130	3625302.7344	0.1021	-0.0199	-2.2533	-0.8483	9.6352	-0.3819	-0.4058	-0.8633	0.4817	3624824.2187	-0.1308	-1.2553	1.4788	0.4453	5.9924	-7.5026	0.1066	-0.0312	1.2863	3624785.1562	2.6481	8.6826	-18.1554	1.4322	9.4499	3.0769	0.0176	-0.3848	-0.8899	3624882.8125	3509015721.3680	3509012096.4851	-0.7513	2.3000	5.6288	0.5587	9.6080	2.3570	0.4122	-0.5660	-0.4484	3625087.8906	0.0424	-0.5516	1.1162	1.0354	6.8035	-7.1779	-0.1660	1.3235	0.6995	3622275.3906	3.8116	-0.3027	2.3934	1.3104	9.6382	-1.1766	-0.5993	-0.6264	-0.3272	0.0000	0.0000
3623720.7031	8.0271	-8.5491	3.5959	-1.2195	8.6504	4.3252	-0.5200	-0.8913	-0.0325	3625312.5000	0.1021	-0.0199	-2.2533	-0.8483	9.6352	-0.3819	-0.3846	-0.8145	0.4817	3624833.9844	-0.0091	-1.2106	2.2535	0.4453	6.0708	-7.5033	0.1066	-0.0458	1.2974	3624794.9219	1.5613	-12.4668	-13.8610	1.0469	9.3735	3.2360	-0.0078	-0.3786	-0.8712	3624892.5781	3509015721.3777	3509012096.4851	-0.7513	2.3000	5.6288	0.7934	9.5311	2.4368	0.4245	-0.6043	-0.4379	3625097.6562	0.0424	-0.5516	1.1162	0.8777	6.8805	-7.1763	-0.1660	1.3235	0.6995	3622285.1562	3.8116	-0.3027	2.3934	1.3939	9.7185	-0.7886	-0.6011	-0.6226	-0.3341	0.0000	0.0000
3623730.4687	8.0271	-8.5491	3.5959	-1.1391	8.6504	4.3996	-0.5067	-0.8718	-0.0260	3625322.2656	0.1021	-0.0199	-2.2533	-0.7687	9.7125	-0.4621	-0.3808	-0.8477	0.4796	3624843.7500	-0.0091	-1.2106	2.2535	0.4453	6.1500	-7.4273	0.1288	-0.0167	1.2467	3624804.6875	1.5613	-12.4668	-13.8610	1.2767	9.2208	3.0036	0.0039	-0.3642	-0.8759	3624902.3437	3509015721.3875	3509012096.4851	1.0908	1.5786	2.4204	0.7934	9.5303	2.3578	0.4245	-0.6043	-0.4379	3625107.4219	-0.3343	-0.5909	0.9025	1.0338	6.8773	-7.3386	-0.1500	1.3088	0.7441	3622294.9219	7.2220	-2.1190	2.6964	1.3143	9.6421	-0.7878	-0.5881	-0.5939	-0.3226	0.0000	0.0000
