Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2636611.3281	2.8050	-0.9946	-0.1941	-0.3655	9.4905	2.0521	-0.3124	-0.7961	0.2993	2638203.1250	0.4325	1.3747	-0.4674	0.0274	9.7140	-0.3048	-0.4788	-0.7656	0.3398	2638203.1250	-0.2834	0.1736	-0.1019	1.7689	4.8889	-8.0426	-0.0986	0.0708	1.3965	2637685.5469	1.3929	-0.0956	0.3580	0.8743	9.6790	1.4590	0.0451	-0.5556	-0.7611	2638203.1250	3509014734.7472	3509012096.5441	-0.3866	-0.3935	0.9610	0.5587	9.5279	2.1208	0.2061	-0.5723	-0.5663	2638203.1250	0.0282	0.3725	-0.3051	-0.7903	5.0835	-8.4602	0.0540	1.4055	0.7183	2635361.3281	-1.3369	-1.0443	0.1747	0.5862	9.4775	-1.9526	-0.5269	-0.7222	-0.2673	0.0000	0.0000
2636621.0937	2.8050	-0.9946	-0.1941	-0.2046	9.5668	2.2002	-0.3219	-0.8214	0.3037	2638212.8906	0.4325	1.3747	-0.4674	0.0274	9.7132	-0.3835	-0.4788	-0.7656	0.3398	2638212.8906	-0.2834	0.1736	-0.1019	1.7689	5.0458	-8.0441	-0.0845	0.1062	1.3524	2637695.3125	1.3623	0.5713	0.2292	0.7962	9.6026	1.3833	0.0451	-0.5556	-0.7611	2638212.8906	3509014734.7570	3509012096.5441	-1.0422	1.4165	0.9178	0.5587	9.4525	2.3586	0.1898	-0.6319	-0.5705	2638212.8906	-0.5189	0.4878	-0.3800	-0.7887	5.3176	-8.3058	0.0460	1.3676	0.7606	2635371.0937	-1.3369	-1.0443	0.1747	0.5846	9.5524	-2.1089	-0.5176	-0.7280	-0.2880	0.0000	0.0000
2636630.8594	2.8050	-0.9946	-0.1941	-0.3648	9.5668	2.1265	-0.3200	-0.8039	0.2928	2638222.6562	0.4325	1.3747	-0.4674	-0.0522	9.7140	-0.3048	-0.5135	-0.8379	0.3355	2638222.6562	0.0075	-0.3786	-0.2471	1.6131	5.1235	-8.1202	-0.1227	0.0521	1.3921	2637705.0781	1.3623	0.5713	0.2292	0.7962	9.6026	1.3833	0.0333	-0.5741	-0.7588	2638222.6562	3509014734.7667	3509012096.5441	-1.0422	1.4165	0.9178	0.7152	9.6064	2.1990	0.1939	-0.5468	-0.5621	2638222.6562	-0.5189	0.4878	-0.3800	-0.7927	5.1557	-8.7004	0.0640	1.3950	0.7418	2635380.8594	-1.3369	-1.0443	0.1747	0.5058	9.4003	-2.0296	-0.5158	-0.6935	-0.2788	0.0000	0.0000
2636640.6250	3.3194	-4.4210	0.2802	-0.5234	9.5668	2.2033	-0.3314	-0.7922	0.2993	2638232.4219	0.4325	1.3747	-0.4674	0.0274	9.7921	-0.3064	-0.4788	-0.7871	0.3333	2638232.4219	0.0075	-0.3786	-0.2471	1.6910	4.9666	-8.1194	-0.1227	0.0521	1.3921	2637714.8437	1.3623	0.5713	0.2292	0.5633	9.7554	1.3069	0.0314	-0.5062	-0.7494	2638232.4219	3509014734.7765	3509012096.5441	-1.0422	1.4165	0.9178	0.6369	9.6834	2.1192	0.1939	-0.5468	-0.5621	2638232.4219	-0.5189	0.4878	-0.3800	-0.7123	5.0819	-8.5414	0.0540	1.3824	0.7113	2635390.6250	-1.3369	-1.0443	0.1747	0.5058	9.6296	-2.0319	-0.5176	-0.7490	-0.2926	0.0000	0.0000
2636650.3906	3.3194	-4.4210	0.2802	-0.6024	9.6432	2.2786	-0.3162	-0.7689	0.3015	2638242.1875	0.2945	0.2816	0.1903	0.1070	9.7952	0.0080	-0.4788	-0.7871	0.3333	2638242.1875	0.0075	-0.3786	-0.2471	1.7689	4.9674	-8.0434	-0.1026	0.0813	1.4097	2637724.6094	0.8419	0.7492	0.0791	0.7969	9.6790	1.4598	0.0314	-0.5062	-0.7494	2638242.1875	3509014734.7863	3509012096.5441	-1.0422	1.4165	0.9178	0.5587	9.6850	2.2772	0.1816	-0.5723	-0.5768	2638242.1875	-0.0053	0.5022	-0.5308	-0.6326	5.0065	-8.4619	0.0540	1.3824	0.7113	2635400.3906	-1.7915	-0.2270	0.3444	0.5854	9.4767	-2.0304	-0.5176	-0.7337	-0.2742	0.0000	0.0000
2636660.1562	3.3194	-4.4210	0.2802	-0.3633	9.5668	2.2769	-0.3219	-0.7864	0.3124	2638251.9531	0.2945	0.2816	0.1903	0.1866	9.7936	-0.1492	-0.4788	-0.8086	0.3376	2638251.9531	0.2289	0.1226	-0.1075	1.6910	4.9681	-7.9658	-0.0905	0.0458	1.3590	2637734.3750	0.8419	0.7492	0.0791	0.7188	9.6026	1.3841	0.0451	-0.5514	-0.7494	2638251.9531	3509014734.7960	3509012096.5441	-0.8588	-0.5263	0.9750	0.7152	9.6049	2.0410	0.1980	-0.5851	-0.5768	2638251.9531	-0.0053	0.5022	-0.5308	-0.7115	5.2374	-8.4649	0.0700	1.3824	0.7488	2635410.1562	-1.7915	-0.2270	0.3444	0.5839	9.4752	-2.1859	-0.5158	-0.7241	-0.2811	0.0000	0.0000
2636669.9219	2.9595	-3.8344	0.4771	-0.4445	9.5668	2.1273	-0.3200	-0.7728	0.3037	2638261.7187	0.2945	0.2816	0.1903	0.2662	9.7936	-0.1492	-0.4827	-0.8262	0.3398	2638261.7187	0.2289	0.1226	-0.1075	1.7689	4.9674	-8.0434	-0.1066	0.1021	1.3722	2637744.1406	0.8419	0.7492	0.0791	0.7188	9.6790	1.3834	0.0176	-0.5700	-0.7471	2638261.7187	3509014734.8058	3509012096.5441	-0.8588	-0.5263	0.9750	0.5587	9.4509	2.2006	0.1776	-0.5511	-0.5768	2638261.7187	-0.0053	0.5022	-0.5308	-0.7115	5.1605	-8.4634	0.0480	1.3887	0.7347	2635419.9219	-1.7915	-0.2270	0.3444	0.6642	9.3995	-2.1074	-0.5102	-0.6762	-0.2696	0.0000	0.0000
