feature
MAX_Thigh_R_Gyro_X
MAX_Thigh_R_Gyro_Y
MAX_Thigh_R_Gyro_Z
MAX_Thigh_R_Accel_X
MAX_Thigh_R_Accel_Y
MAX_Thigh_R_Accel_Z
MAX_Shank_R_Gyro_X
MAX_Shank_R_Gyro_Y
MAX_Shank_R_Gyro_Z
MAX_Shank_R_Accel_X
MAX_Shank_R_Accel_Y
MAX_Shank_R_Accel_Z
MAX_Foot_R_Gyro_X
MAX_Foot_R_Gyro_Y
MAX_Foot_R_Gyro_Z
MAX_Foot_R_Accel_X
MAX_Foot_R_Accel_Y
MAX_Foot_R_Accel_Z
MAX_Thigh_L_Gyro_X
MAX_Thigh_L_Gyro_Y
MAX_Thigh_L_Gyro_Z
MAX_Thigh_L_Accel_X
MAX_Thigh_L_Accel_Y
MAX_Thigh_L_Accel_Z
MAX_Shank_L_Gyro_X
MAX_Shank_L_Gyro_Y
MAX_Shank_L_Gyro_Z
MAX_Shank_L_Accel_X
MAX_Shank_L_Accel_Y
MAX_Shank_L_Accel_Z
MAX_Foot_L_Gyro_X
MAX_Foot_L_Gyro_Y
MAX_Foot_L_Gyro_Z
MAX_Foot_L_Accel_X
MAX_Foot_L_Accel_Y
MAX_Foot_L_Accel_Z
MAX_Pelvis_Gyro_X
MAX_Pelvis_Gyro_Y
MAX_Pelvis_Gyro_Z
MAX_Pelvis_Accel_X
MAX_Pelvis_Accel_Y
MAX_Pelvis_Accel_Z
MIN_Thigh_R_Gyro_X
MIN_Thigh_R_Gyro_Y
MIN_Thigh_R_Gyro_Z
MIN_Thigh_R_Accel_X
MIN_Thigh_R_Accel_Y
MIN_Thigh_R_Accel_Z
MIN_Shank_R_Gyro_X
MIN_Shank_R_Gyro_Y
MIN_Shank_R_Gyro_Z
MIN_Shank_R_Accel_X
MIN_Shank_R_Accel_Y
MIN_Shank_R_Accel_Z
MIN_Foot_R_Gyro_X
MIN_Foot_R_Gyro_Y
MIN_Foot_R_Gyro_Z
MIN_Foot_R_Accel_X
MIN_Foot_R_Accel_Y
MIN_Foot_R_Accel_Z
MIN_Thigh_L_Gyro_X
MIN_Thigh_L_Gyro_Y
MIN_Thigh_L_Gyro_Z
MIN_Thigh_L_Accel_X
MIN_Thigh_L_Accel_Y
MIN_Thigh_L_Accel_Z
MIN_Shank_L_Gyro_X
MIN_Shank_L_Gyro_Y
MIN_Shank_L_Gyro_Z
MIN_Shank_L_Accel_X
MIN_Shank_L_Accel_Y
MIN_Shank_L_Accel_Z
MIN_Foot_L_Gyro_X
MIN_Foot_L_Gyro_Y
MIN_Foot_L_Gyro_Z
MIN_Foot_L_Accel_X
MIN_Foot_L_Accel_Y
MIN_Foot_L_Accel_Z
MIN_Pelvis_Gyro_X
MIN_Pelvis_Gyro_Y
MIN_Pelvis_Gyro_Z
MIN_Pelvis_Accel_X
MIN_Pelvis_Accel_Y
MIN_Pelvis_Accel_Z
AVG_Thigh_R_Gyro_X
AVG_Thigh_R_Gyro_Y
AVG_Thigh_R_Gyro_Z
AVG_Thigh_R_Accel_X
AVG_Thigh_R_Accel_Y
AVG_Thigh_R_Accel_Z
AVG_Shank_R_Gyro_X
