Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3477255.8594	2.3782	4.3641	1.2011	-2.1044	9.0322	3.5030	0.3067	-0.7961	-0.0781	3478847.6562	0.1109	0.6761	-0.6761	-0.0522	9.7132	-0.3835	0.3154	-0.8359	0.2065	3478369.1406	-0.7126	0.6058	-0.7927	0.4453	6.3091	-7.1984	0.3380	-0.6646	0.4692	3478330.0781	-0.4133	10.1355	-3.0632	2.1914	9.5263	1.6018	-0.7529	-0.5412	-0.2225	3478427.7344	3509015574.9185	3509012096.4907	-0.6832	2.1007	1.7671	0.2457	9.6826	2.0402	-0.5041	-0.6617	-0.4674	3478632.8125	-1.0409	-0.3223	0.4852	0.6437	7.0394	-6.9360	-0.4180	0.6597	-0.0469	3475820.3125	-0.8351	2.7849	0.1546	1.2292	9.6366	-1.3321	-0.3340	-0.5843	0.4724	0.0000	0.0000
3477265.6250	1.8260	3.9860	-0.0324	-1.9458	9.0322	3.4262	0.2762	-0.8291	-0.0759	3478857.4219	0.3649	0.7799	-0.0485	0.1070	9.6336	-0.5391	0.3019	-0.8027	0.2344	3478378.9062	-0.1461	0.2442	-0.6347	0.3674	6.2300	-7.2737	0.3461	-0.5854	0.4405	3478339.8437	-0.4133	10.1355	-3.0632	2.1147	9.6026	1.6790	-0.7412	-0.5494	-0.1874	3478437.5000	3509015574.9282	3509012096.4907	-0.2769	0.6752	1.2627	0.4022	9.6834	2.1192	-0.5041	-0.6617	-0.4674	3478642.5781	-0.3425	-0.2471	0.0879	0.5649	7.1164	-6.9360	-0.4420	0.6408	0.0211	3475830.0781	-0.8351	2.7849	0.1546	1.0700	9.4837	-1.3306	-0.3469	-0.5996	0.5023	0.0000	0.0000
3477275.3906	1.8260	3.9860	-0.0324	-1.9466	8.9558	3.3518	0.2933	-0.8194	-0.0846	3478867.1875	0.3649	0.7799	-0.0485	0.1866	9.7881	-0.6994	0.3019	-0.8027	0.2344	3478388.6719	-0.1461	0.2442	-0.6347	0.4453	6.2284	-7.4281	0.3461	-0.5854	0.4405	3478349.6094	-0.4133	10.1355	-3.0632	1.9615	9.6026	1.8349	-0.7863	-0.5514	-0.1803	3478447.2656	3509015574.9380	3509012096.4907	-0.2769	0.6752	1.2627	0.4804	9.6049	2.0410	-0.4980	-0.6298	-0.5116	3478652.3437	-0.3425	-0.2471	0.0879	0.6421	7.1902	-7.0982	-0.4580	0.6282	-0.0305	3475839.8437	1.0260	4.3287	0.6863	1.0731	9.4868	-1.0195	-0.3451	-0.5900	0.4770	0.0000	0.0000
3477285.1562	1.8260	3.9860	-0.0324	-1.9458	8.9558	3.4270	0.2743	-0.8408	-0.0716	3478876.9531	0.3649	0.7799	-0.0485	0.1070	9.7132	-0.3835	0.2750	-0.8437	0.2129	3478398.4375	-0.1461	0.2442	-0.6347	0.2895	6.2307	-7.1961	0.3219	-0.5813	0.4824	3478359.3750	-0.4133	10.1355	-3.0632	1.8818	9.5263	1.6049	-0.7863	-0.5514	-0.1803	3478457.0312	3509015574.9478	3509012096.4907	-0.2769	0.6752	1.2627	0.4804	9.6810	1.8822	-0.4531	-0.6447	-0.5137	3478662.1094	-0.3425	-0.2471	0.0879	0.5649	7.0394	-6.9344	-0.4580	0.6282	-0.0305	3475849.6094	1.0260	4.3287	0.6863	0.9935	9.4104	-1.0188	-0.3599	-0.6073	0.4862	0.0000	0.0000
3477294.9219	2.5524	2.9355	-1.6954	-1.8669	9.0322	3.3502	0.3048	-0.7942	-0.0803	3478886.7187	0.1429	-0.0858	0.2063	0.0274	9.8701	-0.3080	0.3154	-0.8281	0.2108	3478408.2031	-0.0679	0.3790	-0.5125	0.4453	6.2284	-7.4281	0.3239	-0.6354	0.4670	3478369.1406	0.6276	2.4052	-2.3026	1.8052	9.4499	1.6836	-0.7510	-0.5679	-0.2225	3478466.7969	3509015574.9575	3509012096.4907	-0.1909	0.2923	0.7228	0.3240	9.6049	2.0410	-0.4959	-0.6723	-0.4695	3478671.8750	-0.0951	0.1450	-0.1489	0.6429	7.1148	-7.0171	-0.4160	0.6345	-0.0376	3475859.3750	1.0260	4.3287	0.6863	0.9912	9.4080	-1.2520	-0.3377	-0.5996	0.4770	0.0000	0.0000
3477304.6875	2.5524	2.9355	-1.6954	-2.0262	8.8795	3.3533	0.2686	-0.8408	-0.0824	3478896.4844	0.1429	-0.0858	0.2063	0.0274	9.7897	-0.5422	0.2904	-0.8047	0.2280	3478417.9687	-0.0679	0.3790	-0.5125	0.2895	6.3084	-7.2737	0.3239	-0.6354	0.4670	3478378.9062	0.6276	2.4052	-2.3026	1.7286	9.4499	1.7616	-0.7451	-0.5350	-0.1874	3478476.5625	3509015574.9673	3509012096.4907	-0.1909	0.2923	0.7228	0.4804	9.6049	2.0410	-0.4959	-0.6723	-0.4695	3478681.6406	-0.0951	0.1450	-0.1489	0.6445	7.0410	-6.8564	-0.4500	0.6282	0.0188	3475869.1406	2.8254	4.3590	1.1296	0.9116	9.4845	-1.2528	-0.3581	-0.6073	0.4931	0.0000	0.0000
3477314.4531	2.5524	2.9355	-1.6954	-2.0240	8.9558	3.5782	0.2933	-0.8117	-0.0846	3478906.2500	0.1429	-0.0858	0.2063	0.0274	9.7905	-0.4636	0.2904	-0.8047	0.2280	3478427.7344	-0.0679	0.3790	-0.5125	0.4453	6.3076	-7.3520	0.3441	-0.6312	0.4251	3478388.6719	0.6276	2.4052	-2.3026	1.8841	9.5263	1.8364	-0.7451	-0.5350	-0.1874	3478486.3281	3509015574.9771	3509012096.4907	-0.1909	0.2923	0.7228	0.4804	9.6850	2.2772	-0.4918	-0.6106	-0.4989	3478691.4062	-0.0951	0.1450	-0.1489	0.6421	7.0362	-7.0951	-0.4700	0.6303	-0.0235	3475878.9062	2.8254	4.3590	1.1296	0.9108	9.6366	-1.3321	-0.3525	-0.5996	0.4885	0.0000	0.0000
