Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
468984.3750	-3.2651	-4.4012	-1.6280	-2.3322	8.4212	4.6395	0.4190	-0.6816	-0.2343	468984.3750	-0.6687	-0.9064	-0.9102	0.6642	9.3838	-2.1066	0.3154	-0.8145	0.3204	468984.3750	-0.3738	0.1859	0.0968	-0.7226	4.4117	-8.7044	0.4990	-0.5167	0.6454	468808.5937	-2.1889	-5.7507	2.3629	-0.4442	9.6026	1.1641	-0.5588	-0.5947	-0.3068	468984.3750	3509012565.5950	3509012096.6106	0.3325	-3.1212	1.2554	0.7934	9.5764	-0.8032	-0.6694	-0.5362	0.0926	468984.3750	-0.7168	-0.0658	0.1123	0.0827	6.1737	-7.8627	-0.7240	0.4475	0.2582	468984.3750	3.9785	-4.2228	-0.6895	0.1319	9.9595	0.3755	-0.1095	-0.6571	0.4539	0.0000	0.0000
468994.1406	0.4704	0.8238	0.0007	-2.3337	8.4976	4.4883	0.3924	-0.6641	-0.2364	468994.1406	-0.6687	-0.9064	-0.9102	0.5050	9.4603	-2.2654	0.3154	-0.8145	0.3204	468994.1406	-0.3738	0.1859	0.0968	-0.8005	4.3341	-8.6260	0.4930	-0.4542	0.6718	468818.3594	-2.1889	-5.7507	2.3629	-0.6741	9.6790	1.3973	-0.5569	-0.6420	-0.3232	468994.1406	3509012565.6048	3509012096.6106	0.3325	-3.1212	1.2554	0.8716	9.6526	-0.9620	-0.6735	-0.6106	0.0484	468994.1406	-0.7937	0.0399	0.2338	0.0835	6.1753	-7.7831	-0.8700	0.5735	0.2535	468994.1406	-4.3745	-4.7374	-0.8858	0.0507	9.9580	0.2200	-0.1169	-0.6877	0.4194	0.0000	0.0000
469003.9062	0.4704	0.8238	0.0007	-2.0954	8.4976	4.4107	0.4133	-0.6447	-0.2256	469003.9062	-0.6687	-0.9064	-0.9102	0.5846	9.4611	-2.1868	0.3250	-0.8223	0.3376	469003.9062	-0.3738	0.1859	0.0968	-0.8005	4.1772	-8.6244	0.4467	-0.5062	0.6718	468828.1250	-2.1889	-5.7507	2.3629	-0.5974	9.6790	1.3193	-0.5569	-0.6420	-0.3232	469003.9062	3509012565.6145	3509012096.6106	-0.1373	-4.3086	-0.0125	0.8716	9.6542	-0.8039	-0.6735	-0.6106	0.0484	469003.9062	-0.7937	0.0399	0.2338	0.0047	6.0983	-7.7800	-0.8700	0.5735	0.2535	469003.9062	-4.3745	-4.7374	-0.8858	0.1303	9.8815	0.2207	-0.1002	-0.6916	0.4493	0.0000	0.0000
469013.6719	0.4704	0.8238	0.0007	-2.0931	8.3449	4.6378	0.3867	-0.6544	-0.2343	469013.6719	-0.3809	0.5880	-0.1790	0.5050	9.3815	-2.3424	0.3019	-0.7969	0.3548	469013.6719	-0.2664	0.2709	-0.3747	-0.8005	4.0996	-8.5468	0.4467	-0.5062	0.6718	468837.8906	0.6582	-3.4398	2.6272	-0.5193	9.6026	1.3965	-0.5373	-0.6605	-0.3185	469013.6719	3509012565.6243	3509012096.6106	-0.1373	-4.3086	-0.0125	0.9499	9.5756	-0.8822	-0.6633	-0.6000	0.0611	469013.6719	-0.7937	0.0399	0.2338	0.0836	5.8673	-7.7770	-0.9020	0.5735	0.2113	469013.6719	-4.3745	-4.7374	-0.8858	-0.0297	9.8043	0.1438	-0.1020	-0.6935	0.4355	0.0000	0.0000
469023.4375	-1.0164	-1.8462	2.4759	-2.0946	8.4976	4.4859	0.4152	-0.6621	-0.2321	469023.4375	-0.3809	0.5880	-0.1790	0.6642	9.4603	-2.2654	0.3058	-0.7969	0.3161	469023.4375	-0.2664	0.2709	-0.3747	-0.7226	4.3348	-8.5499	0.4909	-0.5312	0.6410	468847.6562	0.6582	-3.4398	2.6272	-0.5944	9.7554	1.6273	-0.5608	-0.5947	-0.3091	469023.4375	3509012565.6341	3509012096.6106	-0.1373	-4.3086	-0.0125	0.9499	9.6542	-0.8039	-0.6898	-0.5596	0.1095	469023.4375	-0.7937	0.0399	0.2338	-0.0733	6.0229	-7.6974	-0.7340	0.4853	0.2629	469023.4375	1.0081	-2.0584	0.4143	0.0500	9.6514	0.1453	-0.0891	-0.6628	0.4539	0.0000	0.0000
469033.2031	-1.0164	-1.8462	2.4759	-2.1743	8.5740	4.4859	0.4000	-0.6932	-0.2408	469033.2031	-0.3809	0.5880	-0.1790	0.5846	9.4611	-2.1868	0.3058	-0.7969	0.3161	469033.2031	-0.2664	0.2709	-0.3747	-0.7226	4.3341	-8.6268	0.5091	-0.4625	0.6542	468857.4219	0.6582	-3.4398	2.6272	-0.3638	9.6026	1.4721	-0.5510	-0.6440	-0.3279	469033.2031	3509012565.6438	3509012096.6106	-0.1858	-5.4238	-0.2993	1.1064	9.7319	-0.8047	-0.6898	-0.5596	0.1095	469033.2031	-0.5589	0.0285	0.3020	-0.0733	6.0229	-7.6974	-0.9080	0.6050	0.2535	469033.2031	1.0081	-2.0584	0.4143	-0.0289	9.8051	0.2215	-0.1002	-0.6954	0.4263	0.0000	0.0000
469042.9687	-1.0164	-1.8462	2.4759	-2.1751	8.6504	4.4100	0.4210	-0.6738	-0.2364	469042.9687	0.0371	-0.0583	-1.0135	0.6642	9.5375	-2.3455	0.3327	-0.8203	0.3398	469042.9687	-0.4688	-0.0362	-0.2542	-0.8005	4.3341	-8.6260	0.5091	-0.4625	0.6542	468867.1875	3.7655	-3.6133	3.4156	-0.4404	9.6790	1.5494	-0.5510	-0.6440	-0.3279	469042.9687	3509012565.6536	3509012096.6106	-0.1858	-5.4238	-0.2993	0.9499	9.7319	-0.8047	-0.6714	-0.5915	0.0695	469042.9687	-0.5589	0.0285	0.3020	-0.0749	6.0198	-7.8565	-0.9080	0.6050	0.2535	469042.9687	1.0081	-2.0584	0.4143	0.0492	9.6506	0.0675	-0.0965	-0.7031	0.4562	0.0000	0.0000
