Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2713740.2344	3.0911	1.3806	-2.4827	-0.9174	9.5668	2.6585	0.2571	-0.7806	-0.5987	2715332.0312	0.7142	0.4062	0.2998	-0.2114	9.7125	-0.4621	0.3904	-0.9395	-0.1419	2715332.0312	-0.2223	0.2082	-0.3302	1.6131	5.0450	-8.1194	-0.2918	-0.6312	0.4670	2714814.4531	3.5818	-0.9414	0.8744	0.1083	9.5263	2.2402	-0.5176	-0.8683	-0.0843	2715332.0312	3509014811.8606	3509012096.5285	0.3181	2.4116	-0.1903	0.7934	9.5287	2.1998	-0.4204	-0.8574	0.0379	2715332.0312	-0.0667	0.4710	-0.4234	-0.7123	5.0819	-8.5414	-0.7940	0.9832	0.3568	2712304.6875	1.8373	1.9979	-0.3311	0.5027	9.2442	-2.3391	0.1243	-0.7510	0.5415	0.0000	0.0000
2713750.0000	3.0911	1.3806	-2.4827	-0.8369	9.4905	2.7337	0.2495	-0.7903	-0.6009	2715341.7969	0.7142	0.4062	0.2998	-0.1318	9.7125	-0.4621	0.3577	-0.9746	-0.1312	2715341.7969	-0.2223	0.2082	-0.3302	1.6131	4.9658	-8.1954	-0.2837	-0.6250	0.4515	2714824.2187	3.5818	-0.9414	0.8744	0.4193	9.5263	2.3915	-0.5098	-0.8930	-0.0867	2715341.7969	3509014811.8703	3509012096.5285	0.3181	2.4116	-0.1903	0.8716	9.6064	2.1990	-0.4184	-0.8660	0.0274	2715341.7969	-0.0667	0.4710	-0.4234	-0.6343	5.1572	-8.6240	-0.7880	0.9748	0.3545	2712314.4531	1.6749	1.3168	0.1603	0.4216	9.3956	-2.4961	0.1224	-0.7490	0.5553	0.0000	0.0000
2713759.7656	3.0911	1.3806	-2.4827	-0.8392	9.4141	2.5088	0.2514	-0.7981	-0.5944	2715351.5625	0.7142	0.4062	0.2998	-0.2114	9.7125	-0.4621	0.3788	-0.9746	-0.1441	2715351.5625	-0.2223	0.2082	-0.3302	1.7689	4.9681	-7.9665	-0.2837	-0.6250	0.4515	2714833.9844	2.9236	2.6930	1.4844	0.4201	9.3735	2.4702	-0.5059	-0.8889	-0.0913	2715351.5625	3509014811.8801	3509012096.5285	0.1584	0.3041	0.6004	0.7152	9.6826	2.0402	-0.4184	-0.8660	0.0274	2715351.5625	-0.1446	0.7623	-0.4090	-0.7911	5.2359	-8.5429	-0.7880	0.9748	0.3545	2712324.2187	1.6749	1.3168	0.1603	0.3419	9.4720	-2.4969	0.1280	-0.7184	0.5461	0.0000	0.0000
2713769.5312	3.4968	2.8187	-2.1683	-0.9978	9.3377	2.5864	0.2667	-0.8136	-0.6030	2715361.3281	0.7142	0.4062	0.2998	-0.2114	9.7125	-0.4621	0.3942	-0.9414	-0.1376	2715361.3281	0.0176	0.1240	-0.0750	1.6131	4.9651	-8.2723	-0.2857	-0.6125	0.4714	2714843.7500	2.9236	2.6930	1.4844	0.4240	9.4499	2.8554	-0.5098	-0.8909	-0.0984	2715361.3281	3509014811.8899	3509012096.5285	0.1584	0.3041	0.6004	0.7152	9.6041	1.9620	-0.4286	-0.8426	0.0189	2715361.3281	-0.1446	0.7623	-0.4090	-0.6334	5.0049	-8.5414	-0.7940	0.9937	0.3662	2712333.9844	1.6749	1.3168	0.1603	0.4216	9.3956	-2.4961	0.1224	-0.7261	0.5461	0.0000	0.0000
2713779.2969	3.4968	2.8187	-2.1683	-0.9181	9.4905	2.5841	0.2514	-0.8175	-0.5922	2715371.0937	0.6636	0.8558	0.3511	-0.1318	9.7913	-0.3850	0.3942	-0.9414	-0.1376	2715371.0937	0.0176	0.1240	-0.0750	1.6910	4.8882	-8.1186	-0.2757	-0.6208	0.4626	2714853.5156	2.9236	2.6930	1.4844	0.5772	9.5263	2.6987	-0.5098	-0.8909	-0.0984	2715371.0937	3509014811.8996	3509012096.5285	0.1584	0.3041	0.6004	0.7152	9.6041	1.9620	-0.4204	-0.8511	0.0295	2715371.0937	-0.1446	0.7623	-0.4090	-0.6326	5.0065	-8.4619	-0.8100	0.9601	0.3451	2712343.7500	1.8847	2.2249	-0.1512	0.3443	9.3979	-2.2629	0.1224	-0.7567	0.5438	0.0000	0.0000
2713789.0625	3.4968	2.8187	-2.1683	-0.8369	9.3377	2.7352	0.2629	-0.8078	-0.5987	2715380.8594	0.6636	0.8558	0.3511	-0.2114	9.7897	-0.5422	0.3635	-0.9785	-0.1398	2715380.8594	0.0176	0.1240	-0.0750	1.6910	4.9666	-8.1194	-0.2696	-0.6125	0.4471	2714863.2812	3.9339	-1.4141	0.0703	0.5764	9.5263	2.6215	-0.5098	-0.9053	-0.0937	2715380.8594	3509014811.9094	3509012096.5285	-0.7982	0.6193	0.9405	0.6369	9.5287	2.1998	-0.4163	-0.8638	0.0337	2715380.8594	-0.0516	0.0468	-0.4798	-0.4759	5.1588	-8.5476	-0.8000	1.0105	0.3638	2712353.5156	1.8847	2.2249	-0.1512	0.5027	9.3971	-2.3406	0.1095	-0.7414	0.5576	0.0000	0.0000
2713798.8281	2.9369	6.5064	-1.9721	-0.7595	9.4141	2.5080	0.2533	-0.8175	-0.5922	2715390.6250	0.6636	0.8558	0.3511	-0.2114	9.7117	-0.5407	0.3788	-0.9492	-0.1398	2715390.6250	0.0789	0.1703	-0.1207	1.6910	4.9674	-8.0426	-0.2696	-0.6125	0.4471	2714873.0469	3.9339	-1.4141	0.0703	0.4982	9.6026	2.5443	-0.5353	-0.9074	-0.0913	2715390.6250	3509014811.9192	3509012096.5285	-0.7982	0.6193	0.9405	0.7934	9.6818	1.9612	-0.4163	-0.8638	0.0337	2715390.6250	-0.0516	0.0468	-0.4798	-0.7131	5.1573	-8.6225	-0.8000	1.0105	0.3638	2712363.2812	1.8847	2.2249	-0.1512	0.2623	9.5485	-2.4977	0.0983	-0.7625	0.5415	0.0000	0.0000
