Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
169023.4375	1.5017	3.8665	2.2944	-2.8292	9.1086	2.7574	0.4857	-0.7184	-0.3644	169023.4375	-1.6129	2.9699	-2.8213	1.3806	9.6391	0.0111	0.2538	-1.0098	-0.1118	169023.4375	0.1760	-0.2612	-0.0652	-0.5669	4.0181	-8.8556	0.0382	-0.6125	0.5793	169023.4375	-1.3164	3.7098	-1.5320	0.1887	9.5263	2.5482	-0.5235	-0.8519	-0.1148	169023.4375	3509012265.6457	3509012096.6222	0.1824	1.7405	-0.0439	0.8716	9.6637	0.1441	-0.3592	-0.8106	0.2758	169023.4375	1.8492	0.6947	-0.8137	0.1584	5.7824	-8.1748	-0.9400	1.1282	0.3662	169023.4375	0.8882	2.5579	2.1163	-0.2044	9.7123	-1.4106	0.2263	-0.7989	0.4355	0.0000	0.0000
169033.2031	1.5017	3.8665	2.2944	-2.7495	8.9558	2.7581	0.4705	-0.7223	-0.3688	169033.2031	-1.6129	2.9699	-2.8213	1.4602	9.7195	0.2454	0.2538	-1.0098	-0.1118	169033.2031	0.1760	-0.2612	-0.0652	-0.8005	4.0957	-8.9309	0.0423	-0.5958	0.5903	169033.2031	-1.3164	3.7098	-1.5320	0.1098	9.6026	2.3938	-0.5039	-0.8724	-0.1124	169033.2031	3509012265.6554	3509012096.6222	0.1824	1.7405	-0.0439	0.8716	9.7422	0.2223	-0.3490	-0.8064	0.2653	169033.2031	1.8492	0.6947	-0.8137	0.0804	5.7840	-8.0937	-0.9560	1.1050	0.3709	169033.2031	0.0428	1.6195	1.2409	-0.0436	9.7139	-1.2551	0.2134	-0.8238	0.4194	0.0000	0.0000
169042.9687	0.5989	5.9007	2.3479	-2.9097	9.1850	2.6823	0.4838	-0.7262	-0.3644	169042.9687	-2.3378	3.6478	-1.5545	1.4602	9.5595	-0.1445	0.2615	-0.9707	-0.1032	169042.9687	0.1760	-0.2612	-0.0652	-0.7226	4.0988	-8.6244	0.0443	-0.5958	0.5683	169042.9687	1.2552	3.8908	-1.9287	0.2646	9.6026	2.3923	-0.5039	-0.8724	-0.1124	169042.9687	3509012265.6652	3509012096.6222	0.1824	1.7405	-0.0439	0.7152	9.7422	0.2223	-0.3714	-0.7979	0.2737	169042.9687	0.4344	-0.2676	-0.2658	0.0016	5.7070	-8.0905	-0.9560	1.1050	0.3709	169042.9687	0.0428	1.6195	1.2409	-0.1248	9.6358	-1.4098	0.2059	-0.8123	0.4424	0.0000	0.0000
169052.7344	0.5989	5.9007	2.3479	-2.6736	9.3377	2.3775	0.4743	-0.7223	-0.3688	169052.7344	-2.3378	3.6478	-1.5545	1.4602	9.6399	0.0898	0.2250	-1.0117	-0.1054	169052.7344	-0.0788	-0.1630	-0.2441	-0.8005	4.0189	-8.7765	0.0443	-0.5958	0.5683	169052.7344	1.2552	3.8908	-1.9287	0.1864	9.8317	2.3136	-0.5137	-0.8374	-0.1030	169052.7344	3509012265.6750	3509012096.6222	0.1824	1.7405	-0.0439	0.5587	9.6644	0.2231	-0.3714	-0.7979	0.2737	169052.7344	0.4344	-0.2676	-0.2658	0.0804	5.6300	-8.0906	-0.9620	1.1218	0.3474	169052.7344	0.0428	1.6195	1.2409	-0.1248	9.7123	-1.4106	0.2115	-0.8008	0.4147	0.0000	0.0000
169062.5000	0.5989	5.9007	2.3479	-2.7488	9.0322	2.8326	0.5048	-0.7146	-0.3709	169062.5000	-2.3378	3.6478	-1.5545	1.4602	9.6399	0.0898	0.2577	-0.9863	-0.1054	169062.5000	-0.0788	-0.1630	-0.2441	-0.7226	4.0973	-8.7780	0.0463	-0.5667	0.5771	169062.5000	1.2552	3.8908	-1.9287	0.1872	9.6790	2.3923	-0.5235	-0.8436	-0.1077	169062.5000	3509012265.6847	3509012096.6222	-0.7316	2.6819	-0.0191	0.7934	9.6629	0.0651	-0.3551	-0.7915	0.2737	169062.5000	0.4344	-0.2676	-0.2658	0.0828	5.7118	-7.8535	-0.9460	1.1345	0.3662	169062.5000	0.1134	2.0584	0.6925	-0.0452	9.6358	-1.4098	0.2282	-0.8084	0.4424	0.0000	0.0000
169072.2656	-0.6611	-1.5736	2.3889	-2.8292	9.0322	2.7582	0.4857	-0.7223	-0.3731	169072.2656	-1.6361	2.8792	-0.5715	1.3010	9.7172	0.0096	0.2577	-0.9863	-0.1054	169072.2656	-0.0788	-0.1630	-0.2441	-0.7226	4.0973	-8.7780	0.0402	-0.5604	0.5925	169072.2656	0.1225	-0.9688	-1.3599	0.1864	9.6790	2.3151	-0.5235	-0.8621	-0.1148	169072.2656	3509012265.6945	3509012096.6222	-0.7316	2.6819	-0.0191	0.7934	9.5867	0.2239	-0.3592	-0.7872	0.2611	169072.2656	0.5281	-0.0590	-0.2557	-0.0764	5.6317	-8.0079	-0.9560	1.1155	0.3545	169072.2656	0.1134	2.0584	0.6925	0.0344	9.6358	-1.4098	0.2041	-0.8218	0.4240	0.0000	0.0000
169082.0312	-0.6611	-1.5736	2.3889	-2.9894	9.1086	2.6838	0.5105	-0.7126	-0.3753	169082.0312	-1.6361	2.8792	-0.5715	1.3010	9.5611	0.0127	0.2500	-0.9902	-0.1054	169082.0312	0.0417	-0.1817	-0.1391	-0.7226	4.0181	-8.8541	0.0382	-0.5750	0.5881	169082.0312	0.1225	-0.9688	-1.3599	0.1872	9.5263	2.3938	-0.5235	-0.8621	-0.1148	169082.0312	3509012265.7043	3509012096.6222	-0.7316	2.6819	-0.0191	0.7934	9.8200	0.2216	-0.3571	-0.7723	0.2779	169082.0312	0.5281	-0.0590	-0.2557	-0.0764	5.6317	-8.0079	-0.9560	1.1155	0.3545	169082.0312	0.1134	2.0584	0.6925	-0.1232	9.5609	-1.2536	0.2041	-0.8027	0.4401	0.0000	0.0000
