Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
1689736.3281	-1.9509	-8.5567	-10.8567	-1.3970	9.4905	2.5137	0.2648	-0.8155	-0.5119	1691152.3437	-1.3219	-3.2243	-14.1273	-3.3955	9.3042	-2.2623	0.5250	-0.8301	0.0215	1691152.3437	-5.4651	0.0332	-0.4620	-0.0998	4.3355	-8.4793	-0.0704	-0.5729	0.5573	1690976.5625	-3.1226	1.9665	3.0149	1.7510	9.6026	3.9986	-0.6529	-0.7778	-0.2342	1691152.3437	3509013787.7117	3509012096.5594	2.7264	-10.8174	10.5673	0.0892	9.2606	-1.2741	-0.2592	-0.7809	0.4105	1691152.3437	-9.5634	4.2138	-1.1377	-0.2441	4.4563	-9.0158	-0.8320	1.0714	0.3873	1688896.4844	1.3934	0.4692	0.9141	0.6009	10.0275	-0.4806	0.1243	-0.8659	0.2995	0.0000	0.0000
1689746.0937	-1.9509	-8.5567	-10.8567	-1.4000	9.5668	2.2121	0.2819	-0.8019	-0.5206	1691162.1094	-1.3219	-3.2243	-14.1273	-3.1567	9.1442	-2.6522	0.5231	-0.8828	0.0172	1691162.1094	-5.4651	0.0332	-0.4620	-0.0219	4.4132	-8.5577	-0.0704	-0.5729	0.5573	1690986.3281	-3.1226	1.9665	3.0149	1.9034	9.8317	3.7632	-0.6529	-0.7778	-0.2342	1691162.1094	3509013787.7215	3509012096.5594	3.1404	-6.0378	10.8295	0.4804	9.8042	-1.3585	-0.2755	-0.8064	0.4042	1691162.1094	-9.5634	4.2138	-1.1377	-0.2449	4.3007	-9.0923	-0.8320	1.0714	0.3873	1688906.2500	1.3934	0.4692	0.9141	0.7617	10.0290	-0.3251	0.1187	-0.8602	0.2811	0.0000	0.0000
1689755.8594	-1.9509	-8.5567	-10.8567	-1.1610	9.6432	2.2089	0.2648	-0.8155	-0.5119	1691171.8750	-0.3986	3.7222	-15.9279	-2.7587	9.2238	-2.4965	0.5346	-0.8418	0.0172	1691171.8750	-5.4651	0.0332	-0.4620	-0.2555	4.4901	-8.7098	-0.0744	-0.5583	0.5661	1690996.0937	-3.1226	1.9665	3.0149	2.0597	9.6026	3.9184	-0.6294	-0.7695	-0.2342	1691171.8750	3509013787.7313	3509012096.5594	3.1404	-6.0378	10.8295	0.7934	10.1921	-1.4414	-0.2449	-0.7660	0.4084	1691171.8750	-9.5634	4.2138	-1.1377	-0.1645	4.3039	-8.9348	-0.8180	1.0924	0.4061	1688916.0156	2.0871	-12.1084	-1.2049	0.6032	10.0298	-0.2473	0.1336	-0.8525	0.2972	0.0000	0.0000
1689765.6250	-2.1558	-9.6593	-14.3919	-0.9264	9.6432	1.7554	0.2724	-0.8078	-0.5141	1691181.6406	-0.3986	3.7222	-15.9279	-2.2811	9.1458	-2.4950	0.5346	-0.8418	0.0172	1691181.6406	-5.4651	0.0332	-0.4620	-0.1776	4.4132	-8.5562	-0.0744	-0.5646	0.5727	1691005.8594	-0.2449	0.7192	5.0120	2.1363	9.6026	3.8404	-0.6216	-0.7490	-0.2342	1691181.6406	3509013787.7410	3509012096.5594	3.1404	-6.0378	10.8295	0.6369	10.3492	-1.2850	-0.2449	-0.7660	0.4084	1691181.6406	-7.8622	3.8572	-1.1400	-0.1645	4.3039	-8.9348	-0.8140	1.0651	0.3873	1688925.7812	2.0871	-12.1084	-1.2049	0.4487	9.9580	0.2200	0.1280	-0.8966	0.2696	0.0000	0.0000
1689775.3906	-2.1558	-9.6593	-14.3919	-1.0046	9.7959	1.9050	0.2457	-0.8388	-0.5033	1691191.4062	-0.3986	3.7222	-15.9279	-2.0423	9.1458	-2.4950	0.5154	-0.8574	0.0108	1691191.4062	-3.3519	0.0020	-0.7267	-0.0219	4.4924	-8.4817	-0.0805	-0.5979	0.5661	1691015.6250	-0.2449	0.7192	5.0120	2.2137	9.6026	3.8396	-0.6490	-0.7551	-0.2389	1691191.4062	3509013787.7508	3509012096.5594	3.1404	-6.0378	10.8295	0.2457	10.0382	-1.2819	-0.2449	-0.7702	0.4084	1691191.4062	-7.8622	3.8572	-1.1400	-0.0857	4.3038	-8.9364	-0.8120	1.0903	0.3967	1688935.5469	2.0871	-12.1084	-1.2049	0.0460	10.1062	-0.2481	0.1150	-0.9061	0.2834	0.0000	0.0000
1689785.1562	-2.1558	-9.6593	-14.3919	-0.6047	9.9487	2.0499	0.2571	-0.8252	-0.5184	1691201.1719	0.0431	3.9853	-15.0324	-1.8035	9.1474	-2.3377	0.5173	-0.8828	0.0172	1691201.1719	-3.3519	0.0020	-0.7267	-0.0998	4.4916	-8.5577	-0.0805	-0.5979	0.5661	1691025.3906	-0.2449	0.7192	5.0120	2.2114	9.4499	3.6096	-0.6490	-0.7551	-0.2389	1691201.1719	3509013787.7606	3509012096.5594	2.1908	-3.1550	14.9018	-0.1455	9.6518	-1.0410	-0.2694	-0.7745	0.4105	1691201.1719	-7.8622	3.8572	-1.1400	-0.2433	4.2269	-8.9317	-0.8120	1.0903	0.3967	1688945.3125	3.8538	-14.9084	-0.9876	-0.1101	10.1858	0.0622	0.1150	-0.9004	0.2834	0.0000	0.0000
1689794.9219	-6.0005	-10.6948	-15.8740	-0.6829	10.1014	2.1996	0.2419	-0.8330	-0.5011	1691210.9375	0.0431	3.9853	-15.0324	-1.6443	9.1481	-2.2591	0.5269	-0.8828	0.0172	1691210.9375	-3.3519	0.0020	-0.7267	-0.1776	4.5708	-8.4809	-0.0724	-0.5917	0.5661	1691035.1562	-4.5155	2.2087	9.1744	2.0575	9.2971	3.6898	-0.6373	-0.7695	-0.2295	1691210.9375	3509013787.7703	3509012096.5594	2.1908	-3.1550	14.9018	-0.5367	9.5733	-1.1192	-0.2306	-0.7851	0.4211	1691210.9375	-7.8622	3.8572	-1.1400	-0.3229	4.2253	-9.0096	-0.8120	1.0714	0.4061	1688955.0781	3.8538	-14.9084	-0.9876	-0.3481	10.4160	0.1376	0.1280	-0.8602	0.2880	0.0000	0.0000
