Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3675400.3906	3.2808	11.7193	7.2233	-1.4669	9.0322	3.4966	0.3676	-0.8019	-0.5119	3676992.1875	0.9206	2.4418	-0.3505	-1.1667	9.8693	-0.3866	0.4250	-0.9082	-0.1462	3676513.6719	0.2582	0.0760	-0.0930	0.3674	6.0716	-7.4257	-0.1006	-0.7187	0.3811	3676474.6094	1.6838	2.1848	-3.4212	-0.4868	8.8389	4.6463	-0.4863	-0.8477	-0.4122	3676572.2656	3509015773.0558	3509012096.4835	0.9798	-0.0251	-2.5887	0.3240	9.6056	2.1200	-0.4306	-0.8191	-0.0547	3676777.3437	0.4988	1.5020	-1.6228	0.6405	6.8790	-7.2511	-0.9400	0.9790	0.1878	3673964.8437	5.8275	5.8877	-5.9309	0.3575	9.7934	-0.9448	0.1002	-0.7969	0.4401	0.0000	0.0000
3675410.1562	3.2808	11.7193	7.2233	-1.3872	9.0322	3.4958	0.3543	-0.8039	-0.5228	3677001.9531	0.9206	2.4418	-0.3505	-1.1667	9.7921	-0.3064	0.4038	-0.9746	-0.1441	3676523.4375	0.1185	-0.1125	0.1953	0.2895	5.9932	-7.4242	-0.1026	-0.6896	0.3987	3676484.3750	1.6838	2.1848	-3.4212	-0.5634	8.6862	4.7258	-0.4961	-0.7963	-0.3981	3676582.0312	3509015773.0656	3509012096.4835	0.9798	-0.0251	-2.5887	0.3240	9.6080	2.3570	-0.4306	-0.8191	-0.0547	3676787.1094	0.4988	1.5020	-1.6228	0.6406	6.8021	-7.2496	-0.9460	0.9244	0.1690	3673974.6094	11.3448	1.7254	-6.3789	0.4355	9.5625	-1.0981	0.1113	-0.7989	0.4401	0.0000	0.0000
3675419.9219	3.2808	11.7193	7.2233	-1.3068	9.0322	3.5702	0.3771	-0.8078	-0.5293	3677011.7187	0.9206	2.4418	-0.3505	-0.7687	9.7132	-0.3835	0.4250	-0.9258	-0.1484	3676533.2031	0.1185	-0.1125	0.1953	0.2117	6.1500	-7.4250	-0.0905	-0.6875	0.3811	3676494.1406	2.2501	1.9764	-3.1978	-0.4094	8.7625	4.6463	-0.4961	-0.8107	-0.4028	3676591.7969	3509015773.0753	3509012096.4835	1.4990	0.3212	-3.9943	0.3240	9.6056	2.1200	-0.4449	-0.8468	-0.0547	3676796.8750	0.4531	1.4095	-1.5153	0.6398	6.8005	-7.3292	-0.9500	0.9601	0.1620	3673984.3750	11.3448	1.7254	-6.3789	0.4340	9.4845	-1.2528	0.1095	-0.8276	0.4378	0.0000	0.0000
3675429.6875	3.1024	11.4602	5.3649	-1.2263	8.7267	3.6477	0.3695	-0.7650	-0.5206	3677021.4844	0.6285	0.5764	-1.8856	-0.8483	9.7156	-0.1476	0.4250	-0.9258	-0.1484	3676542.9687	0.1185	-0.1125	0.1953	0.2117	6.1500	-7.4250	-0.0905	-0.6875	0.3811	3676503.9062	2.2501	1.9764	-3.1978	-0.4102	8.6862	4.5698	-0.4961	-0.8107	-0.4028	3676601.5625	3509015773.0851	3509012096.4835	1.4990	0.3212	-3.9943	0.3240	9.6826	2.0402	-0.4306	-0.8213	-0.0611	3676806.6406	0.4531	1.4095	-1.5153	0.6405	6.8790	-7.2511	-0.9460	0.9706	0.1761	3673994.1406	11.3448	1.7254	-6.3789	0.3559	9.5625	-1.0981	0.1058	-0.7950	0.4447	0.0000	0.0000
3675439.4531	3.1024	11.4602	5.3649	-1.2286	9.1086	3.4183	0.3848	-0.7709	-0.5141	3677031.2500	0.6285	0.5764	-1.8856	-0.9279	9.6368	-0.2247	0.4115	-0.9336	-0.1419	3676552.7344	0.0431	-0.1075	-0.0167	0.2895	6.0708	-7.5018	-0.1026	-0.6854	0.3899	3676513.6719	2.2501	1.9764	-3.1978	-0.4875	8.6862	4.5706	-0.5020	-0.8621	-0.4005	3676611.3281	3509015773.0948	3509012096.4835	1.4990	0.3212	-3.9943	0.4022	9.6850	2.2772	-0.4306	-0.8213	-0.0611	3676816.4062	0.4531	1.4095	-1.5153	0.7186	6.8004	-7.3307	-0.9460	0.9706	0.1761	3674003.9062	11.3448	1.7254	-6.3789	0.5955	9.5633	-1.0203	0.1058	-0.7989	0.4286	0.0000	0.0000
3675449.2187	3.1024	11.4602	5.3649	-1.3075	9.1086	3.4943	0.3676	-0.7709	-0.5184	3677041.0156	0.6285	0.5764	-1.8856	-0.8483	9.6352	-0.3819	0.4154	-0.9414	-0.1398	3676562.5000	0.0431	-0.1075	-0.0167	0.2895	6.0700	-7.5786	-0.0926	-0.6813	0.4031	3676523.4375	2.4185	2.7589	-2.5897	-0.4102	8.6862	4.5698	-0.4961	-0.8251	-0.4052	3676621.0937	3509015773.1046	3509012096.4835	1.6106	-0.9943	-5.0184	0.4804	9.5287	2.1998	-0.4367	-0.8532	-0.0632	3676826.1719	0.4531	1.4095	-1.5153	0.7177	6.9528	-7.4134	-0.9380	0.9559	0.1596	3674013.6719	16.0389	0.5449	-7.0062	0.4363	9.7926	-1.0226	0.1076	-0.8257	0.4332	0.0000	0.0000
3675458.9844	3.1024	11.4602	5.3649	-1.3068	9.1086	3.5695	0.3657	-0.8039	-0.5098	3677050.7812	-0.1468	2.8118	-2.5347	-0.7687	9.7132	-0.3835	0.4154	-0.9414	-0.1398	3676572.2656	0.0431	-0.1075	-0.0167	0.2117	6.2284	-7.4257	-0.1026	-0.7021	0.3767	3676533.2031	2.4185	2.7589	-2.5897	-0.4102	8.8389	4.5683	-0.5078	-0.8374	-0.4145	3676630.8594	3509015773.1144	3509012096.4835	1.6106	-0.9943	-5.0184	0.3240	9.4509	2.2006	-0.4367	-0.8064	-0.0526	3676835.9375	0.3273	1.5842	-1.6034	0.7982	6.8020	-7.2527	-0.9540	0.9706	0.1620	3674023.4375	16.0389	0.5449	-7.0062	0.5963	9.7934	-0.9448	0.0965	-0.8467	0.4286	0.0000	0.0000
