Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
1650078.1250	15.1669	7.6421	-4.1019	-0.1309	9.1086	1.6024	0.2210	-0.8485	-0.4881	1651494.1406	-0.1025	-0.1460	0.4849	-1.8035	9.3018	-2.4981	0.4635	-0.8848	0.0280	1651494.1406	0.2095	-0.0922	-0.0942	-0.1776	4.4132	-8.5562	-0.0765	-0.5583	0.5551	1651318.3594	-0.6276	5.2145	-1.4973	0.7350	9.4499	3.0067	-0.5706	-0.8025	-0.1710	1651494.1406	3509013748.0549	3509012096.5608	-0.4079	-1.4326	0.3533	-0.1455	9.7327	-0.7257	-0.2163	-0.8064	0.3874	1651494.1406	-0.1135	0.2905	-0.4202	-0.3229	4.3023	-9.0112	-0.7820	1.0819	0.4178	1649238.2812	-0.5128	-0.3330	-2.6011	-0.1038	9.6568	0.6896	0.1670	-0.8467	0.2673	0.0000	0.0000
1650087.8906	22.8728	8.1174	-3.3647	-0.2903	9.4905	1.6001	0.2248	-0.8447	-0.4902	1651503.9062	-0.1025	-0.1460	0.4849	-1.8831	9.3018	-2.4981	0.4788	-0.9199	0.0172	1651503.9062	0.2095	-0.0922	-0.0942	-0.2555	4.4132	-8.5554	-0.0765	-0.5583	0.5551	1651328.1250	-0.6276	5.2145	-1.4973	0.7366	9.5263	3.1603	-0.5706	-0.8025	-0.1710	1651503.9062	3509013748.0647	3509012096.5608	-0.4079	-1.4326	0.3533	-0.2237	9.6534	-0.8830	-0.2143	-0.8064	0.3853	1651503.9062	-0.1135	0.2905	-0.4202	-0.2433	4.3809	-8.9347	-0.7940	1.0567	0.4131	1649248.0469	-0.5128	-0.3330	-2.6011	-0.0250	9.8090	0.6103	0.1837	-0.8889	0.2788	0.0000	0.0000
1650097.6562	22.8728	8.1174	-3.3647	-0.4460	10.1014	1.9716	0.2267	-0.8388	-0.4946	1651513.6719	-0.5127	-1.4738	0.1215	-1.7239	9.1458	-2.4950	0.4846	-0.8789	0.0258	1651513.6719	-0.0299	0.0165	-0.0451	-0.0998	4.4132	-8.5569	-0.0865	-0.5500	0.5881	1651337.8906	0.0918	3.4337	-1.2683	0.9672	9.4499	3.0044	-0.5549	-0.8292	-0.1663	1651513.6719	3509013748.0745	3509012096.5608	-0.4079	-1.4326	0.3533	-0.1455	9.7319	-0.8047	-0.2082	-0.8106	0.3768	1651513.6719	-0.1135	0.2905	-0.4202	-0.2425	4.3055	-8.8536	-0.7940	1.0567	0.4131	1649257.8125	1.7143	-0.4541	-1.9780	-0.0250	9.6561	0.6118	0.1744	-0.8774	0.2719	0.0000	0.0000
1650107.4219	22.8728	8.1174	-3.3647	-0.5273	10.6360	1.8167	0.2076	-0.8427	-0.4924	1651523.4375	-0.5127	-1.4738	0.1215	-1.8035	9.2238	-2.4965	0.4846	-0.8789	0.0258	1651523.4375	-0.0299	0.0165	-0.0451	-0.0998	4.3340	-8.6330	-0.0845	-0.5958	0.5683	1651347.6562	0.0918	3.4337	-1.2683	0.9664	9.3735	2.9280	-0.5608	-0.8169	-0.1756	1651523.4375	3509013748.0842	3509012096.5608	-0.5538	-1.3088	0.9978	-0.1455	9.7327	-0.7257	-0.2082	-0.8106	0.3768	1651523.4375	-0.0684	0.2334	-0.6013	-0.1653	4.3023	-9.0143	-0.7720	1.0945	0.4272	1649267.5781	1.7143	-0.4541	-1.9780	-0.1038	9.7333	0.6888	0.1725	-0.8582	0.2696	0.0000	0.0000
1650117.1875	22.5780	3.6251	4.9381	-0.7656	10.5597	1.8950	0.2171	-0.8990	-0.4967	1651533.2031	-0.5127	-1.4738	0.1215	-1.8035	9.2222	-2.6537	0.4673	-0.8984	0.0280	1651533.2031	-0.0299	0.0165	-0.0451	-0.1776	4.5685	-8.7114	-0.0845	-0.5958	0.5683	1651357.4219	0.0918	3.4337	-1.2683	0.8875	9.4499	2.7736	-0.5529	-0.8025	-0.1593	1651533.2031	3509013748.0940	3509012096.5608	-0.5538	-1.3088	0.9978	-0.3020	9.7327	-0.7257	-0.2245	-0.8511	0.3789	1651533.2031	-0.0684	0.2334	-0.6013	-0.2432	4.1499	-8.9301	-0.7880	1.0798	0.4225	1649277.3437	1.7143	-0.4541	-1.9780	-0.1054	9.8846	0.5318	0.1688	-0.8678	0.2604	0.0000	0.0000
1650126.9531	22.5780	3.6251	4.9381	-0.9250	10.4069	1.8981	0.2133	-0.9049	-0.5033	1651542.9687	-0.2057	-1.4143	-0.2194	-1.8831	9.2230	-2.5751	0.4865	-0.9062	0.0237	1651542.9687	-0.0299	0.0165	-0.0451	-0.0219	4.4916	-8.5585	-0.0865	-0.5792	0.5529	1651367.1875	0.0918	3.4337	-1.2683	0.9664	9.4499	2.9272	-0.5529	-0.8025	-0.1593	1651542.9687	3509013748.1038	3509012096.5608	-0.5538	-1.3088	0.9978	-0.3020	9.5780	-0.6452	-0.2245	-0.8532	0.3916	1651542.9687	-0.0684	0.2334	-0.6013	-0.3229	4.3023	-9.0112	-0.7760	1.0588	0.4085	1649287.1094	0.7936	0.0000	-1.2592	-0.0258	9.7317	0.5333	0.1781	-0.9004	0.2880	0.0000	0.0000
1650136.7187	22.5780	3.6251	4.9381	-0.7656	10.1014	1.8996	0.2248	-0.8874	-0.4967	1651552.7344	-0.2057	-1.4143	-0.2194	-1.8831	9.3034	-2.3409	0.4865	-0.9062	0.0237	1651552.7344	-0.1932	0.1552	0.0035	-0.0998	4.4132	-8.5569	-0.0885	-0.5896	0.5815	1651376.9531	-0.4286	2.2731	-0.7451	0.7343	9.3735	2.9303	-0.5569	-0.8025	-0.1663	1651552.7344	3509013748.1135	3509012096.5608	0.2080	-0.6287	0.9893	-0.2237	9.7319	-0.8047	-0.2245	-0.8532	0.3916	1651552.7344	-0.0684	0.2334	-0.6013	-0.1644	4.1499	-8.9317	-0.7760	1.0588	0.4085	1649296.8750	0.7936	0.0000	-1.2592	-0.1054	9.8082	0.5325	0.1614	-0.8831	0.2696	0.0000	0.0000
