Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
4179980.4687	4.0951	-1.3450	-1.7481	0.8178	9.6432	0.8355	-0.4533	-0.6699	-0.1302	4182080.0781	-1.4856	2.2314	-0.1596	-1.2463	9.6383	-0.0675	-0.1308	-0.6777	0.1290	4181601.5625	0.7822	2.8733	1.6478	-0.3333	-6.9397	-6.5971	0.0060	0.4687	0.5793	4181562.5000	0.9949	32.8720	-21.9803	1.5599	9.6790	0.3713	-0.0706	-0.5947	-0.2904	4181660.1562	3509016278.1227	3509012096.4625	2.5816	-7.5759	8.2716	-1.4756	9.6763	1.4082	0.0898	-0.5085	-0.2905	4181865.2344	0.1351	0.2992	-0.5330	-1.4129	6.1775	-7.6736	-0.2220	1.3866	0.1620	4178271.4844	-26.6399	-60.4662	23.8721	0.3555	-9.0186	-1.1455	0.1206	0.7069	-0.1521	0.0000	0.0000
4179990.2344	4.0951	-1.3450	-1.7481	0.8960	9.6432	0.6843	-0.4648	-0.6757	-0.1215	4182089.8437	-1.4856	2.2314	-0.1596	-1.1667	9.7172	0.0096	-0.1308	-0.6777	0.1290	4181611.3281	0.7822	2.8733	1.6478	-0.2555	-6.8621	-6.6755	0.0080	0.4729	0.5793	4181572.2656	0.9949	32.8720	-21.9803	1.7929	9.5263	0.4477	-0.0686	-0.6008	-0.2951	4181669.9219	3509016278.1325	3509012096.4625	6.9101	19.4174	0.7762	-0.7714	9.6017	1.7250	0.0673	-0.5128	-0.2926	4181875.0000	0.1351	0.2992	-0.5330	-1.3333	6.1790	-7.5957	-0.2220	1.3866	0.1620	4178281.2500	-26.6399	-60.4662	23.8721	0.1979	-9.5523	-0.9847	0.1206	0.6552	-0.1521	0.0000	0.0000
4180000.0000	4.0162	-2.9398	-2.5883	0.8968	9.6432	0.7595	-0.4610	-0.6291	-0.1150	4182099.6094	-1.6902	0.9972	-0.0903	-1.1667	9.7172	0.0096	-0.1365	-0.6934	0.1441	4181621.0937	0.7625	2.6447	1.5849	-0.2555	-6.8613	-6.5987	0.0080	0.4729	0.5793	4181582.0312	0.9949	32.8720	-21.9803	2.1047	9.6026	0.6754	-0.0863	-0.6193	-0.2881	4181679.6875	3509016278.1422	3509012096.4625	6.9101	19.4174	0.7762	-0.0672	9.6064	2.1990	0.0673	-0.5191	-0.2926	4181884.7656	-0.1030	0.9132	-0.9377	-1.2546	6.2560	-7.5988	-0.2100	1.3634	0.1502	4178291.0156	-26.6399	-60.4662	23.8721	-0.1939	-9.9283	-0.3588	0.1132	0.6705	-0.1567	0.0000	0.0000
4180009.7656	4.0162	-2.9398	-2.5883	0.8968	9.7196	0.7587	-0.4495	-0.6330	-0.1085	4182109.3750	-1.6902	0.9972	-0.0903	-1.1667	9.5611	0.0127	-0.1212	-0.7051	0.1484	4181630.8594	0.7625	2.6447	1.5849	-0.2555	-6.7053	-6.6771	0.0060	0.4854	0.5749	4181591.7969	8.9086	19.5245	-23.1380	2.2595	9.6790	0.6731	-0.0863	-0.6193	-0.2881	4181689.4531	3509016278.1520	3509012096.4625	6.9101	19.4174	0.7762	0.7152	9.6858	2.3562	0.0857	-0.5191	-0.2821	4181894.5312	-0.1030	0.9132	-0.9377	-1.2554	6.3314	-7.6799	-0.2300	1.3782	0.1573	4178300.7812	-26.6399	-60.4662	23.8721	-0.5153	-10.5431	-0.6637	0.1020	0.6820	-0.1682	0.0000	0.0000
4180019.5312	4.0162	-2.9398	-2.5883	0.9757	9.6432	0.6835	-0.4495	-0.6252	-0.1171	4182119.1406	-1.6902	0.9972	-0.0903	-1.2463	9.7960	0.0866	-0.1212	-0.7051	0.1484	4181640.6250	0.7625	2.6447	1.5849	-0.4112	-7.0197	-6.7492	0.0101	0.4958	0.5771	4181601.5625	8.9086	19.5245	-23.1380	2.2602	9.6790	0.7503	-0.0745	-0.6152	-0.2974	4181699.2187	3509016278.1618	3509012096.4625	4.5613	8.2686	0.5422	1.1064	9.6866	2.4352	0.0694	-0.5319	-0.3053	4181904.2969	-0.1030	0.9132	-0.9377	-1.2538	6.2576	-7.5192	-0.2280	1.3571	0.1596	4178310.5469	-9.1099	-65.2641	10.8205	-0.9172	-11.0057	-1.0479	0.1187	0.6533	-0.1682	0.0000	0.0000
4180029.2969	4.0824	-3.0632	-3.0673	0.8968	9.6432	0.7595	-0.4533	-0.6291	-0.1041	4182128.9062	-1.4627	0.1210	0.0149	-1.1667	9.7195	0.2454	-0.1288	-0.6719	0.1419	4181650.3906	0.3800	2.3896	1.4949	-0.2555	-6.8621	-6.6755	0.0101	0.4958	0.5771	4181611.3281	8.9086	19.5245	-23.1380	2.1805	9.6026	0.5203	-0.0765	-0.5864	-0.2951	4181708.9844	3509016278.1715	3509012096.4625	4.5613	8.2686	0.5422	1.1846	9.9183	2.2749	0.0776	-0.5043	-0.2842	4181914.0625	0.3997	0.7768	-0.6058	-1.3342	6.2544	-7.6768	-0.2280	1.3571	0.1596	4178320.3125	-9.1099	-65.2641	10.8205	-1.4720	-11.3856	-0.8108	0.1020	0.6552	-0.1636	0.0000	0.0000
4180039.0625	4.0824	-3.0632	-3.0673	0.9765	9.5668	0.7594	-0.4838	-0.6660	-0.1258	4182138.6719	-1.4627	0.1210	0.0149	-1.3259	9.6399	0.0898	-0.1481	-0.7031	0.1419	4181660.1562	0.3800	2.3896	1.4949	-0.3333	-6.8629	-6.7516	-0.0262	0.4917	0.5859	4181621.0937	8.9086	19.5245	-23.1380	1.8687	9.6026	0.2918	-0.0765	-0.5864	-0.2951	4181718.7500	3509016278.1813	3509012096.4625	4.5613	8.2686	0.5422	0.8716	9.8381	2.0387	0.0776	-0.5043	-0.2842	4181923.8281	0.3997	0.7768	-0.6058	-1.2554	6.2544	-7.6783	-0.2140	1.3992	0.1643	4178330.0781	-9.1099	-65.2641	10.8205	-2.0277	-11.6899	-0.6522	0.1262	0.7069	-0.1682	0.0000	0.0000
