Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3509025579.6132	3.3973	-0.7551	0.8022	-0.7610	9.4905	2.3569	-0.6362	-0.3650	-0.2516	3509025579.6233	0.2042	0.7490	2.5082	-1.0871	9.6242	-1.4824	-0.1962	-0.6895	0.2237	3509025579.5893	0.8400	-0.2793	0.5058	1.6131	4.8859	-8.3483	-0.1147	-0.0292	0.8150	3509025579.6205	0.8419	1.6090	-2.6744	0.7529	8.6098	4.7906	0.0549	-0.4218	-0.5785	35166.0156	3509025579.6087	3509025544.4427	-0.0796	-1.6040	-1.8693	0.9499	9.7580	1.8024	0.1980	-0.6213	-0.3474	35166.0156	3509025579.6136	3509025544.4476	0.6002	0.2900	-0.8474	-1.5026	4.5385	-8.7535	-0.0540	1.4958	0.3357	35166.0156	3509025579.6355	3509025544.4695	1.2577	-2.2400	-0.4898	-0.6882	9.4003	-2.0296	-0.1039	-0.6494	-0.1313	0.0000	0.0000
3509025579.6230	3.3973	-0.7551	0.8022	-0.7610	9.4141	2.3577	-0.6438	-0.3942	-0.2646	3509025579.6331	0.4955	-1.4685	2.9907	-0.9279	9.6242	-1.4824	-0.1962	-0.6895	0.2237	3509025579.5991	0.8400	-0.2793	0.5058	1.4574	4.8090	-8.1923	-0.1127	-0.0396	0.8128	3509025579.6303	0.8419	1.6090	-2.6744	0.8295	8.6098	4.7126	0.0490	-0.4650	-0.5738	35175.7812	3509025579.6184	3509025544.4427	-0.0796	-1.6040	-1.8693	1.1064	9.6049	2.0410	0.1959	-0.6426	-0.3642	35175.7812	3509025579.6234	3509025544.4476	0.6343	0.4472	-0.5644	-1.5814	4.5386	-8.7519	-0.0380	1.5273	0.3310	35175.7812	3509025579.6453	3509025544.4695	1.5861	-1.8465	0.4063	-0.8466	9.4010	-1.9518	-0.1095	-0.6379	-0.1382	0.0000	0.0000
3509025579.6327	3.3973	-0.7551	0.8022	-0.6009	9.4905	2.4305	-0.6381	-0.4019	-0.2733	3509025579.6429	0.4955	-1.4685	2.9907	-1.0871	9.7022	-1.4840	-0.2173	-0.7168	0.2215	3509025579.6088	0.0814	-0.4580	0.6180	1.6131	4.8082	-8.2707	-0.1127	-0.0187	0.8128	3509025579.6401	0.8419	1.6090	-2.6744	0.8295	8.6862	4.7118	0.0627	-0.4198	-0.5644	35185.5469	3509025579.6282	3509025544.4427	-0.0796	-1.6040	-1.8693	1.1064	9.6041	1.9620	0.1898	-0.6532	-0.3579	35185.5469	3509025579.6332	3509025544.4476	0.6343	0.4472	-0.5644	-1.6602	4.5386	-8.7504	-0.0400	1.4958	0.3333	35185.5469	3509025579.6550	3509025544.4695	1.5861	-1.8465	0.4063	-0.8459	9.4783	-1.8749	-0.1002	-0.6284	-0.1336	0.0000	0.0000
3509025579.6425	3.3973	-0.7551	0.8022	-0.6001	9.4905	2.5057	-0.6267	-0.3922	-0.2711	3509025579.6526	0.4955	-1.4685	2.9907	-1.0871	9.5462	-1.4808	-0.2019	-0.7070	0.2237	3509025579.6186	0.0814	-0.4580	0.6180	1.5353	4.9658	-8.1947	-0.1147	-0.0271	0.7863	3509025579.6498	0.9337	0.8666	-2.4890	0.9076	8.5334	4.7898	0.0627	-0.4198	-0.5644	35195.3125	3509025579.6380	3509025544.4427	-0.7208	-1.1238	-1.9870	1.1064	9.6818	1.9612	0.1959	-0.6468	-0.3495	35195.3125	3509025579.6429	3509025544.4476	0.6343	0.4472	-0.5644	-1.5806	4.4632	-8.6708	-0.0400	1.5105	0.3192	35195.3125	3509025579.6648	3509025544.4695	1.5861	-1.8465	0.4063	-0.8459	9.4783	-1.8749	-0.1169	-0.6494	-0.1521	0.0000	0.0000
3509025579.6523	3.5659	-3.2882	-0.2835	-0.6806	9.7196	2.4290	-0.6343	-0.4000	-0.2711	3509025579.6624	0.4955	-1.4685	2.9907	-1.1667	9.6234	-1.5610	-0.2115	-0.7109	0.2108	3509025579.6284	0.0814	-0.4580	0.6180	1.6131	4.8090	-8.1939	-0.1147	-0.0271	0.7863	3509025579.6596	0.9337	0.8666	-2.4890	0.9858	8.5334	4.8662	0.0471	-0.4383	-0.5831	35205.0781	3509025579.6477	3509025544.4427	-0.7208	-1.1238	-1.9870	1.0281	9.6056	2.1200	0.1959	-0.6468	-0.3495	35205.0781	3509025579.6527	3509025544.4476	0.6640	0.1315	-0.7124	-1.6594	4.5402	-8.6708	-0.0400	1.5105	0.3192	35205.0781	3509025579.6746	3509025544.4695	-0.1440	-1.6952	0.8089	-0.7655	9.4790	-1.7971	-0.1002	-0.6571	-0.1406	0.0000	0.0000
3509025579.6620	3.5659	-3.2882	-0.2835	-0.6790	9.4905	2.5817	-0.6267	-0.3903	-0.2755	3509025579.6722	0.7040	-3.8255	2.8249	-1.2463	9.6234	-1.5610	-0.2115	-0.7109	0.2108	3509025579.6381	-0.2984	-1.3322	0.8107	1.4574	4.7306	-8.1915	-0.1107	-0.0125	0.8062	3509025579.6693	0.9337	0.8666	-2.4890	0.9099	8.6098	5.0206	0.0471	-0.4691	-0.5714	35214.8437	3509025579.6575	3509025544.4427	-0.7208	-1.1238	-1.9870	1.1064	9.6049	2.0410	0.1980	-0.6511	-0.3600	35214.8437	3509025579.6625	3509025544.4476	0.6640	0.1315	-0.7124	-1.6594	4.4632	-8.6693	-0.0460	1.5105	0.3263	35214.8437	3509025579.6843	3509025544.4695	-0.1440	-1.6952	0.8089	-0.8467	9.6304	-1.9541	-0.1354	-0.6667	-0.1382	0.0000	0.0000
3509025579.6718	3.5659	-3.2882	-0.2835	-0.6813	9.5668	2.3553	-0.6514	-0.4000	-0.2603	3509025579.6819	0.7040	-3.8255	2.8249	-1.4851	9.5470	-1.4022	-0.2077	-0.7305	0.2172	3509025579.6479	-0.2984	-1.3322	0.8107	1.4574	4.8874	-8.1931	-0.0946	-0.0146	0.8084	3509025579.6791	1.6685	1.5568	-2.6788	0.9842	8.6098	4.7111	0.0373	-0.4630	-0.5714	35224.6094	3509025579.6673	3509025544.4427	-0.2631	-0.0738	-1.9306	1.1064	9.6049	2.0410	0.2020	-0.6638	-0.3579	35224.6094	3509025579.6722	3509025544.4476	0.6640	0.1315	-0.7124	-1.5806	4.6171	-8.6739	-0.0320	1.5000	0.3333	35224.6094	3509025579.6941	3509025544.4695	-0.1440	-1.6952	0.8089	-0.9263	9.6304	-1.9541	-0.1206	-0.6743	-0.1313	0.0000	0.0000
3509025579.6816	3.3105	-4.7585	0.0042	-0.8399	9.6432	2.4314	-0.6305	-0.3650	-0.2581	3509025579.6917	0.7040	-3.8255	2.8249	-1.5647	9.6250	-1.4038	-0.2135	-0.7148	0.2237	3509025579.6576	-0.2984	-1.3322	0.8107	1.4574	4.8075	-8.3460	-0.0946	-0.0146	0.8084	3509025579.6889	1.6685	1.5568	-2.6788	0.9850	8.6098	4.7882	0.0373	-0.4630	-0.5714	35234.3750	3509025579.6770	3509025544.4427	-0.2631	-0.0738	-1.9306	1.0281	9.8381	2.0387	0.2020	-0.6638	-0.3579	35234.3750	3509025579.6820	3509025544.4476	0.6640	0.1315	-0.7124	-1.6601	4.4616	-8.7488	-0.0540	1.5126	0.3239	35234.3750	3509025579.7039	3509025544.4695	-0.4318	-1.5741	-0.5889	-0.7663	9.6312	-1.8764	-0.1373	-0.6782	-0.1382	0.0000	0.0000
3509025579.6913	3.3105	-4.7585	0.0042	-0.9204	9.5668	2.3577	-0.6381	-0.3728	-0.2495	3509025579.7015	-0.4025	-0.7056	2.5873	-1.3259	9.4697	-1.3221	-0.2135	-0.7148	0.2237	3509025579.6674	0.7627	-0.3672	0.3384	1.5353	4.9643	-8.3483	-0.1107	0.0063	0.8018	3509025579.6986	1.6685	1.5568	-2.6788	0.9850	8.6098	4.7882	0.0608	-0.4239	-0.5808	35244.1406	3509025579.6868	3509025544.4427	-0.2631	-0.0738	-1.9306	1.1846	9.5271	2.0418	0.2061	-0.6447	-0.3537	35244.1406	3509025579.6917	3509025544.4476	0.6491	0.4945	-0.6405	-1.5017	4.3861	-8.6709	-0.0540	1.5126	0.3239	35244.1406	3509025579.7136	3509025544.4695	-0.4318	-1.5741	-0.5889	-0.7678	9.6296	-2.0319	-0.1317	-0.6801	-0.1336	0.0000	0.0000
3509025579.7011	3.3105	-4.7585	0.0042	-0.8407	9.4905	2.3577	-0.6267	-0.3573	-0.2603	3509025579.7112	-0.4025	-0.7056	2.5873	-1.1667	9.3909	-1.3991	-0.2038	-0.7031	0.2215	3509025579.6772	0.7627	-0.3672	0.3384	1.4574	4.8090	-8.1923	-0.1026	0.0167	0.8062	3509025579.7084	1.6685	1.5568	-2.6788	0.8295	8.6098	4.7126	0.0510	-0.4691	-0.5831	35253.9062	3509025579.6966	3509025544.4427	-0.5936	-0.8958	-1.4640	1.1064	9.6041	1.9620	0.2143	-0.6511	-0.3600	35253.9062	3509025579.7015	3509025544.4476	0.6491	0.4945	-0.6405	-1.5806	4.4632	-8.6708	-0.0440	1.4853	0.3239	35253.9062	3509025579.7234	3509025544.4695	-0.4318	-1.5741	-0.5889	-0.7678	9.4767	-2.0304	-0.1336	-0.6782	-0.1382	0.0000	0.0000
