Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
241855.4687	0.2711	-0.9079	-0.6233	-2.0285	9.1086	3.1254	-0.2838	-0.7223	-0.2278	241855.4687	-0.6767	-0.3593	0.3942	0.5846	9.6407	0.1684	-0.2673	-0.7109	0.0860	241855.4687	0.0018	0.0914	0.0313	-0.6448	4.1772	-8.6260	0.0684	-0.0063	0.6784	241855.4687	0.9643	0.9699	-0.6891	-0.0310	9.2971	3.7879	0.1255	-0.4938	-0.4005	241855.4687	0.3794	0.3324	-0.1498	1.1064	9.6692	0.6971	0.0694	-0.6298	-0.2589	241855.4687	0.6534	-0.0197	-0.2147	0.0016	5.9380	-8.0952	-0.0700	1.3634	0.1291	241865.2344	-0.1048	0.8173	0.1709	-0.0413	9.6397	-1.0211	-0.1781	-0.6418	-0.1728	0.0000	0.0000
241865.2344	-0.3157	-0.6872	-0.0365	-2.2669	9.1850	3.2023	-0.2743	-0.7049	-0.2256	241865.2344	-0.6767	-0.3593	0.3942	0.6642	9.7968	0.1652	-0.2788	-0.6758	0.0968	241865.2344	0.0018	0.0914	0.0313	-0.6448	4.2556	-8.6267	0.0805	-0.0104	0.6740	241865.2344	0.9643	0.9699	-0.6891	-0.0318	9.2971	3.7107	0.1255	-0.4938	-0.4005	241865.2344	0.1954	0.8081	-0.2676	1.1064	9.6676	0.5391	0.0694	-0.6298	-0.2589	241865.2344	0.6534	-0.0197	-0.2147	-0.0764	5.9396	-8.0140	-0.0540	1.3929	0.1244	241875.0000	-0.1048	0.8173	0.1709	-0.0421	9.7154	-1.0996	-0.1633	-0.6188	-0.1682	0.0000	0.0000
241875.0000	-0.3157	-0.6872	-0.0365	-2.3465	9.1086	3.2038	-0.2781	-0.7243	-0.2256	241875.0000	-0.8240	0.1606	0.1773	0.6642	9.7968	0.1652	-0.2788	-0.6758	0.0968	241875.0000	0.0018	0.0914	0.0313	-0.4112	4.1764	-8.7051	0.0805	-0.0104	0.6740	241875.0000	0.9643	0.9699	-0.6891	0.0471	9.1444	3.8659	0.1255	-0.5144	-0.4098	241875.0000	0.1954	0.8081	-0.2676	1.1064	9.6700	0.7761	0.0796	-0.6574	-0.2632	241875.0000	0.5730	-0.2068	-0.4509	0.0820	5.8641	-7.9361	-0.0540	1.3929	0.1244	241884.7656	-0.1048	0.8173	0.1709	-0.2005	9.7162	-1.0218	-0.1725	-0.6303	-0.1751	0.0000	0.0000
241884.7656	-0.3157	-0.6872	-0.0365	-2.2684	9.1850	3.0519	-0.2800	-0.7087	-0.2321	241884.7656	-0.8240	0.1606	0.1773	0.7438	9.8756	0.2423	-0.2885	-0.6562	0.1011	241884.7656	-0.0659	-0.2754	-0.0021	-0.6448	4.2533	-8.8572	0.0785	0.0021	0.6542	241884.7656	-0.2755	-1.2692	-0.4692	0.0471	9.2208	3.8651	0.1490	-0.4794	-0.4098	241884.7656	0.1954	0.8081	-0.2676	1.1064	9.7469	0.6964	0.0837	-0.6298	-0.2568	241884.7656	0.5730	-0.2068	-0.4509	0.0812	5.9395	-8.0172	-0.0700	1.3782	0.1103	241894.5312	-0.5521	0.2876	-0.4477	0.0391	9.7170	-0.9441	-0.1503	-0.6149	-0.1659	0.0000	0.0000
241894.5312	-0.3157	-0.6872	-0.0365	-2.2676	9.1850	3.1271	-0.2876	-0.7029	-0.2256	241894.5312	-0.8240	0.1606	0.1773	0.7438	9.6407	0.1684	-0.2673	-0.6484	0.0989	241894.5312	-0.0659	-0.2754	-0.0021	-0.7226	4.0980	-8.7012	0.0926	0.0021	0.6652	241894.5312	-0.2755	-1.2692	-0.4692	-0.1084	9.2208	3.7895	0.1490	-0.4794	-0.4098	241894.5312	0.4428	-0.1878	0.0900	1.1064	9.8231	0.5376	0.0878	-0.6340	-0.2653	241894.5312	0.5730	-0.2068	-0.4509	-0.0756	5.7872	-7.9314	-0.0500	1.3739	0.1197	241904.2969	-0.5521	0.2876	-0.4477	-0.0421	9.7154	-1.0996	-0.1670	-0.6226	-0.1843	0.0000	0.0000
241904.2969	-0.4279	1.7379	0.0727	-2.1879	9.1850	3.1263	-0.2781	-0.6932	-0.2148	241904.2969	-0.3715	0.0683	0.2383	0.7438	9.7180	0.0882	-0.2692	-0.6758	0.1032	241904.2969	-0.0659	-0.2754	-0.0021	-0.6448	4.1772	-8.6260	0.0744	-0.0417	0.6630	241904.2969	-0.2755	-1.2692	-0.4692	-0.0310	9.2208	3.7887	0.1314	-0.5329	-0.4075	241904.2969	0.4428	-0.1878	0.0900	1.1064	9.7454	0.5383	0.0878	-0.6340	-0.2653	241904.2969	0.5598	-0.3047	-0.2091	0.0048	5.7904	-7.7739	-0.0500	1.3739	0.1197	241914.0625	-0.5521	0.2876	-0.4477	-0.0390	9.7185	-0.7886	-0.1651	-0.6207	-0.1659	0.0000	0.0000
241914.0625	-0.4279	1.7379	0.0727	-2.1894	9.1850	2.9759	-0.2838	-0.7049	-0.2213	241914.0625	-0.3715	0.0683	0.2383	0.8234	9.7180	0.0882	-0.2692	-0.6758	0.1032	241914.0625	-0.3786	-0.0588	0.0640	-0.6448	4.1772	-8.6260	0.0744	-0.0417	0.6630	241914.0625	-0.2755	-1.2692	-0.4692	-0.1084	9.0680	3.7910	0.1216	-0.5041	-0.4028	241914.0625	0.4428	-0.1878	0.0900	1.0281	9.6684	0.6181	0.0878	-0.6426	-0.2674	241914.0625	0.5598	-0.3047	-0.2091	0.0040	5.8658	-7.8550	-0.0680	1.3592	0.1244	241923.8281	-0.0655	-0.0908	-0.4671	-0.2809	9.7919	-1.1003	-0.1651	-0.6245	-0.1682	0.0000	0.0000
241923.8281	-0.4279	1.7379	0.0727	-2.0300	9.1850	2.9743	-0.2781	-0.7010	-0.2256	241923.8281	-0.3715	0.0683	0.2383	0.6642	9.7968	0.1652	-0.2712	-0.6523	0.1032	241923.8281	-0.3786	-0.0588	0.0640	-0.6448	4.2549	-8.7036	0.0845	0.0042	0.6542	241923.8281	0.6123	-0.4056	-1.2006	-0.0318	9.1444	3.7123	0.1471	-0.5041	-0.4122	241923.8281	0.3518	-0.1716	0.1361	0.9499	9.5914	0.6979	0.0735	-0.6489	-0.2695	241923.8281	0.5598	-0.3047	-0.2091	0.0812	5.7856	-8.0141	-0.0560	1.3718	0.1221	241933.5937	-0.0655	-0.0908	-0.4671	-0.1217	9.7919	-1.1003	-0.1614	-0.6111	-0.1590	0.0000	0.0000
241933.5937	-0.2409	0.6468	-0.0471	-2.1887	9.1850	3.0511	-0.2876	-0.7165	-0.2234	241933.5937	-0.3715	0.0683	0.2383	0.5846	9.7187	0.1668	-0.2865	-0.6719	0.0946	241933.5937	-0.3786	-0.0588	0.0640	-0.6448	4.2549	-8.7036	0.0644	0.0187	0.6696	241933.5937	0.6123	-0.4056	-1.2006	-0.1092	9.2971	3.7115	0.1471	-0.5041	-0.4122	241933.5937	0.3518	-0.1716	0.1361	0.9499	9.6684	0.6181	0.0735	-0.6489	-0.2695	241933.5937	0.0755	-0.1928	-0.2558	0.0024	5.8626	-8.0141	-0.0540	1.3992	0.1291	241943.3594	-0.0655	-0.0908	-0.4671	-0.2005	9.7926	-1.0226	-0.1651	-0.6188	-0.1774	0.0000	0.0000
241943.3594	-0.2409	0.6468	-0.0471	-2.1105	9.1086	2.9006	-0.2743	-0.7087	-0.2256	241943.3594	-0.4823	0.2273	0.1980	0.5846	9.5635	0.2485	-0.2865	-0.6719	0.0946	241943.3594	-0.2123	-0.0454	0.0777	-0.5669	4.3325	-8.7820	0.0644	0.0187	0.6696	241943.3594	0.6123	-0.4056	-1.2006	-0.1084	9.2971	3.7887	0.1412	-0.4794	-0.4052	241943.3594	0.3518	-0.1716	0.1361	0.9499	9.9017	0.6158	0.0918	-0.6319	-0.2632	241943.3594	0.0755	-0.1928	-0.2558	0.0032	5.7872	-7.9330	-0.0540	1.3992	0.1291	241953.1250	-0.0655	-0.0908	-0.4671	-0.2005	9.7162	-1.0218	-0.1558	-0.6341	-0.1797	0.0000	0.0000
