Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3509025614.3130	2.6466	-2.6960	-1.1056	-1.4812	9.4905	2.0633	-0.5638	-0.3631	-0.2820	3509025614.3194	1.0508	-1.9618	0.4925	-1.0871	9.5470	-1.4022	-0.1962	-0.6738	0.1613	3509025614.2848	0.2068	-0.2302	-0.0956	1.4574	4.8082	-8.2691	-0.0905	-0.0521	0.5374	3509025614.3165	0.9490	-1.2992	0.7236	0.7288	9.4499	2.3892	-0.0216	-0.5103	-0.4286	69863.2812	3509025614.3048	3509025544.4416	-0.3127	-1.0209	0.7250	0.7934	9.6716	0.9341	0.0653	-0.5660	-0.2147	69863.2812	3509025614.3090	3509025544.4457	-0.0491	0.4341	-0.2283	-1.6578	4.6203	-8.5132	-0.1380	1.3845	-0.0070	69863.2812	3509025614.3184	3509025544.4551	-1.3653	-3.5568	0.3728	0.1272	9.8020	-0.0895	-0.1670	-0.5939	-0.2650	0.0000	0.0000
3509025614.3228	2.6466	-2.6960	-1.1056	-1.6406	9.5668	2.0641	-0.5562	-0.3437	-0.2950	3509025614.3292	0.9699	-0.6321	-0.0505	-1.1667	9.6242	-1.4824	-0.1827	-0.6582	0.1527	3509025614.2946	0.1359	0.0008	-0.1078	1.2238	4.8859	-8.3444	-0.0724	-0.0396	0.5463	3509025614.3263	0.9490	-1.2992	0.7236	0.6515	9.6026	2.3884	-0.0333	-0.5802	-0.4286	69873.0469	3509025614.3146	3509025544.4416	-0.3127	-1.0209	0.7250	0.7152	9.7493	0.9334	0.0633	-0.5915	-0.2274	69873.0469	3509025614.3188	3509025544.4457	-0.4864	0.4525	-0.2604	-1.5025	4.4615	-8.7520	-0.1500	1.3634	-0.0094	69873.0469	3509025614.3281	3509025544.4551	-0.8270	-3.6628	-0.5579	0.1288	9.8035	0.0660	-0.1633	-0.6207	-0.2627	0.0000	0.0000
3509025614.3325	2.6216	-2.6804	-0.0513	-1.5609	9.4905	2.0641	-0.5619	-0.3650	-0.2820	3509025614.3389	0.9699	-0.6321	-0.0505	-1.0075	9.5462	-1.4808	-0.1769	-0.6426	0.1548	3509025614.3043	0.1359	0.0008	-0.1078	1.3796	4.7306	-8.1908	-0.0765	-0.0354	0.5396	3509025614.3360	1.3623	-1.7125	1.6103	0.6491	9.6026	2.1568	-0.0392	-0.5617	-0.4286	69882.8125	3509025614.3244	3509025544.4416	-0.3127	-1.0209	0.7250	0.8716	9.6708	0.8551	0.0776	-0.5936	-0.2253	69882.8125	3509025614.3285	3509025544.4457	-0.4864	0.4525	-0.2604	-1.6586	4.5418	-8.5912	-0.1500	1.3634	-0.0094	69882.8125	3509025614.3379	3509025544.4551	-0.8270	-3.6628	-0.5579	0.0484	9.7263	-0.0110	-0.1558	-0.5843	-0.2581	0.0000	0.0000
3509025614.3423	2.6216	-2.6804	-0.0513	-1.4812	9.4141	2.0640	-0.5905	-0.3864	-0.2885	3509025614.3487	0.9699	-0.6321	-0.0505	-0.9279	9.5462	-1.4808	-0.1846	-0.6699	0.1613	3509025614.3141	0.1359	0.0008	-0.1078	1.4574	4.8082	-8.2691	-0.0765	-0.0354	0.5396	3509025614.3458	1.3623	-1.7125	1.6103	0.6507	9.6026	2.3112	-0.0392	-0.5617	-0.4286	69892.5781	3509025614.3341	3509025544.4416	-0.9136	0.0091	0.0614	0.8716	9.7501	1.0124	0.0776	-0.5936	-0.2253	69892.5781	3509025614.3383	3509025544.4457	-0.4864	0.4525	-0.2604	-1.5026	4.5385	-8.7535	-0.1340	1.3845	-0.0188	69892.5781	3509025614.3477	3509025544.4551	-0.8270	-3.6628	-0.5579	0.0492	9.7271	0.0668	-0.1670	-0.5939	-0.2696	0.0000	0.0000
3509025614.3521	2.6216	-2.6804	-0.0513	-1.4000	9.4905	2.2129	-0.5829	-0.4272	-0.2863	3509025614.3585	0.9699	-0.6321	-0.0505	-1.0871	9.7022	-1.4840	-0.1846	-0.6699	0.1613	3509025614.3239	-0.1851	0.5615	-0.3726	1.3017	4.8090	-8.1908	-0.0865	-0.0125	0.5330	3509025614.3556	1.3623	-1.7125	1.6103	0.6507	9.5263	2.3120	-0.0294	-0.5432	-0.4356	69902.3437	3509025614.3439	3509025544.4416	-0.9136	0.0091	0.0614	1.0281	9.9056	1.0108	0.0714	-0.5596	-0.2211	69902.3437	3509025614.3481	3509025544.4457	-0.1437	0.7140	-0.3184	-1.5010	4.5417	-8.5944	-0.1560	1.3529	-0.0070	69902.3437	3509025614.3574	3509025544.4551	-0.7802	-3.0876	-0.4386	0.3668	9.8027	-0.0118	-0.1503	-0.6130	-0.2627	0.0000	0.0000
3509025614.3618	3.5272	-1.4314	-0.0677	-1.4008	9.4905	2.1377	-0.5790	-0.3786	-0.2885	3509025614.3682	0.5540	-1.4931	-0.5148	-1.0075	9.6250	-1.4038	-0.1673	-0.6348	0.1591	3509025614.3336	-0.1851	0.5615	-0.3726	1.3796	4.9643	-8.3468	-0.0845	-0.0125	0.5419	3509025614.3653	1.8368	-2.5656	1.1307	0.6499	9.6026	2.2340	-0.0412	-0.5267	-0.4262	69912.1094	3509025614.3537	3509025544.4416	-0.9136	0.0091	0.0614	0.9499	9.7493	0.9334	0.0816	-0.5681	-0.2253	69912.1094	3509025614.3578	3509025544.4457	-0.1437	0.7140	-0.3184	-1.4229	4.4631	-8.6740	-0.1440	1.3845	-0.0188	69912.1094	3509025614.3672	3509025544.4551	-0.7802	-3.0876	-0.4386	0.2076	9.8027	-0.0118	-0.1633	-0.6284	-0.2604	0.0000	0.0000
3509025614.3716	3.5272	-1.4314	-0.0677	-1.3993	9.5668	2.2873	-0.5733	-0.3903	-0.2820	3509025614.3780	0.5540	-1.4931	-0.5148	-1.0871	9.7022	-1.4840	-0.1885	-0.6660	0.1548	3509025614.3434	-0.1851	0.5615	-0.3726	1.5353	4.7290	-8.3460	-0.0845	-0.0521	0.5286	3509025614.3751	1.8368	-2.5656	1.1307	0.8055	9.5263	2.3104	-0.0412	-0.5267	-0.4262	69921.8750	3509025614.3634	3509025544.4416	-1.0606	0.0106	0.5974	1.0281	9.7493	0.9334	0.0816	-0.5681	-0.2253	69921.8750	3509025614.3676	3509025544.4457	-0.1437	0.7140	-0.3184	-1.4229	4.4631	-8.6740	-0.1440	1.3845	-0.0188	69921.8750	3509025614.3770	3509025544.4551	-0.7802	-3.0876	-0.4386	0.0492	9.8035	0.0660	-0.1707	-0.6188	-0.2604	0.0000	0.0000
3509025614.3814	3.5272	-1.4314	-0.0677	-1.4790	9.4905	2.2889	-0.5714	-0.3437	-0.2950	3509025614.3878	0.5540	-1.4931	-0.5148	-1.0075	9.5470	-1.4022	-0.1750	-0.6777	0.1591	3509025614.3531	-0.1851	0.5615	-0.3726	1.4574	4.7306	-8.1915	-0.0845	-0.0521	0.5286	3509025614.3849	1.8368	-2.5656	1.1307	0.7281	9.6026	2.3104	-0.0333	-0.5638	-0.4286	69931.6406	3509025614.3732	3509025544.4416	-1.0606	0.0106	0.5974	0.9499	9.7493	0.9334	0.0735	-0.5574	-0.2337	69931.6406	3509025614.3774	3509025544.4457	-0.3312	0.5247	-0.3409	-1.5018	4.5401	-8.6740	-0.1460	1.3866	-0.0070	69931.6406	3509025614.3867	3509025544.4551	-0.1624	-1.6498	0.4914	0.1295	9.8043	0.1438	-0.1596	-0.6034	-0.2673	0.0000	0.0000
3509025614.3911	3.8699	-0.8825	-0.1478	-1.3993	9.4905	2.2881	-0.5695	-0.3592	-0.2820	3509025614.3975	0.6058	-0.5328	-0.5973	-1.0871	9.5470	-1.4022	-0.1750	-0.6777	0.1591	3509025614.3629	-0.2258	0.0347	-0.0886	1.4574	4.7290	-8.3452	-0.0845	-0.0063	0.5374	3509025614.3946	1.4082	-1.8440	-0.3318	0.7288	9.5263	2.3884	-0.0294	-0.5432	-0.4309	69941.4062	3509025614.3830	3509025544.4416	-1.0606	0.0106	0.5974	0.7934	9.7517	1.1704	0.0776	-0.5468	-0.2189	69941.4062	3509025614.3871	3509025544.4457	-0.3312	0.5247	-0.3409	-1.5806	4.4632	-8.6708	-0.1400	1.3487	-0.0117	69941.4062	3509025614.3965	3509025544.4551	-0.1624	-1.6498	0.4914	-0.0304	9.8035	0.0660	-0.1521	-0.6169	-0.2627	0.0000	0.0000
3509025614.4009	3.8699	-0.8825	-0.1478	-1.4008	9.6432	2.1361	-0.5619	-0.3515	-0.2863	3509025614.4073	0.6058	-0.5328	-0.5973	-0.9279	9.6242	-1.4824	-0.1692	-0.6367	0.1570	3509025614.3727	-0.2258	0.0347	-0.0886	1.4574	4.8082	-8.2691	-0.0905	-0.0167	0.5374	3509025614.4044	1.4082	-1.8440	-0.3318	0.8039	9.4499	2.1568	-0.0255	-0.5370	-0.4262	69951.1719	3509025614.3927	3509025544.4416	-1.1163	-0.6155	1.1273	0.7934	9.7501	1.0124	0.0878	-0.5447	-0.2316	69951.1719	3509025614.3969	3509025544.4457	-0.3312	0.5247	-0.3409	-1.6601	4.4616	-8.7488	-0.1440	1.3866	-0.0094	69951.1719	3509025614.4063	3509025544.4551	-0.1624	-1.6498	0.4914	0.0499	9.8043	0.1438	-0.1763	-0.6226	-0.2627	0.0000	0.0000
