Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3509025616.3638	-8.6281	53.8451	19.9533	-0.9098	9.1086	3.4151	-0.5105	-0.3709	-0.3167	3509025616.3702	-6.9419	26.1968	17.7460	-0.6891	9.7140	-0.3048	-0.1269	-0.6602	0.1376	3509025616.3356	-1.6457	3.0217	0.0467	2.0803	4.4138	-8.5019	-0.1268	0.0104	0.5396	3509025616.3673	23.9094	43.2425	18.6682	-0.2847	8.1516	1.6403	0.2294	-0.4959	-0.3841	71914.0625	3509025616.3556	3509025544.4416	32.7470	58.3612	106.9399	-0.1455	6.3336	1.5206	0.0041	-0.6255	-0.3263	71914.0625	3509025616.3598	3509025544.4457	-68.9444	-23.4555	144.7371	-2.3393	-2.7980	-13.6050	0.0040	1.3529	0.0047	71914.0625	3509025616.3692	3509025544.4551	-25.9425	-22.0070	17.5554	-0.9013	8.9672	0.5409	-0.1558	-0.6341	-0.1336	0.0000	0.0000
3509025616.3735	-8.6281	53.8451	19.9533	-0.4339	8.9558	3.1862	-0.4952	-0.3767	-0.3145	3509025616.3799	-6.9419	26.1968	17.7460	-0.2910	9.4768	-0.6146	-0.1404	-0.6934	0.1312	3509025616.3453	-1.6457	3.0217	0.0467	2.0024	4.6490	-8.5035	-0.1268	0.0104	0.5396	3509025616.3770	23.9094	43.2425	18.6682	-0.4371	7.7697	1.8772	0.2549	-0.4774	-0.3841	71923.8281	3509025616.3654	3509025544.4416	32.7470	58.3612	106.9399	-0.3020	7.1127	1.6708	0.0306	-0.6319	-0.3326	71923.8281	3509025616.3695	3509025544.4457	-144.1250	-32.9554	105.9906	-2.3435	-1.5742	-14.0274	0.0140	1.3887	0.0329	71923.8281	3509025616.3789	3509025544.4551	-25.9425	-22.0070	17.5554	-0.9029	9.0421	0.3847	-0.1429	-0.6533	-0.1290	0.0000	0.0000
3509025616.3833	-8.6281	53.8451	19.9533	-0.3550	9.0322	3.1095	-0.4876	-0.3592	-0.3189	3509025616.3897	-6.9419	26.1968	17.7460	0.1866	9.6313	-0.7749	-0.1404	-0.6934	0.1312	3509025616.3551	-3.3051	3.8544	0.6494	2.0024	4.5721	-8.3491	-0.1308	-0.0021	0.5330	3509025616.3868	23.9094	43.2425	18.6682	-0.9810	7.2351	1.6564	0.2549	-0.4774	-0.3841	71933.5937	3509025616.3751	3509025544.4416	5.0485	32.8549	163.5388	-0.6149	8.1227	1.5817	0.0306	-0.6319	-0.3326	71933.5937	3509025616.3793	3509025544.4457	-144.1250	-32.9554	105.9906	-2.1876	-0.6536	-14.2081	0.0420	1.4160	0.0516	71933.5937	3509025616.3887	3509025544.4551	-24.4048	-17.5420	14.6449	-0.8233	9.1950	0.3831	-0.1670	-0.6782	-0.1359	0.0000	0.0000
3509025616.3931	-9.6549	44.5580	21.7788	-0.0354	8.9558	3.1822	-0.4895	-0.3748	-0.3145	3509025616.3995	-7.8769	10.4360	21.9958	0.5050	9.6336	-0.5391	-0.1327	-0.6562	0.1376	3509025616.3649	-3.3051	3.8544	0.6494	2.0024	4.1024	-8.2675	-0.1308	0.0063	0.5463	3509025616.3966	28.1953	56.4140	4.2287	-1.5985	7.0823	1.8185	0.2549	-0.4588	-0.3911	71943.3594	3509025616.3849	3509025544.4416	5.0485	32.8549	163.5388	-0.6932	9.2883	1.4911	0.0612	-0.6447	-0.3242	71943.3594	3509025616.3891	3509025544.4457	-144.1250	-32.9554	105.9906	-2.3430	0.0441	-13.9801	0.0660	1.4685	0.0962	71943.3594	3509025616.3985	3509025544.4551	-24.4048	-17.5420	14.6449	-0.7476	9.0382	-0.0041	-0.1577	-0.6552	-0.1244	0.0000	0.0000
3509025616.4028	-9.6549	44.5580	21.7788	0.1255	8.9558	3.3310	-0.4857	-0.3709	-0.3210	3509025616.4092	-7.8769	10.4360	21.9958	0.5846	9.5540	-0.6948	-0.1346	-0.6895	0.1312	3509025616.3746	-3.3051	3.8544	0.6494	2.0024	4.4953	-8.1946	-0.1308	0.0063	0.5463	3509025616.4063	28.1953	56.4140	4.2287	-1.9088	7.0823	1.7444	0.2392	-0.4671	-0.3724	71953.1250	3509025616.3947	3509025544.4416	5.0485	32.8549	163.5388	-1.0844	10.3698	0.7691	0.1041	-0.6553	-0.3347	71953.1250	3509025616.3988	3509025544.4457	-182.5761	-14.4030	95.7490	-2.3351	0.4449	-13.1923	0.0660	1.4685	0.0962	71953.1250	3509025616.4082	3509025544.4551	-24.4048	-17.5420	14.6449	-0.8264	8.8096	0.0759	-0.1725	-0.6456	-0.1152	0.0000	0.0000
3509025616.4126	-9.6549	44.5580	21.7788	0.0450	8.7267	3.2589	-0.4933	-0.3845	-0.3059	3509025616.4190	-7.8769	10.4360	21.9958	0.0274	9.7164	-0.0690	-0.1346	-0.7090	0.1312	3509025616.3844	-2.3297	-0.9792	3.3433	2.1582	3.9486	-7.9602	-0.1368	0.0000	0.5220	3509025616.4161	28.1953	56.4140	4.2287	-2.9944	7.0060	1.5244	0.2510	-0.4774	-0.3794	71962.8906	3509025616.4044	3509025544.4416	-28.6195	6.4607	194.5814	-1.5538	10.8340	0.5275	0.1388	-0.6532	-0.3326	71962.8906	3509025616.4086	3509025544.4457	-182.5761	-14.4030	95.7490	-2.5661	1.3030	-12.6476	0.0620	1.4769	0.1221	71962.8906	3509025616.4180	3509025544.4551	-28.3102	-21.6740	11.9977	-0.6687	8.9610	-0.0811	-0.1614	-0.6686	-0.1175	0.0000	0.0000
3509025616.4224	-10.3570	30.3582	22.2721	-0.2738	8.9558	3.2598	-0.4781	-0.3786	-0.3145	3509025616.4288	-7.8769	10.4360	21.9958	-0.3706	9.6391	0.0111	-0.1250	-0.7090	0.1312	3509025616.3942	-2.3297	-0.9792	3.3433	2.0803	4.1039	-8.1147	-0.1348	-0.0229	0.5463	3509025616.4259	27.4759	37.2905	-7.5628	-3.6916	6.9296	1.4550	0.2510	-0.4774	-0.3794	71972.6562	3509025616.4142	3509025544.4416	-28.6195	6.4607	194.5814	-2.3362	11.0648	0.2881	0.1388	-0.6532	-0.3326	71972.6562	3509025616.4184	3509025544.4457	-182.5761	-14.4030	95.7490	-3.1920	2.3136	-12.1777	0.0820	1.5420	0.1690	71972.6562	3509025616.4277	3509025544.4551	-28.3102	-21.6740	11.9977	-0.5883	8.9617	-0.0033	-0.1670	-0.6648	-0.1129	0.0000	0.0000
3509025616.4321	-10.3570	30.3582	22.2721	-0.4316	8.8031	3.4133	-0.4952	-0.4078	-0.3037	3509025616.4385	-9.3452	5.7842	30.6765	-0.6095	9.7944	-0.0706	-0.1404	-0.7070	0.1355	3509025616.4039	-2.3297	-0.9792	3.3433	1.8467	4.3384	-8.1915	-0.1268	-0.0125	0.5396	3509025616.4356	27.4759	37.2905	-7.5628	-4.0862	6.9296	0.6869	0.2569	-0.4835	-0.3958	71982.4219	3509025616.4240	3509025544.4416	-28.6195	6.4607	194.5814	-2.9621	11.1394	-0.0287	0.1837	-0.6553	-0.3263	71982.4219	3509025616.4281	3509025544.4457	-182.5761	-14.4030	95.7490	-3.5025	2.8622	-11.7049	0.0820	1.5504	0.2207	71982.4219	3509025616.4375	3509025544.4551	-28.3102	-21.6740	11.9977	-0.8232	8.8127	0.3870	-0.1596	-0.6686	-0.1129	0.0000	0.0000
3509025616.4419	-10.3570	30.3582	22.2721	-0.7519	8.8795	3.2654	-0.4933	-0.4058	-0.3124	3509025616.4483	-9.3452	5.7842	30.6765	-0.3706	9.7164	-0.0690	-0.1231	-0.6699	0.1441	3509025616.4137	3.7534	-12.3907	8.7636	2.1582	4.1054	-7.9618	-0.1268	-0.0125	0.5396	3509025616.4454	27.4759	37.2905	-7.5628	-4.7084	6.9296	0.3843	0.2412	-0.4856	-0.3958	71992.1875	3509025616.4337	3509025544.4416	-28.6195	6.4607	194.5814	-3.3533	11.7568	-0.5089	0.2204	-0.6553	-0.3284	71992.1875	3509025616.4379	3509025544.4457	-162.4509	3.8854	88.6063	-4.1275	3.4125	-11.1461	0.0820	1.5504	0.2207	71992.1875	3509025616.4473	3509025544.4551	-16.9746	-25.5184	7.7407	-0.7460	8.9633	0.1522	-0.1744	-0.6533	-0.1106	0.0000	0.0000
3509025616.4517	-10.3570	30.3582	22.2721	-0.9083	8.8795	3.5678	-0.4876	-0.4058	-0.3037	3509025616.4581	-9.3452	5.7842	30.6765	-0.2114	9.8709	-0.2294	-0.1231	-0.6699	0.1441	3509025616.4235	3.7534	-12.3907	8.7636	2.3139	4.1054	-7.9634	-0.1288	-0.0146	0.5220	3509025616.4552	49.5484	-32.5793	-0.6282	-4.4801	7.5406	-0.0101	0.2412	-0.4856	-0.3958	72001.9531	3509025616.4435	3509025544.4416	-35.6172	36.9907	206.3739	-3.7445	12.0678	-0.5120	0.2204	-0.6553	-0.3284	72001.9531	3509025616.4477	3509025544.4457	-162.4509	3.8854	88.6063	-4.7509	4.0429	-10.4299	0.1000	1.6155	0.2629	72001.9531	3509025616.4570	3509025544.4551	-16.9746	-25.5184	7.7407	-0.5087	8.9617	-0.0033	-0.1540	-0.6743	-0.1014	0.0000	0.0000
3509025616.4614	-8.7177	24.6346	23.9188	-0.9895	8.8031	3.4189	-0.4590	-0.3961	-0.3102	3509025616.4678	-12.6877	-0.6792	38.2778	-0.0522	9.7921	-0.3064	-0.1096	-0.6855	0.1398	3509025616.4332	3.7534	-12.3907	8.7636	2.1582	4.1823	-8.1162	-0.1207	-0.0167	0.5286	3509025616.4649	49.5484	-32.5793	-0.6282	-5.1742	7.1587	0.2323	0.2353	-0.4342	-0.3911	72011.7187	3509025616.4533	3509025544.4416	-35.6172	36.9907	206.3739	-3.5098	12.1440	-0.6708	0.2837	-0.6319	-0.3200	72011.7187	3509025616.4574	3509025544.4457	-162.4509	3.8854	88.6063	-4.9046	4.6668	-10.0413	0.0880	1.6408	0.3263	72011.7187	3509025616.4668	3509025544.4551	-16.9746	-25.5184	7.7407	-0.5080	8.9625	0.0744	-0.1596	-0.6782	-0.1037	0.0000	0.0000
3509025616.4712	-8.7177	24.6346	23.9188	-0.6729	8.7267	3.1909	-0.4590	-0.3942	-0.3080	3509025616.4776	-12.6877	-0.6792	38.2778	-0.2114	9.7101	-0.6979	-0.1096	-0.6641	0.1419	3509025616.4430	3.7534	-12.3907	8.7636	2.0803	4.4945	-8.2722	-0.1207	-0.0167	0.5286	3509025616.4747	49.5484	-32.5793	-0.6282	-5.3306	7.9988	0.0710	0.2118	-0.4568	-0.4169	72021.4844	3509025616.4630	3509025544.4416	-35.6172	36.9907	206.3739	-3.1968	11.9115	-0.5895	0.3082	-0.6128	-0.3011	72021.4844	3509025616.4672	3509025544.4457	-109.3740	16.2488	94.2833	-4.5904	5.7429	-10.1487	0.0880	1.1450	0.3263	72021.4844	3509025616.4766	3509025544.4551	-14.4966	-22.1280	3.0348	-0.7445	9.1178	0.3061	-0.1558	-0.6303	-0.0991	0.0000	0.0000
3509025616.4810	-8.7177	24.6346	23.9188	-0.5933	9.0322	3.1871	-0.4629	-0.3942	-0.3167	3509025616.4874	-12.6877	-0.6792	38.2778	0.0274	9.8630	-1.0154	-0.1115	-0.6953	0.1548	3509025616.4528	3.8497	-16.6328	12.2325	2.2360	4.3361	-8.4259	-0.1087	-0.0125	0.5374	3509025616.4845	52.6557	-50.6731	17.0573	-4.7100	7.9224	0.2200	0.2353	-0.4342	-0.4333	72031.2500	3509025616.4728	3509025544.4416	-30.8247	83.7715	196.5185	-2.6491	12.0694	-0.3540	0.3796	-0.5915	-0.3011	72031.2500	3509025616.4770	3509025544.4457	-109.3740	16.2488	94.2833	-4.3542	6.8976	-10.1765	0.1100	1.6828	0.3779	72031.2500	3509025616.4863	3509025544.4551	-14.4966	-22.1280	3.0348	-0.7445	9.1942	0.3054	-0.1651	-0.6418	-0.0922	0.0000	0.0000
3509025616.4907	-7.0411	29.1591	22.3050	-0.5940	9.1086	3.1111	-0.4495	-0.3903	-0.3102	3509025616.4971	-17.3767	-8.1174	45.5322	0.2662	10.0183	-1.0972	-0.1115	-0.6953	0.1548	3509025616.4625	3.8497	-16.6328	12.2325	2.1582	3.9417	-8.6516	-0.1107	-0.0083	0.5198	3509025616.4942	52.6557	-50.6731	17.0573	-4.6295	7.9224	0.5280	0.2353	-0.4342	-0.4333	72041.0156	3509025616.4826	3509025544.4416	-30.8247	83.7715	196.5185	-1.9450	11.5282	-0.0326	0.3796	-0.5915	-0.3011	72041.0156	3509025616.4867	3509025544.4457	-109.3740	16.2488	94.2833	-4.4357	8.1246	-10.4382	0.0840	1.7479	0.4131	72041.0156	3509025616.4961	3509025544.4551	-14.4966	-22.1280	3.0348	-1.2213	9.1185	0.3839	-0.1429	-0.6322	-0.0945	0.0000	0.0000
3509025616.5005	-7.0411	29.1591	22.3050	-0.3580	9.3377	2.8056	-0.4610	-0.3748	-0.2972	3509025616.5069	-17.3767	-8.1174	45.5322	-0.5299	9.7881	-0.6994	-0.0962	-0.6699	0.1419	3509025616.4723	3.8497	-16.6328	12.2325	2.0803	4.6506	-8.3506	-0.1187	-0.0396	0.5308	3509025616.5040	52.6557	-50.6731	17.0573	-4.1575	7.8461	1.2960	0.2490	-0.4012	-0.4333	72050.7812	3509025616.4923	3509025544.4416	-30.8247	83.7715	196.5185	-1.4756	11.4505	-0.0318	0.4245	-0.5638	-0.2863	72050.7812	3509025616.4965	3509025544.4457	-78.6460	1.3041	128.2216	-3.9599	9.0546	-10.1479	0.0880	1.7857	0.4343	72050.7812	3509025616.5059	3509025544.4551	-14.4966	-22.1280	3.0348	-1.2244	9.1919	0.0721	-0.1466	-0.6322	-0.0922	0.0000	0.0000
3509025616.5103	-7.0411	29.1591	22.3050	-0.5181	9.3377	2.7320	-0.4610	-0.3825	-0.2907	3509025616.5167	-17.3767	-8.1174	45.5322	-1.3259	10.0238	-0.5469	-0.0808	-0.6836	0.1591	3509025616.4821	7.0630	-25.0751	14.7919	1.9246	3.9463	-8.1884	-0.1187	-0.0396	0.5308	3509025616.5138	52.6557	-50.6731	17.0573	-5.3089	7.4642	2.2378	0.2392	-0.3951	-0.4614	72060.5469	3509025616.5021	3509025544.4416	-31.4338	86.4675	172.1773	-0.9279	11.1458	0.6034	0.4551	-0.5383	-0.2589	72060.5469	3509025616.5063	3509025544.4457	-78.6460	1.3041	128.2216	-3.2509	10.2091	-10.1852	0.0880	1.7857	0.4343	72060.5469	3509025616.5156	3509025544.4551	-17.7267	-13.4252	0.9818	-1.4663	9.1888	-0.2389	-0.1540	-0.6437	-0.0945	0.0000	0.0000
3509025616.5200	-8.0711	18.4299	21.6128	-0.6798	9.4141	2.5073	-0.4571	-0.3864	-0.2993	3509025616.5264	-11.4010	-17.0645	54.1581	-1.4851	10.0230	-0.6255	-0.0846	-0.6992	0.1613	3509025616.4918	7.0630	-25.0751	14.7919	2.2360	3.8648	-8.4980	-0.0946	0.0021	0.5419	3509025616.5235	40.8541	-21.7232	9.7838	-6.0015	7.0823	2.6345	0.2373	-0.4218	-0.4614	72070.3125	3509025616.5119	3509025544.4416	-31.4338	86.4675	172.1773	-0.6932	10.2912	0.6909	0.4551	-0.5383	-0.2589	72070.3125	3509025616.5160	3509025544.4457	-78.6460	1.3041	128.2216	-2.3780	11.7611	-9.5969	0.0880	1.8697	0.4531	72070.3125	3509025616.5254	3509025544.4551	-17.7267	-13.4252	0.9818	-1.2291	9.1108	-0.3937	-0.1596	-0.6341	-0.0806	0.0000	0.0000
3509025616.5298	-8.0711	18.4299	21.6128	-1.0737	9.4141	2.9624	-0.4514	-0.3825	-0.2863	3509025616.5362	-11.4010	-17.0645	54.1581	-1.7239	9.8662	-0.7010	-0.0846	-0.6992	0.1613	3509025616.5016	7.0630	-25.0751	14.7919	1.5353	4.8813	-8.8085	-0.1026	0.0063	0.5330	3509025616.5333	40.8541	-21.7232	9.7838	-6.2948	6.8532	4.2610	0.2373	-0.4218	-0.4614	72080.0781	3509025616.5216	3509025544.4416	-31.4338	86.4675	172.1773	-1.2408	9.8215	0.3796	0.5000	-0.5213	-0.2358	72080.0781	3509025616.5258	3509025544.4457	-78.6460	1.3041	128.2216	-0.7145	12.5478	-8.7702	0.0640	1.8782	0.4484	72080.0781	3509025616.5352	3509025544.4551	-17.7267	-13.4252	0.9818	-1.3017	9.3471	0.3039	-0.1503	-0.6284	-0.0876	0.0000	0.0000
3509025616.5396	-8.0711	18.4299	21.6128	-1.4737	9.1086	2.8191	-0.4324	-0.4058	-0.3080	3509025616.5460	-11.4010	-17.0645	54.1581	-1.5647	9.8583	-1.4871	-0.0654	-0.6699	0.1548	3509025616.5114	14.4063	-24.0612	15.6409	2.0803	4.4122	-8.6556	-0.1026	0.0063	0.5330	3509025616.5431	40.8541	-21.7232	9.7838	-6.9261	6.3186	3.0374	0.2569	-0.3683	-0.4660	72089.8437	3509025616.5314	3509025544.4416	-28.0763	70.3862	123.9540	-1.0061	9.8215	0.3796	0.5245	-0.5511	-0.2337	72089.8437	3509025616.5356	3509025544.4457	-89.6703	26.5428	133.9499	1.2788	11.6694	-6.4841	0.0560	1.9475	0.4460	72089.8437	3509025616.5449	3509025544.4551	-8.2554	-4.1471	0.4363	-1.2229	9.3463	0.2261	-0.1466	-0.6322	-0.0922	0.0000	0.0000
3509025616.5493	-2.5192	7.6502	28.8707	-1.7902	8.9558	3.0494	-0.4210	-0.4155	-0.2950	3509025616.5557	-11.4010	-17.0645	54.1581	-1.3259	10.0167	-1.2544	-0.0692	-0.6738	0.1656	3509025616.5211	14.4063	-24.0612	15.6409	2.4696	5.0403	-8.5889	-0.1046	0.0021	0.5419	3509025616.5528	38.5581	-34.0683	11.6751	-7.5467	6.0131	2.8923	0.2549	-0.3683	-0.4778	72099.6094	3509025616.5412	3509025544.4416	-28.0763	70.3862	123.9540	-0.6149	9.5168	1.0147	0.5531	-0.4894	-0.2063	72099.6094	3509025616.5453	3509025544.4457	-89.6703	26.5428	133.9499	3.0372	11.1791	-4.0418	0.0560	1.9475	0.4460	72099.6094	3509025616.5547	3509025544.4551	-8.2554	-4.1471	0.4363	-1.1448	9.2683	0.0714	-0.1503	-0.6609	-0.0899	0.0000	0.0000
3509025616.5591	-2.5192	7.6502	28.8707	-1.9519	9.2613	2.8223	-0.4324	-0.4194	-0.2950	3509025616.5655	-13.7700	-19.0801	59.3736	-1.2463	10.2493	-1.4163	-0.0404	-0.6973	0.1634	3509025616.5309	14.4063	-24.0612	15.6409	1.6910	4.8051	-8.5788	-0.0966	-0.0417	0.5463	3509025616.5626	38.5581	-34.0683	11.6751	-7.7030	6.4714	2.7349	0.2549	-0.3683	-0.4778	72109.3750	3509025616.5509	3509025544.4416	-28.0763	70.3862	123.9540	-0.6932	8.7393	1.0225	0.5531	-0.4894	-0.2063	72109.3750	3509025616.5551	3509025544.4457	-89.6703	26.5428	133.9499	3.6914	11.3036	-1.6693	0.0520	1.9433	0.4413	72109.3750	3509025616.5645	3509025544.4551	-8.2554	-4.1471	0.4363	-1.2986	9.3502	0.6149	-0.1484	-0.6648	-0.0829	0.0000	0.0000
3509025616.5689	-2.5192	7.6502	28.8707	-2.1925	9.4141	2.6728	-0.4248	-0.4097	-0.2972	3509025616.5753	-13.7700	-19.0801	59.3736	-1.6443	10.3265	-1.4965	-0.0404	-0.6973	0.1634	3509025616.5406	14.4063	-24.0612	15.6409	2.0024	5.2795	-8.2025	-0.1087	-0.0333	0.5352	3509025616.5724	38.5581	-34.0683	11.6751	-7.9352	6.5477	2.7364	0.2392	-0.4074	-0.4754	72119.1406	3509025616.5607	3509025544.4416	-20.7773	76.5183	66.1044	-0.2237	8.0339	0.4765	0.5653	-0.5128	-0.1874	72119.1406	3509025616.5649	3509025544.4457	-65.1614	59.8805	51.6791	3.9347	12.6265	-0.9842	0.0400	2.0063	0.4202	72119.1406	3509025616.5742	3509025544.4551	-7.3924	11.1397	-3.0078	-1.3766	9.4282	0.7696	-0.1447	-0.6284	-0.0829	0.0000	0.0000
3509025616.5786	-2.5192	7.6502	28.8707	-2.2736	9.4141	2.5232	-0.4229	-0.4233	-0.2907	3509025616.5850	-13.7700	-19.0801	59.3736	-1.0075	10.0152	-1.4116	-0.0404	-0.6621	0.1634	3509025616.5504	13.7465	-21.5707	14.9121	1.6910	5.4318	-8.6619	-0.1087	-0.0333	0.5352	3509025616.5821	49.2882	-54.9443	7.9994	-7.5506	6.8532	2.4979	0.2608	-0.3827	-0.4965	72128.9062	3509025616.5705	3509025544.4416	-20.7773	76.5183	66.1044	1.2628	7.4888	0.4029	0.5898	-0.4681	-0.1768	72128.9062	3509025616.5746	3509025544.4457	-65.1614	59.8805	51.6791	3.7856	14.0298	-0.1337	0.0240	2.0315	0.4319	72128.9062	3509025616.5840	3509025544.4551	-7.3924	11.1397	-3.0078	-1.6950	9.4282	0.7696	-0.1466	-0.6513	-0.0829	0.0000	0.0000
3509025616.5873	-0.0357	20.7736	29.4163	-1.8767	9.4141	2.3688	-0.4324	-0.3942	-0.2885	3509025616.5948	-19.7621	-9.7222	68.1791	0.1070	12.1252	-1.1393	-0.0462	-0.7285	0.1785	3509025616.5602	13.7465	-21.5707	14.9121	1.6131	5.0397	-8.6572	-0.1026	-0.0292	0.5308	3509025616.5919	49.2882	-54.9443	7.9994	-6.7730	7.0823	2.8739	0.2588	-0.3498	-0.5199	72138.6719	3509025616.5802	3509025544.4416	-20.7773	76.5183	66.1044	3.0623	7.2603	0.8792	0.5898	-0.4681	-0.1768	72138.6719	3509025616.5844	3509025544.4457	-65.1614	59.8805	51.6791	3.5498	14.8014	-0.0648	0.0240	2.0315	0.4319	72138.6719	3509025616.5938	3509025544.4551	-7.3924	11.1397	-3.0078	-1.9300	9.5086	1.1576	-0.1577	-0.6724	-0.0922	0.0000	0.0000
3509025616.5971	-0.0357	20.7736	29.4163	-1.7978	9.7196	2.2898	-0.4305	-0.4097	-0.2907	3509025616.6046	-19.7621	-9.7222	68.1791	1.3010	12.1165	-2.0040	-0.0462	-0.7285	0.1785	3509025616.5699	13.7465	-21.5707	14.9121	1.1460	4.8852	-8.4205	-0.0865	-0.0458	0.5441	3509025616.6017	49.2882	-54.9443	7.9994	-6.1516	7.0823	3.0993	0.2588	-0.3498	-0.5199	72148.4375	3509025616.5900	3509025544.4416	-20.7773	76.5183	66.1044	4.3924	7.2658	1.4323	0.5918	-0.4681	-0.1516	72148.4375	3509025616.5942	3509025544.4457	-27.6587	36.4109	-21.9987	3.0045	15.1222	0.5765	0.0220	2.0126	0.4272	72148.4375	3509025616.6035	3509025544.4551	-10.7261	27.6828	-1.7228	-2.3218	9.7442	1.7774	-0.1596	-0.6590	-0.0876	0.0000	0.0000
3509025616.6068	-0.0357	20.7736	29.4163	-0.9935	11.0179	3.0208	-0.4190	-0.4019	-0.2885	3509025616.6143	-19.7621	-9.7222	68.1791	2.1766	11.8809	-2.1565	-0.0115	-0.6875	0.1742	3509025616.5797	16.4440	-12.7694	8.3136	1.8467	4.8828	-8.6579	-0.0865	-0.0458	0.5441	3509025616.6114	40.8082	-28.0614	-7.1698	-4.9839	7.0060	3.7832	0.2471	-0.3560	-0.5035	72158.2031	3509025616.5998	3509025544.4416	5.2206	40.9993	-2.0866	5.0183	7.2737	2.2223	0.5898	-0.4383	-0.1432	72158.2031	3509025616.6039	3509025544.4457	-27.6587	36.4109	-21.9987	1.6649	15.0458	0.6048	0.0100	2.0210	0.4155	72158.2031	3509025616.6133	3509025544.4551	-10.7261	27.6828	-1.7228	-2.4865	10.5033	1.2255	-0.1725	-0.6513	-0.0876	0.0000	0.0000
