Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
270810.5469	-0.1977	0.1707	0.0420	-2.2714	9.1086	2.7518	-0.2648	-0.7068	-0.2278	270810.5469	1.4295	-0.0703	-0.1795	0.8234	9.7944	-0.0706	-0.2769	-0.6738	0.0903	270810.5469	0.6185	-0.7808	-0.3789	-0.6448	4.2541	-8.7804	0.0584	-0.0146	0.6167	270810.5469	-0.0918	-0.8548	-0.8729	0.1160	9.4499	3.0129	0.1157	-0.5226	-0.3396	270810.5469	-0.2064	0.3230	0.6925	1.1064	9.6708	0.8551	0.0694	-0.5766	-0.2611	270810.5469	0.8713	-0.2543	-0.2790	0.1592	5.7839	-8.0952	-0.2040	1.3445	0.0634	270820.3125	0.2500	0.6357	0.6568	0.1093	9.6312	-1.8764	-0.1651	-0.6494	-0.1267	0.0000	0.0000
270820.3125	0.0694	-2.5782	0.1369	-2.4300	9.2613	2.8271	-0.2552	-0.7107	-0.2278	270820.3125	1.4295	-0.0703	-0.1795	0.9826	9.6391	0.0111	-0.2769	-0.6738	0.0903	270820.3125	0.6185	-0.7808	-0.3789	-0.7226	4.2557	-8.6260	0.0785	-0.0083	0.6388	270820.3125	0.6276	0.1107	0.1466	0.1160	9.3735	3.0137	0.1255	-0.5288	-0.3536	270820.3125	-0.4415	0.7227	0.0379	1.0281	9.7493	0.9334	0.0694	-0.5766	-0.2611	270820.3125	0.8713	-0.2543	-0.2790	0.0812	5.7856	-8.0141	-0.1860	1.3529	0.0681	270830.0781	0.2500	0.6357	0.6568	0.0282	9.6296	-2.0319	-0.1577	-0.6801	-0.1175	0.0000	0.0000
270830.0781	0.0694	-2.5782	0.1369	-2.3518	9.1850	2.6767	-0.2610	-0.7107	-0.2299	270830.0781	-0.1941	-1.5285	-0.7192	0.9030	9.7180	0.0882	-0.2692	-0.6309	0.0817	270830.0781	0.6185	-0.7808	-0.3789	-0.4891	4.2533	-8.8588	0.0785	-0.0083	0.6388	270830.0781	0.6276	0.1107	0.1466	0.1152	9.6026	2.9342	0.1216	-0.5123	-0.3466	270830.0781	-0.4415	0.7227	0.0379	1.1064	9.6731	1.0922	0.0673	-0.5532	-0.2505	270830.0781	0.8713	-0.2543	-0.2790	0.0032	5.8642	-7.9345	-0.1860	1.3529	0.0681	270839.8437	0.3707	0.3330	0.5610	0.1078	9.5532	-2.0311	-0.1744	-0.6609	-0.1267	0.0000	0.0000
270839.8437	0.0694	-2.5782	0.1369	-2.3526	9.2613	2.6007	-0.2571	-0.6874	-0.2169	270839.8437	-0.1941	-1.5285	-0.7192	0.8234	9.7944	-0.0706	-0.2923	-0.6602	0.0903	270839.8437	0.1607	-0.2694	-0.4148	-0.8783	4.2549	-8.7012	0.0825	-0.0146	0.6388	270839.8437	0.6276	0.1107	0.1466	0.1949	9.4499	3.1665	0.1216	-0.5123	-0.3466	270839.8437	-0.4415	0.7227	0.0379	1.0281	9.6708	0.8551	0.0633	-0.5851	-0.2568	270839.8437	0.6059	-0.3650	-0.2850	0.0032	5.9412	-7.9361	-0.2100	1.3361	0.0775	270849.6094	0.3707	0.3330	0.5610	0.0282	9.5532	-2.0311	-0.1670	-0.6379	-0.1221	0.0000	0.0000
270849.6094	0.3556	0.1192	0.0079	-2.4330	9.1850	2.5271	-0.2629	-0.6874	-0.2213	270849.6094	-0.1941	-1.5285	-0.7192	0.8234	9.7960	0.0866	-0.2731	-0.6543	0.0882	270849.6094	0.1607	-0.2694	-0.4148	-0.6448	4.2526	-8.9340	0.0684	0.0000	0.6233	270849.6094	-0.6429	1.4688	0.7857	0.1949	9.4499	3.1665	0.0941	-0.5350	-0.3489	270849.6094	0.1083	-0.5054	0.1634	1.1064	9.7493	0.9334	0.0633	-0.5851	-0.2568	270849.6094	0.6059	-0.3650	-0.2850	0.0032	5.8642	-7.9345	-0.1880	1.3424	0.0587	270859.3750	0.3707	0.3330	0.5610	0.0282	9.5532	-2.0311	-0.1596	-0.6418	-0.1221	0.0000	0.0000
270859.3750	0.3556	0.1192	0.0079	-2.3503	9.1850	2.8271	-0.2552	-0.6854	-0.2234	270859.3750	0.2331	-0.5076	-0.5255	0.7438	9.7952	0.0080	-0.2731	-0.6543	0.0882	270859.3750	0.1607	-0.2694	-0.4148	-0.7226	4.2557	-8.6260	0.0684	0.0000	0.6233	270859.3750	-0.6429	1.4688	0.7857	0.2715	9.4499	3.0886	0.1176	-0.5432	-0.3560	270859.3750	0.1083	-0.5054	0.1634	1.0281	9.6716	0.9341	0.0694	-0.5489	-0.2484	270859.3750	0.6059	-0.3650	-0.2850	0.0820	5.8641	-7.9361	-0.1960	1.3193	0.0798	270869.1406	0.5787	-0.3178	0.0678	0.0274	9.5524	-2.1089	-0.1521	-0.6245	-0.1152	0.0000	0.0000
270869.1406	0.3556	0.1192	0.0079	-2.3511	9.1086	2.7526	-0.2667	-0.6874	-0.2213	270869.1406	0.2331	-0.5076	-0.5255	0.7438	9.7172	0.0096	-0.2846	-0.6406	0.0796	270869.1406	0.1607	-0.2694	-0.4148	-0.7226	4.1772	-8.6252	0.0765	0.0167	0.6432	270869.1406	-0.6429	1.4688	0.7857	0.2692	9.4499	2.8570	0.1000	-0.5226	-0.3489	270869.1406	0.1083	-0.5054	0.1634	1.1846	9.6716	0.9341	0.0592	-0.5426	-0.2505	270869.1406	-0.0036	0.0565	-0.3611	0.0039	5.9427	-7.8565	-0.1960	1.3193	0.0798	270878.9062	0.5787	-0.3178	0.0678	0.0298	9.4783	-1.8749	-0.1540	-0.6264	-0.1175	0.0000	0.0000
270878.9062	0.3556	0.1192	0.0079	-2.2721	9.0322	2.6774	-0.2857	-0.7243	-0.2299	270878.9062	0.2331	-0.5076	-0.5255	0.8234	9.6383	-0.0675	-0.2904	-0.6602	0.0903	270878.9062	-0.2085	0.1449	-0.2397	-0.8005	4.2557	-8.6252	0.0724	0.0042	0.6366	270878.9062	1.2399	-1.1098	0.2350	0.2700	9.4499	2.9342	0.1000	-0.5226	-0.3489	270878.9062	0.1083	-0.5054	0.1634	1.2628	9.6700	0.7761	0.0735	-0.5447	-0.2505	270878.9062	-0.0036	0.0565	-0.3611	0.0835	5.9443	-7.7785	-0.2020	1.3151	0.0610	270888.6719	0.5787	-0.3178	0.0678	-0.0506	9.5539	-1.9534	-0.1429	-0.6322	-0.1198	0.0000	0.0000
270888.6719	-0.5044	-1.3604	0.1061	-2.3518	9.1086	2.6774	-0.2914	-0.7243	-0.2256	270888.6719	-0.1316	0.2458	-0.4768	0.9030	9.7172	0.0096	-0.2904	-0.6602	0.0903	270888.6719	-0.2085	0.1449	-0.2397	-0.6448	4.1772	-8.6260	0.0744	0.0104	0.6300	270888.6719	1.2399	-1.1098	0.2350	0.1941	9.4499	3.0893	0.1118	-0.5247	-0.3419	270888.6719	0.1574	0.2277	0.5077	1.3411	9.6708	0.8551	0.0735	-0.5447	-0.2505	270888.6719	-0.0036	0.0565	-0.3611	0.0048	5.7904	-7.7739	-0.2020	1.3256	0.0728	270898.4375	-0.0959	-1.0141	-0.4659	0.0290	9.6304	-1.9541	-0.1540	-0.6609	-0.1290	0.0000	0.0000
270898.4375	-0.5044	-1.3604	0.1061	-2.2714	9.1086	2.7518	-0.2838	-0.7282	-0.2299	270898.4375	-0.1316	0.2458	-0.4768	0.8234	9.7172	0.0096	-0.2731	-0.6348	0.0925	270898.4375	-0.2085	0.1449	-0.2397	-0.7226	4.2557	-8.6260	0.0744	0.0104	0.6300	270898.4375	1.2399	-1.1098	0.2350	0.1941	9.3735	3.0901	0.1118	-0.5453	-0.3489	270898.4375	0.1574	0.2277	0.5077	1.2628	9.7485	0.8544	0.0510	-0.5660	-0.2611	270898.4375	-0.0036	0.0565	-0.3611	0.0032	5.8642	-7.9345	-0.2020	1.3256	0.0728	270908.2031	-0.0959	-1.0141	-0.4659	0.0282	9.5532	-2.0311	-0.1540	-0.6648	-0.1244	0.0000	0.0000
270908.2031	-0.5044	-1.3604	0.1061	-2.3510	9.0322	2.7534	-0.2876	-0.7320	-0.2256	270908.2031	-0.1316	0.2458	-0.4768	0.8234	9.7944	-0.0706	-0.2846	-0.6543	0.0839	270908.2031	-0.7261	-0.0653	-0.2063	-0.5669	4.1757	-8.7804	0.0825	0.0104	0.6432	270908.2031	1.2399	-1.1098	0.2350	0.1926	9.4499	2.9349	0.1118	-0.5350	-0.3466	270908.2031	0.1574	0.2277	0.5077	1.1846	9.7485	0.8544	0.0551	-0.5702	-0.2379	270908.2031	-0.0972	0.0146	-0.3579	-0.0756	5.8642	-7.9329	-0.1960	1.3319	0.0798	270917.9687	-0.0959	-1.0141	-0.4659	0.0274	9.5524	-2.1089	-0.1521	-0.6245	-0.1221	0.0000	0.0000
270917.9687	-0.6012	-0.5463	0.2484	-2.3518	9.2613	2.6759	-0.2590	-0.6854	-0.2169	270917.9687	-0.1316	0.2458	-0.4768	0.8234	9.5627	0.1699	-0.2750	-0.6699	0.0817	270917.9687	-0.7261	-0.0653	-0.2063	-0.5669	4.2541	-8.7812	0.0684	0.0000	0.6454	270917.9687	-0.0306	-1.2526	-0.3769	0.1934	9.5263	3.0114	0.1196	-0.5350	-0.3466	270917.9687	0.1645	-0.8422	1.2169	1.1846	9.7485	0.8544	0.0551	-0.5702	-0.2379	270917.9687	-0.0972	0.0146	-0.3579	-0.0757	5.9412	-7.9345	-0.2160	1.3613	0.0728	270927.7344	-0.0959	-1.0141	-0.4659	-0.0499	9.6312	-1.8764	-0.1447	-0.6513	-0.1221	0.0000	0.0000
270927.7344	-0.6012	-0.5463	0.2484	-2.4308	9.1850	2.7527	-0.2648	-0.6932	-0.2191	270927.7344	0.5664	0.0464	-0.8471	0.8234	9.6399	0.0898	-0.2750	-0.6699	0.0817	270927.7344	-0.7261	-0.0653	-0.2063	-0.5669	4.1764	-8.7036	0.0684	0.0042	0.6322	270927.7344	-0.0306	-1.2526	-0.3769	0.1926	9.4499	2.9349	0.1000	-0.5103	-0.3396	270927.7344	0.1645	-0.8422	1.2169	1.1064	9.6716	0.9341	0.0531	-0.5553	-0.2505	270927.7344	-0.0972	0.0146	-0.3579	0.0820	5.8641	-7.9361	-0.2080	1.3508	0.0728	270937.5000	-0.2799	-0.8022	-0.6101	-0.1295	9.5547	-1.8756	-0.1577	-0.6724	-0.1244	0.0000	0.0000
270937.5000	-0.6012	-0.5463	0.2484	-2.5917	9.2613	2.6031	-0.2533	-0.6757	-0.2191	270937.5000	0.5664	0.0464	-0.8471	0.8234	9.8740	0.0851	-0.2865	-0.6348	0.0903	270937.5000	-0.9648	0.0741	-0.1569	-0.5669	4.2556	-8.6275	0.0644	0.0042	0.6322	270937.5000	-0.0306	-1.2526	-0.3769	0.1167	9.5263	3.0893	0.1176	-0.5165	-0.3489	270937.5000	0.1645	-0.8422	1.2169	1.0281	9.7477	0.7754	0.0673	-0.5553	-0.2526	270937.5000	-0.4546	-0.2494	-0.1942	0.0812	5.8626	-8.0156	-0.2080	1.3508	0.0728	270947.2656	-0.2799	-0.8022	-0.6101	-0.0514	9.5532	-2.0311	-0.1558	-0.6533	-0.1152	0.0000	0.0000
270947.2656	-0.5843	1.0644	0.2903	-2.4300	9.1086	2.8286	-0.2667	-0.6932	-0.2213	270947.2656	0.5664	0.0464	-0.8471	0.8234	9.7172	0.0096	-0.2750	-0.6602	0.0817	270947.2656	-0.9648	0.0741	-0.1569	-0.5669	4.2579	-8.3971	0.0765	0.0000	0.6344	270947.2656	0.0918	0.5815	-0.5491	0.0378	9.4499	2.9365	0.1176	-0.5165	-0.3489	270947.2656	-0.2746	0.4154	1.4898	1.1064	9.8255	0.7746	0.0531	-0.5553	-0.2526	270947.2656	-0.4546	-0.2494	-0.1942	0.0032	5.9412	-7.9361	-0.1960	1.2983	0.0751	270957.0312	-0.2799	-0.8022	-0.6101	0.1094	9.5547	-1.8756	-0.1503	-0.6379	-0.1221	0.0000	0.0000
270957.0312	-0.5843	1.0644	0.2903	-2.2721	9.1850	2.6759	-0.2590	-0.6699	-0.2213	270957.0312	0.1947	1.2541	-1.0504	0.8234	9.7172	0.0096	-0.2769	-0.6582	0.0839	270957.0312	-0.9648	0.0741	-0.1569	-0.8005	4.3341	-8.6260	0.0624	-0.0125	0.6454	270957.0312	0.0918	0.5815	-0.5491	0.1949	9.5263	3.1658	0.1137	-0.5329	-0.3489	270957.0312	-0.2746	0.4154	1.4898	1.1846	9.8263	0.8536	0.0531	-0.5553	-0.2526	270957.0312	-0.4546	-0.2494	-0.1942	0.1608	5.9411	-7.9392	-0.2040	1.3613	0.0704	270966.7969	-0.5465	-0.1816	0.1128	-0.1310	9.6296	-2.0319	-0.1466	-0.6571	-0.1175	0.0000	0.0000
270966.7969	-0.5843	1.0644	0.2903	-2.3496	9.1850	2.9023	-0.2705	-0.7243	-0.2213	270966.7969	0.1947	1.2541	-1.0504	0.9826	9.7164	-0.0690	-0.2769	-0.6582	0.0839	270966.7969	-0.9648	0.0741	-0.1569	-0.8005	4.2557	-8.6252	0.0624	-0.0125	0.6454	270966.7969	0.0918	0.5815	-0.5491	0.1152	9.5263	2.9349	0.1235	-0.5309	-0.3419	270966.7969	-0.2746	0.4154	1.4898	1.0281	9.6716	0.9341	0.0510	-0.5745	-0.2379	270966.7969	-0.2971	-0.0473	-0.0507	-0.0757	6.0182	-7.9360	-0.2120	1.3277	0.0610	270976.5625	-0.5465	-0.1816	0.1128	0.0298	9.5547	-1.8756	-0.1670	-0.6609	-0.1290	0.0000	0.0000
270976.5625	-0.5843	1.0644	0.2903	-2.1894	9.2613	2.9751	-0.2648	-0.7223	-0.2234	270976.5625	0.1947	1.2541	-1.0504	0.9826	9.7968	0.1652	-0.2750	-0.6348	0.0968	270976.5625	-0.7443	0.5341	-0.2609	-0.6448	4.3333	-8.7044	0.0644	-0.0125	0.6388	270976.5625	0.5204	1.4800	-0.6879	0.1168	9.4499	3.0901	0.1235	-0.5021	-0.3489	270976.5625	0.0141	0.2138	1.4112	1.0281	9.6716	0.9341	0.0612	-0.5787	-0.2484	270976.5625	-0.2971	-0.0473	-0.0507	0.0040	5.8658	-7.8550	-0.2120	1.3277	0.0610	270986.3281	-0.5465	-0.1816	0.1128	0.1086	9.5539	-1.9534	-0.1651	-0.6552	-0.1152	0.0000	0.0000
270986.3281	-0.2079	0.6925	0.0416	-2.2721	9.1086	2.6766	-0.2667	-0.7340	-0.2234	270986.3281	0.2465	0.9083	-0.8742	0.9030	9.6391	0.0111	-0.2808	-0.6523	0.0796	270986.3281	-0.7443	0.5341	-0.2609	-0.6448	4.1765	-8.7028	0.0523	-0.0167	0.6300	270986.3281	0.5204	1.4800	-0.6879	-0.0388	9.4499	3.0145	0.1235	-0.5021	-0.3489	270986.3281	0.0141	0.2138	1.4112	1.0281	9.7493	0.9334	0.0612	-0.5787	-0.2484	270986.3281	-0.2971	-0.0473	-0.0507	-0.0749	5.9428	-7.8549	-0.1880	1.3487	0.0845	270996.0937	-0.2684	-0.6660	0.5411	0.0282	9.4767	-2.0304	-0.1670	-0.6322	-0.1198	0.0000	0.0000
270996.0937	-0.2079	0.6925	0.0416	-2.3503	9.1086	2.8278	-0.2648	-0.7184	-0.2364	270996.0937	0.2465	0.9083	-0.8742	0.9826	9.7180	0.0882	-0.2750	-0.6309	0.0882	270996.0937	-0.7443	0.5341	-0.2609	-0.6448	4.2549	-8.7036	0.0825	-0.0083	0.6432	270996.0937	0.5204	1.4800	-0.6879	0.0386	9.5263	3.0129	0.1078	-0.5000	-0.3536	270996.0937	0.0141	0.2138	1.4112	1.1064	9.7493	0.9334	0.0633	-0.5723	-0.2463	270996.0937	-0.2971	-0.0473	-0.0507	0.0804	5.9379	-8.0967	-0.2160	1.3214	0.0798	271005.8594	-0.2684	-0.6660	0.5411	-0.0506	9.6304	-1.9541	-0.1521	-0.6724	-0.1175	0.0000	0.0000
271005.8594	-0.2079	0.6925	0.0416	-2.2698	9.0322	2.9030	-0.2648	-0.6816	-0.2104	271005.8594	0.2465	0.9083	-0.8742	0.9826	9.7952	0.0080	-0.2750	-0.6309	0.0882	271005.8594	-0.7012	0.4230	-0.0952	-0.6448	4.1757	-8.7796	0.0825	-0.0083	0.6432	271005.8594	0.3827	-0.2984	-0.0412	0.1175	9.4499	3.1673	0.1098	-0.5226	-0.3396	271005.8594	0.1340	-1.2240	1.2131	1.1846	9.5145	0.7777	0.0694	-0.5894	-0.2463	271005.8594	-0.0336	0.0541	-0.2400	0.0048	5.8674	-7.7754	-0.1880	1.3634	0.0775	271015.6250	-0.2684	-0.6660	0.5411	-0.0514	9.6296	-2.0319	-0.1725	-0.6590	-0.1198	0.0000	0.0000
271015.6250	-0.0202	0.1996	-0.3372	-2.2699	9.1850	2.9015	-0.2552	-0.6796	-0.2191	271015.6250	0.7241	0.1742	-0.5032	0.9030	9.7172	0.0096	-0.2865	-0.6367	0.0903	271015.6250	-0.7012	0.4230	-0.0952	-0.5669	4.2549	-8.7043	0.0724	-0.0167	0.6344	271015.6250	0.3827	-0.2984	-0.0412	0.1152	9.5263	2.9349	0.1275	-0.5165	-0.3513	271015.6250	0.1340	-1.2240	1.2131	1.1064	9.7477	0.7754	0.0735	-0.5830	-0.2505	271015.6250	-0.0336	0.0541	-0.2400	0.0812	5.9395	-8.0172	-0.1880	1.3634	0.0775	271025.3906	-0.1522	-0.4238	-0.0091	-0.0514	9.6296	-2.0319	-0.1596	-0.6379	-0.1175	0.0000	0.0000
