Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
160546.8750	-100.6210	-58.8588	14.5526	-5.9861	8.4212	-2.0925	-0.5219	-0.6155	-0.1128	160546.8750	5.7581	-88.7126	99.9066	-6.7388	8.6098	-1.4621	-0.4327	-0.6543	0.1247	160546.8750	50.3508	-74.1862	20.0257	1.3796	9.8697	-11.9300	0.2515	0.5292	0.4207	160546.8750	-54.2630	68.0729	66.4117	-5.4887	10.4427	-0.2606	-0.0078	-0.5885	-0.3724	160546.8750	-9.9007	-36.7648	-124.6133	-4.0575	13.1840	2.2422	-0.2694	-0.5957	-0.2695	160546.8750	293.4348	13.7589	-108.6852	-3.3047	8.6417	-7.6851	-0.2860	1.2773	-0.1009	160556.6406	36.6581	-42.0463	16.5819	-2.1160	13.2285	-1.5235	-0.2319	-0.6437	-0.1521	0.0000	0.0000
160556.6406	-100.6210	-58.8588	14.5526	-6.4669	5.2900	-2.3572	-0.5086	-0.6427	-0.1106	160556.6406	5.7581	-88.7126	99.9066	-9.2861	7.5102	-2.1477	-0.4327	-0.6543	0.1247	160556.6406	20.8725	-53.3115	17.8685	-4.4599	6.1836	-11.9116	0.2515	0.5292	0.4207	160556.6406	-54.2630	68.0729	66.4117	-4.7884	9.9845	0.1229	0.0059	-0.6255	-0.3583	160556.6406	-9.9007	-36.7648	-124.6133	-3.0403	12.9634	3.5086	-0.2837	-0.5915	-0.2568	160556.6406	293.4348	13.7589	-108.6852	-2.9045	9.4241	-7.0719	-0.2760	1.2563	-0.1221	160566.4062	36.6581	-42.0463	16.5819	-2.6693	13.0795	-1.1332	-0.2393	-0.6149	-0.1567	0.0000	0.0000
160566.4062	-100.6210	-58.8588	14.5526	-6.6617	5.6718	2.0781	-0.5010	-0.6369	-0.1193	160566.4062	5.7581	-88.7126	99.9066	-7.4552	7.8514	0.7545	-0.4154	-0.6719	0.1312	160566.4062	20.8725	-53.3115	17.8685	-0.9562	3.6983	-9.4632	0.2515	0.5458	0.4009	160566.4062	-54.2630	68.0729	66.4117	-3.8536	9.9081	0.7320	0.0412	-0.5658	-0.3560	160566.4062	-9.9007	-36.7648	-124.6133	-1.6320	14.2845	3.4164	-0.2837	-0.5915	-0.2568	160566.4062	293.4348	13.7589	-108.6852	-2.5181	11.7192	-7.8420	-0.2820	1.2185	-0.1667	160576.1719	36.6581	-42.0463	16.5819	-2.3477	12.0122	-0.8115	-0.2319	-0.6111	-0.1498	0.0000	0.0000
160576.1719	37.4435	80.0490	34.5546	-5.7613	8.4976	4.4474	-0.5048	-0.6485	-0.1280	160576.1719	2.3852	49.9302	73.8648	-4.5100	9.8046	0.9513	-0.3962	-0.6797	0.1118	160576.1719	20.8725	-53.3115	17.8685	0.6788	4.0087	-9.7900	0.2596	0.5667	0.4097	160576.1719	-54.2630	68.0729	66.4117	-2.9947	9.5263	1.4992	0.0412	-0.5658	-0.3560	160576.1719	-5.8884	-61.2280	-130.2033	-1.2408	14.4431	3.7309	-0.3163	-0.6128	-0.2632	160576.1719	293.4348	13.7589	-108.6852	-2.8324	11.4900	-7.7515	-0.2960	1.2311	-0.1948	160585.9375	9.9042	26.8352	35.1395	-1.4703	10.1024	-0.6369	-0.2226	-0.6111	-0.1544	0.0000	0.0000
160585.9375	37.4435	80.0490	34.5546	-3.7629	8.8795	5.0252	-0.4990	-0.6388	-0.1323	160585.9375	2.3852	49.9302	73.8648	-2.0423	11.5931	0.2866	-0.4058	-0.6680	0.1204	160585.9375	14.8780	-31.4291	11.8678	0.7567	5.1820	-10.1098	0.2596	0.5667	0.4097	160585.9375	-57.5386	41.6752	101.5190	-1.9075	9.4499	1.8751	0.0333	-0.5802	-0.3536	160585.9375	-5.8884	-61.2280	-130.2033	-0.6932	13.7370	3.1058	-0.3204	-0.6043	-0.2737	160585.9375	336.6361	61.8069	-183.7450	-1.8138	16.3301	-8.3463	-0.2960	1.2311	-0.1948	160595.7031	9.9042	26.8352	35.1395	-0.6757	9.1833	-0.7832	-0.2115	-0.6015	-0.1636	0.0000	0.0000
160595.7031	37.4435	80.0490	34.5546	-1.4541	9.0322	4.7750	-0.4952	-0.6524	-0.1367	160595.7031	2.3852	49.9302	73.8648	-0.3706	10.4148	-0.4761	-0.4058	-0.6680	0.1204	160595.7031	14.8780	-31.4291	11.8678	-0.4891	4.3994	-9.9359	0.2757	0.5604	0.4185	160595.7031	-57.5386	41.6752	101.5190	-0.7491	9.6026	1.6304	0.0686	-0.5823	-0.3349	160595.7031	-5.8884	-61.2280	-130.2033	1.2628	12.4708	0.9062	-0.3204	-0.6043	-0.2737	160595.7031	336.6361	61.8069	-183.7450	-3.3200	17.3910	-9.2130	-0.3080	1.1723	-0.2371	160605.4687	9.9042	26.8352	35.1395	-0.2831	8.7191	-1.3229	-0.2189	-0.6188	-0.1705	0.0000	0.0000
160605.4687	37.4435	80.0490	34.5546	0.1404	9.7959	4.8266	-0.4933	-0.6272	-0.1367	160605.4687	-1.7285	22.1445	60.7686	0.2662	9.4791	-0.3788	-0.3769	-0.6973	0.1054	160605.4687	14.8780	-31.4291	11.8678	0.6788	3.6227	-9.1715	0.2636	0.5563	0.3965	160605.4687	-57.5386	41.6752	101.5190	-0.1294	10.6718	1.6907	0.0686	-0.5823	-0.3349	160605.4687	3.2133	-41.5574	-123.5891	2.7494	11.6178	1.1517	-0.3367	-0.5809	-0.2653	160605.4687	336.6361	61.8069	-183.7450	-5.1782	15.4553	-5.8735	-0.3360	1.1996	-0.2770	160615.2344	-11.4119	21.8556	39.2199	-0.2878	9.0203	-1.7925	-0.2022	-0.6341	-0.1728	0.0000	0.0000
160615.2344	19.8300	35.9784	47.7582	1.8094	10.5597	4.3510	-0.4971	-0.6485	-0.1367	160615.2344	-1.7285	22.1445	60.7686	0.0274	9.7345	1.7390	-0.3673	-0.6738	0.1032	160615.2344	10.1879	-28.8816	8.0022	1.1460	4.2447	-9.7202	0.2656	0.5542	0.3943	160615.2344	-44.5278	30.9017	135.5764	0.3401	12.3520	2.2096	0.0922	-0.5741	-0.3349	160615.2344	3.2133	-41.5574	-123.5891	3.8447	10.0698	1.8783	-0.3408	-0.5894	-0.2695	160615.2344	320.9460	93.9589	-216.9391	-2.3034	20.9175	-10.0203	-0.3360	1.1996	-0.2770	160625.0000	-11.4119	21.8556	39.2199	-0.1310	9.0180	-2.0258	-0.2096	-0.6169	-0.1705	0.0000	0.0000
160625.0000	19.8300	35.9784	47.7582	2.1236	10.9415	3.8929	-0.4895	-0.6350	-0.1453	160625.0000	-1.7285	22.1445	60.7686	-0.1318	9.9819	3.0706	-0.3673	-0.6699	0.1161	160625.0000	10.1879	-28.8816	8.0022	0.0560	3.8565	-9.3212	0.2656	0.5542	0.3943	160625.0000	-44.5278	30.9017	135.5764	1.0410	13.8795	2.6506	0.1255	-0.5514	-0.3208	160625.0000	3.2133	-41.5574	-123.5891	5.0183	8.3513	1.1054	-0.3571	-0.5787	-0.2863	160625.0000	320.9460	93.9589	-216.9391	-4.6099	19.8747	-12.1026	-0.3520	1.1408	-0.3028	160634.7656	-11.4119	21.8556	39.2199	0.1820	9.2419	-2.5724	-0.1929	-0.6054	-0.1544	0.0000	0.0000
160634.7656	19.8300	35.9784	47.7582	2.6830	10.3305	4.0438	-0.4857	-0.6485	-0.1388	160634.7656	0.5491	-4.9041	51.5654	0.0274	10.0450	1.5755	-0.3673	-0.6699	0.1161	160634.7656	10.1879	-28.8816	8.0022	-0.1776	3.4675	-9.0077	0.2716	0.5437	0.4163	160634.7656	-44.5278	30.9017	135.5764	1.6615	15.1014	2.7865	0.1412	-0.5329	-0.2998	160634.7656	17.9831	17.2128	-88.0190	7.0526	7.8030	0.7158	-0.3571	-0.5787	-0.2863	160634.7656	320.9460	93.9589	-216.9391	-7.1061	19.4647	-9.4972	-0.3560	1.1513	-0.3474	160644.5312	-11.4119	21.8556	39.2199	0.6580	9.4697	-2.7302	-0.1985	-0.6398	-0.1682	0.0000	0.0000
160644.5312	11.8960	3.9467	44.4598	2.4432	10.2542	3.9717	-0.4705	-0.6505	-0.1518	160644.5312	0.5491	-4.9041	51.5654	-0.6095	9.9623	1.1054	-0.3615	-0.6934	0.1183	160644.5312	10.1879	-28.8816	8.0022	-0.4891	3.8535	-9.6231	0.2656	0.5271	0.3789	160644.5312	-43.8084	12.9007	135.5516	1.9679	15.1778	2.4739	0.1412	-0.5329	-0.2998	160644.5312	17.9831	17.2128	-88.0190	7.6785	7.8196	2.3749	-0.3633	-0.5638	-0.2821	160644.5312	222.1018	76.4981	-240.2605	-4.2352	12.9815	-14.0418	-0.3920	1.1197	-0.3779	160654.2969	-13.4725	3.0574	26.3458	1.0537	9.5438	-2.9642	-0.1892	-0.6533	-0.1613	0.0000	0.0000
160654.2969	11.8960	3.9467	44.4598	0.3667	10.1778	3.5420	-0.4648	-0.6660	-0.1432	160654.2969	0.5491	-4.9041	51.5654	-2.0423	9.8858	1.2642	-0.3519	-0.6758	0.1032	160654.2969	11.6716	-23.3966	4.4843	-1.7348	4.2488	-9.3073	0.2656	0.5271	0.3789	160654.2969	-43.8084	12.9007	135.5516	1.9649	14.0322	2.1766	0.1804	-0.5823	-0.3115	160654.2969	17.9831	17.2128	-88.0190	7.9914	8.3106	4.8194	-0.3551	-0.5617	-0.2905	160654.2969	222.1018	76.4981	-240.2605	-3.7883	7.2303	-16.6422	-0.3920	1.1197	-0.3779	160664.0625	-13.4725	3.0574	26.3458	1.2137	9.5446	-2.8865	-0.2152	-0.6533	-0.1567	0.0000	0.0000
160664.0625	11.8960	3.9467	44.4598	-1.1505	10.1014	3.2571	-0.4533	-0.6563	-0.1562	160664.0625	3.1269	8.4662	39.7070	-3.0771	9.9521	0.0835	-0.3596	-0.6934	0.1183	160664.0625	11.6716	-23.3966	4.4843	-1.4234	3.9382	-8.9999	0.2716	0.5604	0.3921	160664.0625	-43.8084	12.9007	135.5516	1.1085	12.6575	1.6585	0.2000	-0.5288	-0.3021	160664.0625	33.2094	55.8959	-41.8518	7.9132	8.7756	4.6567	-0.3551	-0.5617	-0.2905	160664.0625	222.1018	76.4981	-240.2605	-3.7737	17.6603	-7.2989	-0.4000	1.0987	-0.3944	160673.8281	-13.4725	3.0574	26.3458	1.0552	9.7748	-2.8110	-0.1892	-0.6245	-0.1659	0.0000	0.0000
160673.8281	1.3890	23.4596	62.3435	-2.4233	9.8723	3.4978	-0.4514	-0.6718	-0.1475	160673.8281	3.1269	8.4662	39.7070	-4.1915	10.1838	-0.1570	-0.3596	-0.6934	0.1183	160673.8281	11.6716	-23.3966	4.4843	-0.7226	3.7790	-9.2358	0.2797	0.5292	0.4119	160673.8281	-14.2507	-5.2031	142.8601	0.6512	11.6647	2.3678	0.2059	-0.5412	-0.2881	160673.8281	33.2094	55.8959	-41.8518	8.6174	7.8895	1.5841	-0.3612	-0.6064	-0.3137	160673.8281	-72.2188	-53.9903	-35.9862	-4.1507	20.2288	-21.3527	-0.4160	1.0756	-0.3873	160683.5937	-17.3516	-7.0380	14.1507	0.6588	9.7763	-2.6555	-0.1911	-0.6475	-0.1636	0.0000	0.0000
160683.5937	1.3890	23.4596	62.3435	-3.5382	9.7959	3.5849	-0.4514	-0.6427	-0.1475	160683.5937	3.1269	8.4662	39.7070	-4.1915	10.4265	0.7030	-0.3346	-0.7109	0.1054	160683.5937	9.9887	-7.1353	-0.9923	-0.8005	4.1719	-9.1622	0.2797	0.5229	0.3921	160683.5937	-14.2507	-5.2031	142.8601	0.0384	11.1301	2.9969	0.2059	-0.5412	-0.2881	160683.5937	33.2094	55.8959	-41.8518	6.9743	7.1222	2.6189	-0.3429	-0.5660	-0.3032	160683.5937	-72.2188	-53.9903	-35.9862	-7.9419	7.8170	-14.2624	-0.4100	1.0336	-0.3756	160693.3594	-17.3516	-7.0380	14.1507	0.0227	9.8535	-2.5785	-0.1911	-0.6552	-0.1544	0.0000	0.0000
160693.3594	1.3890	23.4596	62.3435	-3.9322	10.1014	4.0370	-0.4457	-0.6699	-0.1367	160693.3594	3.1269	8.4662	39.7070	-2.6791	10.3477	0.6260	-0.3327	-0.6738	0.1032	160693.3594	9.9887	-7.1353	-0.9923	-0.3333	3.7043	-8.8548	0.2797	0.5229	0.3921	160693.3594	-14.2507	-5.2031	142.8601	0.0415	11.2828	3.3041	0.2294	-0.5473	-0.2974	160693.3594	-8.4024	18.8522	8.4593	4.0012	6.9825	4.2005	-0.3367	-0.6170	-0.2926	160693.3594	-72.2188	-53.9903	-35.9862	-11.5203	2.1353	-9.5399	-0.4100	1.0336	-0.3756	160703.1250	-17.3516	-7.0380	14.1507	-0.2957	10.0829	-2.5808	-0.2189	-0.6533	-0.1544	0.0000	0.0000
160703.1250	11.6560	24.5382	86.0861	-3.6058	9.1086	4.7957	-0.4381	-0.6583	-0.1562	160703.1250	-4.9568	45.7968	29.0422	-1.9627	10.0395	1.0253	-0.3327	-0.6934	0.1032	160703.1250	9.9887	-7.1353	-0.9923	-0.0219	3.7035	-8.9348	0.2777	0.5292	0.3744	160703.1250	-14.2507	-5.2031	142.8601	0.5893	11.3592	3.9155	0.2725	-0.5041	-0.2974	160703.1250	-8.4024	18.8522	8.4593	2.0452	5.2552	2.5586	-0.3367	-0.6170	-0.2926	160703.1250	-72.2188	-53.9903	-35.9862	-11.1059	-0.3656	-7.5081	-0.4060	1.0147	-0.3333	160712.8906	1.5686	-3.5871	6.2715	-0.1326	10.3926	-2.1951	-0.1967	-0.6303	-0.1590	0.0000	0.0000
160712.8906	11.6560	24.5382	86.0861	-2.2510	8.4976	4.7883	-0.4286	-0.6660	-0.1475	160712.8906	-4.9568	45.7968	29.0422	-1.0075	9.8874	1.4214	-0.3385	-0.6934	0.1140	160712.8906	13.6572	-4.8939	-2.1621	-0.3333	4.1718	-9.1668	0.2938	0.5375	0.3987	160712.8906	-1.2705	12.9494	158.0876	-0.5698	10.9010	4.0861	0.2725	-0.5041	-0.2974	160712.8906	-8.4024	18.8522	8.4593	1.1846	3.7589	0.6772	-0.3286	-0.5851	-0.2989	160712.8906	-117.0785	23.8057	49.6004	-9.4447	-0.3535	-6.9048	-0.4060	0.9622	-0.2981	160722.6562	1.5686	-3.5871	6.2715	0.1881	10.5479	-1.9633	-0.1985	-0.6648	-0.1659	0.0000	0.0000
160722.6562	11.6560	24.5382	86.0861	-0.9804	8.8031	4.3213	-0.4248	-0.6718	-0.1562	160722.6562	-4.9568	45.7968	29.0422	0.0274	9.8866	1.3428	-0.3212	-0.7012	0.1054	160722.6562	13.6572	-4.8939	-2.1621	-0.4891	4.0173	-8.9332	0.2938	0.5312	0.3987	160722.6562	-1.2705	12.9494	158.0876	0.1228	10.6718	3.6954	0.2843	-0.4609	-0.2810	160722.6562	-8.4024	18.8522	8.4593	1.6540	2.6600	-0.3389	-0.3327	-0.5979	-0.3032	160722.6562	-117.0785	23.8057	49.6004	-8.1094	1.4087	-7.3647	-0.4080	0.9286	-0.2512	160732.4219	1.5686	-3.5871	6.2715	0.5096	10.5510	-1.6523	-0.1929	-0.6456	-0.1590	0.0000	0.0000
160732.4219	11.6560	24.5382	86.0861	-0.6632	8.7267	4.1685	-0.4152	-0.6990	-0.1627	160732.4219	-4.9949	14.1070	16.8720	-0.1318	9.8078	1.2658	-0.3269	-0.6758	0.1032	160732.4219	13.6572	-4.8939	-2.1621	-0.3333	4.0165	-9.0116	0.2978	0.5312	0.3833	160732.4219	-1.2705	12.9494	158.0876	-1.2004	10.5191	2.9382	0.3020	-0.4588	-0.2834	160732.4219	-29.4926	11.7270	81.3701	2.6711	2.4220	-0.8106	-0.3327	-0.5979	-0.3032	160732.4219	-117.0785	23.8057	49.6004	-6.5449	3.7723	-8.5577	-0.4080	0.9286	-0.2512	160742.1875	14.1926	-8.7180	13.7223	0.6696	10.3224	-1.5722	-0.2078	-0.6398	-0.1567	0.0000	0.0000
160742.1875	-2.3084	23.4198	82.3575	-0.5880	8.8795	3.7150	-0.4076	-0.6913	-0.1757	160742.1875	-4.9949	14.1070	16.8720	-1.1667	9.9662	1.4985	-0.3269	-0.6758	0.1032	160742.1875	10.5192	-2.5004	-1.4074	-0.6448	4.0158	-9.0853	0.2877	0.5542	0.3678	160742.1875	11.2353	21.5778	137.0512	-1.5926	9.9081	2.4078	0.3059	-0.4588	-0.2857	160742.1875	-29.4926	11.7270	81.3701	2.6711	2.4220	-0.8106	-0.2878	-0.5851	-0.2842	160742.1875	-144.3423	100.4360	102.9953	-5.2917	5.9900	-9.3436	-0.3760	0.9118	-0.1854	160751.9531	14.1926	-8.7180	13.7223	0.6704	10.2467	-1.4937	-0.1911	-0.6169	-0.1590	0.0000	0.0000
160751.9531	-2.3084	23.4198	82.3575	-0.9887	9.0322	3.4918	-0.3924	-0.6971	-0.1649	160751.9531	-4.9949	14.1070	16.8720	-1.9627	9.8086	1.3444	-0.3423	-0.7129	0.1075	160751.9531	10.5192	-2.5004	-1.4074	-0.8783	4.1749	-8.8541	0.2918	0.5583	0.3855	160751.9531	11.2353	21.5778	137.0512	-1.5933	9.2208	2.3375	0.3059	-0.4588	-0.2857	160751.9531	-29.4926	11.7270	81.3701	3.8447	2.5037	-0.4164	-0.2694	-0.6170	-0.2989	160751.9531	-144.3423	100.4360	102.9953	-3.8808	7.5918	-10.1202	-0.3820	0.8739	-0.1221	160761.7187	14.1926	-8.7180	13.7223	0.4300	10.0922	-1.6477	-0.1892	-0.6188	-0.1521	0.0000	0.0000
160761.7187	-2.3084	23.4198	82.3575	-1.0692	9.1086	3.4167	-0.3962	-0.7029	-0.1670	160761.7187	-6.5626	10.9290	10.8619	-2.1219	9.8850	1.1856	-0.3154	-0.6895	0.0968	160761.7187	10.5192	-2.5004	-1.4074	-0.8005	4.1742	-8.9317	0.2918	0.5583	0.3855	160761.7187	11.2353	21.5778	137.0512	-1.5956	8.7625	2.1105	0.3471	-0.4383	-0.2740	160761.7187	-7.1420	104.3814	146.6863	4.9401	2.7473	0.6083	-0.2449	-0.6426	-0.3053	160761.7187	-144.3423	100.4360	102.9953	-1.9100	8.1315	-10.0908	-0.3480	0.9223	-0.0399	160771.4844	14.1926	-8.7180	13.7223	0.2732	9.7888	-1.4114	-0.1948	-0.6475	-0.1567	0.0000	0.0000
160771.4844	-2.8123	23.8084	87.7743	-1.4669	8.8795	3.4981	-0.3695	-0.6951	-0.1475	160771.4844	-6.5626	10.9290	10.8619	-1.9627	9.8078	1.2658	-0.3308	-0.6953	0.1011	160771.4844	10.5192	-2.5004	-1.4074	-0.4891	4.0972	-8.7804	0.2918	0.5146	0.3722	160771.4844	26.3738	63.9969	112.7612	-1.1305	8.4570	2.1861	0.3627	-0.3951	-0.2881	160771.4844	-7.1420	104.3814	146.6863	5.8007	2.8385	1.9506	-0.2449	-0.6426	-0.3053	160771.4844	-262.6348	66.6604	127.9638	-0.3251	7.6865	-9.2380	-0.3480	0.9223	-0.0399	160781.2500	-8.8402	-27.3801	11.9311	0.0368	9.2559	-1.1728	-0.2041	-0.6494	-0.1544	0.0000	0.0000
160781.2500	-2.8123	23.8084	87.7743	-1.2270	8.8031	3.5717	-0.3657	-0.6893	-0.1605	160781.2500	-6.5626	10.9290	10.8619	-1.0871	9.6486	0.9544	-0.3308	-0.6953	0.1011	160781.2500	6.0040	1.9980	-0.9067	-0.5669	3.7843	-8.6996	0.2897	0.5625	0.3767	160781.2500	26.3738	63.9969	112.7612	-1.5963	8.3043	2.0379	0.3667	-0.3889	-0.2763	160781.2500	-7.1420	104.3814	146.6863	5.8007	3.2367	2.8948	-0.1959	-0.6489	-0.2989	160781.2500	-262.6348	66.6604	127.9638	0.9495	6.4813	-7.8862	-0.3280	0.9286	0.0399	160791.0156	-8.8402	-27.3801	11.9311	-0.2816	9.0265	-1.1705	-0.1855	-0.6303	-0.1636	0.0000	0.0000
160791.0156	-2.8123	23.8084	87.7743	-0.9887	8.5740	3.4964	-0.3467	-0.6913	-0.1540	160791.0156	-7.6168	27.5659	9.1571	-0.1318	9.6454	0.6400	-0.3269	-0.7324	0.1054	160791.0156	6.0040	1.9980	-0.9067	-0.3333	3.8635	-8.6259	0.2837	0.5042	0.3899	160791.0156	26.3738	63.9969	112.7612	-1.5119	7.7697	2.7372	0.3667	-0.3889	-0.2763	160791.0156	-3.2954	113.3755	203.7528	5.2531	3.8564	2.6516	-0.1367	-0.6574	-0.3074	160791.0156	-262.6348	66.6604	127.9638	1.5880	5.8041	-7.0894	-0.2920	0.9664	0.1268	160800.7812	-8.8402	-27.3801	11.9311	-0.4392	8.5693	-1.0104	-0.1948	-0.6398	-0.1544	0.0000	0.0000
160800.7812	-8.2698	30.6902	81.7923	-0.9113	8.5740	3.2700	-0.3448	-0.6990	-0.1562	160800.7812	-7.6168	27.5659	9.1571	0.5050	9.7266	0.9529	-0.3077	-0.6836	0.1032	160800.7812	6.0040	1.9980	-0.9067	-0.5669	3.7836	-8.7765	0.2837	0.5042	0.3899	160800.7812	30.4301	99.8274	77.9608	-1.0476	7.5406	2.7348	0.3725	-0.3930	-0.2553	160800.7812	-3.2954	113.3755	203.7528	4.5489	3.8532	2.3355	-0.1367	-0.6574	-0.3074	160800.7812	-262.6348	66.6604	127.9638	1.1248	5.2844	-6.1145	-0.2540	1.0084	0.1761	160810.5469	-19.1216	-38.2776	-0.0837	-0.9956	8.2643	-0.9295	-0.2004	-0.6648	-0.1498	0.0000	0.0000
160810.5469	-8.2698	30.6902	81.7923	-0.5932	8.5740	3.1916	-0.3352	-0.7223	-0.1649	160810.5469	-7.6168	27.5659	9.1571	0.9826	9.7211	0.4026	-0.3308	-0.6836	0.1011	160810.5469	8.8861	2.6599	-0.1687	-0.5669	3.8620	-8.7772	0.2938	0.5542	0.3921	160810.5469	30.4301	99.8274	77.9608	-0.7373	7.3878	2.8105	0.3922	-0.4177	-0.2600	160810.5469	-3.2954	113.3755	203.7528	3.7665	3.5359	1.7066	-0.1000	-0.6574	-0.3116	160810.5469	-299.9680	-48.9374	129.6237	0.2588	5.4404	-6.0207	-0.2540	1.0084	0.1761	160820.3125	-19.1216	-38.2776	-0.0837	-1.3116	7.7314	-0.6909	-0.2004	-0.6264	-0.1406	0.0000	0.0000
160820.3125	-8.2698	30.6902	81.7923	-0.1963	8.5740	3.0373	-0.3352	-0.7184	-0.1757	160820.3125	-7.6168	27.5659	9.1571	1.9378	9.4862	0.3287	-0.3308	-0.6836	0.1011	160820.3125	8.8861	2.6599	-0.1687	-0.5669	3.7836	-8.7765	0.2837	0.5375	0.3656	160820.3125	30.4301	99.8274	77.9608	0.1905	7.0823	2.7270	0.3922	-0.4177	-0.2600	160820.3125	-15.9700	74.3917	254.2896	3.3753	3.3772	1.3922	-0.0653	-0.6511	-0.3053	160820.3125	-299.9680	-48.9374	129.6237	-0.4546	6.3565	-6.4228	-0.2180	1.0714	0.2371	160830.0781	-19.1216	-38.2776	-0.0837	-1.7089	7.5793	-0.6116	-0.1855	-0.6264	-0.1498	0.0000	0.0000
160830.0781	-8.2698	30.6902	81.7923	-0.1181	8.8031	2.8838	-0.3086	-0.7184	-0.1649	160830.0781	-3.4890	13.0502	14.0225	2.5746	9.4909	0.8004	-0.3135	-0.7227	0.0989	160830.0781	8.8861	2.6599	-0.1687	-0.3333	3.7059	-8.7012	0.2837	0.5375	0.3656	160830.0781	30.4301	99.8274	77.9608	1.4240	7.0060	2.2523	0.4157	-0.3374	-0.2389	160830.0781	-15.9700	74.3917	254.2896	3.4535	3.2217	1.3937	0.0102	-0.6404	-0.3032	160830.0781	-299.9680	-48.9374	129.6237	-1.3329	8.0282	-7.5531	-0.1920	1.0966	0.2770	160839.8437	-16.3971	-30.1498	3.1260	-2.0280	7.5021	-0.6886	-0.1967	-0.6188	-0.1406	0.0000	0.0000
