Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
158007.8125	2.4797	0.1900	0.6625	-2.4353	9.3377	2.3000	-0.2457	-0.7243	-0.1779	158007.8125	-0.9947	-0.1235	-0.0771	0.2662	9.7960	0.0866	-0.2577	-0.6699	0.0452	158007.8125	0.1414	0.2771	-0.1203	-0.6448	3.9412	-8.7004	0.0322	-0.0167	0.6145	158007.8125	1.1480	0.5560	0.0282	-0.0426	9.5263	2.6277	0.1059	-0.4959	-0.3489	158007.8125	0.5315	0.4073	-0.1797	0.9499	9.7485	0.8544	0.0673	-0.5532	-0.2126	158007.8125	1.1217	-0.9956	-0.2040	0.0820	5.9411	-7.9376	-0.2780	1.3761	0.1197	158017.5781	-1.1822	0.2724	0.4261	0.0367	9.7911	-1.1781	-0.1800	-0.6379	-0.1728	0.0000	0.0000
158017.5781	2.4797	0.1900	0.6625	-2.5962	9.2613	2.1519	-0.2457	-0.7243	-0.1692	158017.5781	0.0488	0.7536	-0.5829	0.1866	9.7960	0.0866	-0.2577	-0.6699	0.0452	158017.5781	0.1414	0.2771	-0.1203	-0.7226	4.0188	-8.7773	0.0322	-0.0167	0.6145	158017.5781	1.1480	0.5560	0.0282	-0.0411	9.4499	2.7829	0.0882	-0.5185	-0.3489	158017.5781	0.1911	-0.4146	-0.6934	0.7934	9.7477	0.7754	0.0714	-0.5617	-0.2211	158017.5781	0.4815	-0.5590	-0.2342	-0.0757	5.9412	-7.9345	-0.2800	1.3361	0.1221	158027.3437	-1.1822	0.2724	0.4261	-0.0421	9.8683	-1.1011	-0.1911	-0.6571	-0.1659	0.0000	0.0000
158027.3437	2.4797	0.1900	0.6625	-2.5157	9.1850	2.2271	-0.2533	-0.6990	-0.1714	158027.3437	0.0488	0.7536	-0.5829	0.1866	9.7960	0.0866	-0.2442	-0.6426	0.0344	158027.3437	0.1414	0.2771	-0.1203	-0.7226	4.1757	-8.7788	0.0241	-0.0208	0.6167	158027.3437	1.1480	0.5560	0.0282	0.1113	9.5263	2.5490	0.0882	-0.5185	-0.3489	158027.3437	0.1911	-0.4146	-0.6934	0.7152	9.7493	0.9334	0.0694	-0.5681	-0.2232	158027.3437	0.4815	-0.5590	-0.2342	-0.1528	5.8674	-7.7723	-0.2800	1.3361	0.1221	158037.1094	-1.5476	-0.2876	0.3953	0.0367	9.8675	-1.1789	-0.1818	-0.6207	-0.1544	0.0000	0.0000
158037.1094	1.0758	0.0199	0.6364	-2.5954	9.2613	2.2271	-0.2533	-0.7165	-0.1605	158037.1094	0.0488	0.7536	-0.5829	0.3458	9.7952	0.0080	-0.2635	-0.6484	0.0344	158037.1094	0.2752	0.1715	-0.2747	-0.7226	4.0188	-8.7773	0.0443	-0.0125	0.6278	158037.1094	1.2858	0.5972	0.5850	0.1098	9.6790	2.3931	0.1039	-0.5329	-0.3513	158037.1094	0.1911	-0.4146	-0.6934	0.8716	9.5922	0.7769	0.0694	-0.5681	-0.2232	158037.1094	0.4815	-0.5590	-0.2342	-0.0748	5.8658	-7.8534	-0.2820	1.3571	0.1150	158046.8750	-1.5476	-0.2876	0.3953	0.1967	9.7154	-1.0996	-0.1837	-0.6207	-0.1636	0.0000	0.0000
158046.8750	1.0758	0.0199	0.6364	-2.5932	9.2613	2.4527	-0.2533	-0.7165	-0.1714	158046.8750	0.0488	0.7536	-0.5829	0.5050	9.7960	0.0866	-0.2558	-0.6855	0.0366	158046.8750	0.2752	0.1715	-0.2747	-0.5669	4.0204	-8.6252	0.0443	-0.0125	0.6278	158046.8750	1.2858	0.5972	0.5850	0.0347	9.6026	2.6262	0.0843	-0.5041	-0.3513	158046.8750	0.1911	-0.4146	-0.6934	0.7934	9.6708	0.8551	0.0776	-0.5723	-0.2211	158046.8750	0.8878	-0.6983	-0.1849	0.0039	5.9427	-7.8565	-0.2940	1.3571	0.1244	158056.6406	-1.5476	-0.2876	0.3953	0.0368	9.4853	-1.1750	-0.1763	-0.6169	-0.1659	0.0000	0.0000
158056.6406	1.0758	0.0199	0.6364	-2.5150	9.2613	2.3015	-0.2457	-0.7087	-0.1627	158056.6406	0.4453	1.4709	-0.6480	0.3458	9.7195	0.2454	-0.2558	-0.6855	0.0366	158056.6406	0.2752	0.1715	-0.2747	-0.6448	4.0973	-8.7788	0.0382	0.0021	0.6233	158056.6406	1.2858	0.5972	0.5850	0.0340	9.6026	2.5490	0.1059	-0.5123	-0.3396	158056.6406	1.1340	1.1044	-0.8773	0.8716	9.8263	0.8536	0.0878	-0.5596	-0.2253	158056.6406	0.8878	-0.6983	-0.1849	-0.0757	5.9412	-7.9345	-0.2840	1.3676	0.1291	158066.4062	-1.5476	-0.2876	0.3953	-0.0437	9.7903	-1.2559	-0.1800	-0.6188	-0.1659	0.0000	0.0000
158066.4062	0.6106	3.7987	0.1360	-2.4368	9.1850	2.1511	-0.2495	-0.7068	-0.1627	158066.4062	0.4453	1.4709	-0.6480	0.3458	9.7976	0.2439	-0.2577	-0.6543	0.0387	158066.4062	0.2752	0.1715	-0.2747	-0.8005	4.0996	-8.5468	0.0382	-0.0021	0.6145	158066.4062	1.0103	-0.3207	-0.2164	-0.0419	9.6026	2.7042	0.1059	-0.5123	-0.3396	158066.4062	1.1340	1.1044	-0.8773	1.0281	9.8271	0.9326	0.0673	-0.6021	-0.2295	158066.4062	0.8878	-0.6983	-0.1849	-0.1553	6.0166	-8.0140	-0.2840	1.3676	0.1291	158076.1719	-3.0432	0.2422	-0.0904	0.0375	9.7154	-1.0996	-0.1818	-0.6494	-0.1659	0.0000	0.0000
158076.1719	0.6106	3.7987	0.1360	-2.3548	9.3377	2.3744	-0.2419	-0.7282	-0.1714	158076.1719	0.4453	1.4709	-0.6480	0.5050	9.7180	0.0882	-0.2635	-0.6777	0.0344	158076.1719	-0.1238	-0.1515	-0.0307	-0.8005	4.0973	-8.7773	0.0443	0.0083	0.6278	158076.1719	1.0103	-0.3207	-0.2164	-0.1177	9.6026	2.8593	0.0941	-0.5370	-0.3560	158076.1719	1.1340	1.1044	-0.8773	1.1846	9.7493	0.9334	0.0673	-0.6021	-0.2295	158076.1719	0.9792	-0.5127	-0.4149	0.0039	6.0197	-7.8580	-0.3040	1.3782	0.1268	158085.9375	-3.0432	0.2422	-0.0904	0.0367	9.7146	-1.1773	-0.1985	-0.6609	-0.1590	0.0000	0.0000
158085.9375	0.6106	3.7987	0.1360	-2.1955	9.5668	2.3705	-0.2457	-0.7282	-0.1757	158085.9375	0.2333	0.9801	-0.5710	0.5846	9.7976	0.2439	-0.2635	-0.6777	0.0344	158085.9375	-0.1238	-0.1515	-0.0307	-0.8005	4.0204	-8.6228	0.0443	0.0083	0.6278	158085.9375	1.0103	-0.3207	-0.2164	0.1137	9.5263	2.7806	0.1059	-0.5350	-0.3466	158085.9375	-0.6897	0.7405	-0.4061	1.1064	9.7485	0.8544	0.0898	-0.5426	-0.2253	158085.9375	0.9792	-0.5127	-0.4149	-0.0749	5.9428	-7.8549	-0.2980	1.3697	0.1244	158095.7031	-3.0432	0.2422	-0.0904	0.0383	9.6397	-1.0211	-0.1911	-0.6207	-0.1705	0.0000	0.0000
158095.7031	1.1407	4.1310	0.2865	-2.1954	9.2613	2.3735	-0.2438	-0.7262	-0.1779	158095.7031	0.2333	0.9801	-0.5710	0.5050	9.7968	0.1652	-0.2538	-0.6719	0.0409	158095.7031	-0.1238	-0.1515	-0.0307	-0.6448	4.0188	-8.7780	0.0503	0.0208	0.6256	158095.7031	1.0103	-0.3207	-0.2164	0.0370	9.5263	2.8585	0.1118	-0.4918	-0.3396	158095.7031	-0.6897	0.7405	-0.4061	1.3411	9.6716	0.9341	0.0816	-0.5277	-0.2232	158095.7031	0.9792	-0.5127	-0.4149	0.0047	6.0213	-7.7785	-0.2960	1.3718	0.1197	158105.4687	-2.4024	0.7265	0.0961	0.1171	9.6390	-1.0988	-0.1948	-0.6360	-0.1613	0.0000	0.0000
