Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3501191.4062	2.9910	-0.4902	-0.3918	9.0298	3.6862	1.1137	-0.9219	-0.4932	-0.0521	3502783.2031	-3.9157	4.4985	-6.1045	-1.6443	9.7282	1.1101	0.3885	-0.7793	0.0667	3502304.6875	1.4727	1.1603	-1.2347	0.9903	6.3083	-7.2807	0.2435	-0.6771	0.3811	3502265.6250	1.2246	0.3069	-0.7113	-7.5162	2.3473	5.9395	0.2529	-0.4979	-0.6792	3502363.2812	3509015598.8520	3509012096.4887	0.1136	0.4727	0.6940	1.0281	8.8510	4.4189	-0.5082	-0.4638	-0.6947	3502568.3594	-0.0830	0.5195	-0.4986	-0.3761	7.5882	-6.4490	-0.4000	0.6113	-0.1549	3499755.8594	-0.5795	-0.2573	-0.1435	1.4789	9.7240	-0.2443	-0.0093	-0.7414	0.3548	0.0000	0.0000
3501201.1719	2.9910	-0.4902	-0.3918	9.0306	3.6098	1.1897	-0.9200	-0.5126	-0.0390	3502792.9687	-3.9157	4.4985	-6.1045	-2.0423	9.7305	1.3459	0.3923	-0.8184	0.0538	3502314.4531	1.4727	1.1603	-1.2347	0.8345	6.3099	-7.1255	0.2555	-0.6250	0.4075	3502275.3906	1.5766	-0.0252	-0.4458	-7.5951	2.2709	5.7867	0.2686	-0.4630	-0.6323	3502373.0469	3509015598.8618	3509012096.4887	0.1136	0.4727	0.6940	1.1064	8.8502	4.3399	-0.5082	-0.4638	-0.6947	3502578.1250	-0.1141	0.2164	-0.4796	-0.3753	7.5898	-6.3694	-0.4000	0.6113	-0.1549	3499765.6250	-0.5795	-0.2573	-0.1435	1.3985	9.6467	-0.3213	-0.0408	-0.7184	0.3756	0.0000	0.0000
3501210.9375	3.0682	-0.3375	-0.4574	9.1907	3.3807	1.2656	-0.9048	-0.5282	-0.0564	3502802.7344	-2.9971	3.2998	-4.0752	-2.0423	9.7297	1.2673	0.4308	-0.7695	0.0559	3502324.2187	0.4634	0.5213	-0.9877	0.9124	6.2291	-7.3559	0.2555	-0.6250	0.4075	3502285.1562	1.5766	-0.0252	-0.4458	-7.5177	2.3473	5.7851	0.2686	-0.4630	-0.6323	3502382.8125	3509015598.8715	3509012096.4887	0.2723	-0.5071	1.3274	1.0281	9.0073	4.4963	-0.4837	-0.3957	-0.7368	3502587.8906	-0.1141	0.2164	-0.4796	-0.3761	7.5112	-6.4474	-0.3380	0.6324	-0.1479	3499775.3906	-0.5795	-0.2573	-0.1435	1.3197	9.7240	-0.2443	-0.0353	-0.7471	0.3618	0.0000	0.0000
3501220.7031	3.0682	-0.3375	-0.4574	9.0306	3.4570	1.1912	-0.9410	-0.5029	-0.0412	3502812.5000	-2.9971	3.2998	-4.0752	-1.6443	9.5753	1.4277	0.3808	-0.8105	0.0710	3502333.9844	0.4634	0.5213	-0.9877	0.9124	6.3099	-7.1262	0.2173	-0.6375	0.4537	3502294.9219	1.5766	-0.0252	-0.4458	-7.5170	2.3473	5.8623	0.2255	-0.5123	-0.6323	3502392.5781	3509015598.8813	3509012096.4887	0.2723	-0.5071	1.3274	1.0281	8.9280	4.3391	-0.4469	-0.4213	-0.7474	3502597.6562	-0.1141	0.2164	-0.4796	-0.2980	7.5096	-6.5286	-0.4040	0.6282	-0.0915	3499785.1562	0.6519	-0.1211	-0.2231	1.4797	9.6483	-0.1657	-0.0278	-0.7203	0.3779	0.0000	0.0000
3501230.4687	3.0682	-0.3375	-0.4574	9.0313	3.6098	1.2649	-0.9029	-0.5010	-0.0542	3502822.2656	-2.9971	3.2998	-4.0752	-1.4851	9.4145	0.9591	0.3808	-0.8105	0.0710	3502343.7500	0.4634	0.5213	-0.9877	0.9903	6.2307	-7.2031	0.2435	-0.6458	0.3943	3502304.6875	1.5766	-0.0252	-0.4458	-7.5185	2.2709	5.7087	0.2373	-0.4918	-0.6768	3502402.3437	3509015598.8911	3509012096.4887	0.2723	-0.5071	1.3274	1.0281	8.9280	4.3391	-0.4469	-0.4213	-0.7474	3502607.4219	-0.2383	0.3714	-0.4173	-0.3753	7.5898	-6.3694	-0.3880	0.5987	-0.1549	3499794.9219	0.6519	-0.1211	-0.2231	1.3993	9.6475	-0.2435	-0.0167	-0.7414	0.3548	0.0000	0.0000
3501240.2344	2.9809	-1.0117	-0.6322	9.0298	3.6098	1.1145	-0.9048	-0.4951	-0.0325	3502832.0312	-2.9971	3.2998	-4.0752	-1.3259	9.4137	0.8805	0.3923	-0.8047	0.0495	3502353.5156	0.1461	-0.2439	-0.9162	0.9124	6.2291	-7.3559	0.2575	-0.6042	0.4075	3502314.4531	1.8981	-0.6318	0.0019	-7.6733	2.3473	5.7095	0.2745	-0.4959	-0.6276	3502412.1094	3509015598.9008	3509012096.4887	0.2723	-0.5071	1.3274	1.1064	9.0835	4.3376	-0.4796	-0.4532	-0.6926	3502617.1875	-0.2383	0.3714	-0.4173	-0.2169	7.5913	-6.2930	-0.3880	0.5987	-0.1549	3499804.6875	0.6519	-0.1211	-0.2231	1.5577	9.6467	-0.3213	-0.0390	-0.7280	0.3733	0.0000	0.0000
3501250.0000	2.9809	-1.0117	-0.6322	9.0298	3.6098	1.1145	-0.9010	-0.5223	-0.0477	3502841.7969	-5.4965	12.3241	-2.4150	-1.2463	9.4129	0.8019	0.4250	-0.7832	0.0581	3502363.2812	0.1461	-0.2439	-0.9162	0.9124	6.3068	-7.4335	0.2575	-0.6042	0.4075	3502324.2187	1.8981	-0.6318	0.0019	-7.5185	2.2709	5.7087	0.2745	-0.4959	-0.6276	3502421.8750	3509015598.9106	3509012096.4887	-0.1114	-0.3504	1.0533	1.0281	8.9287	4.4181	-0.5000	-0.4128	-0.7158	3502626.9531	-0.2383	0.3714	-0.4173	-0.2184	7.5112	-6.4506	-0.3420	0.6492	-0.1338	3499814.4531	0.1195	-0.1362	-0.2169	1.4789	9.8004	-0.2450	-0.0111	-0.7548	0.3594	0.0000	0.0000
3501259.7656	2.9809	-1.0117	-0.6322	9.0321	3.6098	1.3401	-0.9086	-0.4990	-0.0369	3502851.5625	-5.4965	12.3241	-2.4150	-1.2463	9.3357	0.8821	0.3827	-0.8008	0.0731	3502373.0469	0.1461	-0.2439	-0.9162	0.9124	6.3091	-7.2031	0.2193	-0.6500	0.4383	3502333.9844	1.8981	-0.6318	0.0019	-7.5959	2.2709	5.7095	0.2294	-0.5370	-0.6534	3502431.6406	3509015598.9204	3509012096.4887	-0.1114	-0.3504	1.0533	0.8716	8.9280	4.3391	-0.4429	-0.4128	-0.7558	3502636.7187	-0.1600	0.2003	-0.3879	-0.2973	7.5882	-6.4505	-0.3980	0.6134	-0.0869	3499824.2187	0.1195	-0.1362	-0.2169	1.5585	9.7240	-0.2443	-0.0390	-0.7414	0.3571	0.0000	0.0000
3501269.5312	2.9809	-1.0117	-0.6322	9.1088	3.6862	1.0377	-0.8819	-0.5301	-0.0456	3502861.3281	-5.4965	12.3241	-2.4150	-1.3259	9.6494	1.0331	0.3827	-0.8008	0.0731	3502382.8125	1.0708	-0.0600	-0.6043	0.8345	6.1515	-7.2775	0.2435	-0.6479	0.4075	3502343.7500	2.3266	-1.7214	0.4383	-7.5951	2.3473	5.7859	0.2412	-0.4630	-0.6768	3502441.4062	3509015598.9301	3509012096.4887	-0.1114	-0.3504	1.0533	0.7934	8.8510	4.4189	-0.4429	-0.4128	-0.7558	3502646.4844	-0.1600	0.2003	-0.3879	-0.3753	7.5898	-6.3694	-0.4200	0.6071	-0.1573	3499833.9844	0.1195	-0.1362	-0.2169	1.5585	9.6475	-0.2435	-0.0204	-0.7854	0.3548	0.0000	0.0000
3501279.2969	2.6252	-1.2076	-0.6077	9.0298	3.4570	1.1160	-0.9238	-0.5029	-0.0347	3502871.0937	-1.8795	7.2186	-1.9101	-1.2463	9.4153	1.0377	0.3923	-0.7930	0.0581	3502392.5781	1.0708	-0.0600	-0.6043	0.9124	6.3099	-7.1262	0.2435	-0.6479	0.4075	3502353.5156	2.3266	-1.7214	0.4383	-7.5951	2.2709	5.7867	0.2627	-0.5041	-0.6370	3502451.1719	3509015598.9399	3509012096.4887	0.1002	0.1824	0.8749	0.9499	8.7724	4.3407	-0.4776	-0.4426	-0.7074	3502656.2500	-0.1600	0.2003	-0.3879	-0.3769	7.5866	-6.5285	-0.4200	0.6071	-0.1573	3499843.7500	-1.4295	-0.5751	0.0420	1.3220	9.6498	-0.0102	-0.0353	-0.7337	0.3802	0.0000	0.0000
