Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
520136.7187	-0.2642	0.6470	-0.4386	8.9577	3.4570	1.8688	-0.7905	-0.5864	-0.1584	520136.7187	0.0555	0.6645	-0.0101	-0.2910	9.7968	0.1652	0.3192	-0.8496	0.2043	520136.7187	-0.1857	-0.2279	-0.0156	-0.4891	4.8876	-8.1736	0.4427	-0.5687	0.6410	519960.9375	0.5357	0.4453	-0.1040	-9.5301	1.6599	-1.9852	0.3882	-0.5741	-0.0351	520136.7187	3509012616.7445	3509012096.6078	0.1146	-0.0776	0.7957	1.0281	9.7438	0.3803	-0.6367	-0.6106	-0.1053	520136.7187	0.2450	-0.0260	-0.4729	-0.3066	6.4913	-7.3836	-0.6340	0.5630	0.2653	520136.7187	0.2434	-0.3633	0.0054	1.3962	6.8184	7.4057	0.1911	-0.7414	-0.3111	0.0000	0.0000
520146.4844	-0.2642	0.6470	-0.4386	8.9592	3.3807	2.0200	-0.7829	-0.5689	-0.1388	520146.4844	0.0555	0.6645	-0.0101	-0.2910	9.7187	0.1668	0.3192	-0.8496	0.2043	520146.4844	-0.1857	-0.2279	-0.0156	-0.5669	4.9653	-8.2505	0.4930	-0.5646	0.6101	519970.7031	0.5051	0.2042	-0.2419	-9.3746	1.5835	-1.9088	0.3627	-0.6193	-0.0445	520146.4844	3509012616.7543	3509012096.6078	0.1146	-0.0776	0.7957	0.8716	9.7446	0.4593	-0.6184	-0.6809	-0.1474	520146.4844	0.2450	-0.0260	-0.4729	-0.3082	6.4881	-7.5428	-0.8300	0.6555	0.2535	520146.4844	0.2434	-0.3633	0.0054	1.4750	6.6647	7.3295	0.1707	-0.7835	-0.2972	0.0000	0.0000
520156.2500	-0.2642	0.6470	-0.4386	8.9584	3.3043	1.9455	-0.7714	-0.5495	-0.1627	520156.2500	0.0555	0.6645	-0.0101	-0.3706	9.7960	0.0866	0.3692	-0.8496	0.1763	520156.2500	-0.1857	-0.2279	-0.0156	-0.5669	4.9645	-8.3273	0.4648	-0.5333	0.6498	519980.4687	0.5051	0.2042	-0.2419	-9.3746	1.6599	-1.9096	0.3627	-0.6193	-0.0445	520156.2500	3509012616.7640	3509012096.6078	-0.1142	0.0164	0.7660	1.0281	9.5898	0.5399	-0.6061	-0.6298	-0.0905	520156.2500	0.2450	-0.0260	-0.4729	-0.3058	6.5699	-7.3056	-0.7500	0.6050	0.2183	520156.2500	0.2434	-0.3633	0.0054	1.5570	6.7435	7.5620	0.1855	-0.7586	-0.3065	0.0000	0.0000
520166.0156	-0.2446	0.8616	-0.3398	9.0389	3.4570	2.0184	-0.7962	-0.5534	-0.1280	520166.0156	-0.2057	0.2711	-0.0817	-0.2910	9.7968	0.1652	0.3750	-0.8340	0.2022	520166.0156	0.1051	-0.0311	-0.0318	-0.6448	4.8869	-8.2489	0.4648	-0.5333	0.6498	519990.2344	0.5051	0.2042	-0.2419	-9.4520	1.5835	-1.9080	0.4294	-0.6111	-0.0468	520166.0156	3509012616.7738	3509012096.6078	-0.1142	0.0164	0.7660	0.9499	9.8231	0.5376	-0.6347	-0.6021	-0.0947	520166.0156	0.2924	-0.2120	-0.4124	-0.3058	6.5699	-7.3056	-0.6460	0.5651	0.2793	520166.0156	0.2729	-0.1059	-0.0867	1.3166	6.7419	7.4065	0.1503	-0.7548	-0.2903	0.0000	0.0000
520175.7812	-0.2446	0.8616	-0.3398	9.0374	3.4570	1.8680	-0.7714	-0.5767	-0.1670	520175.7812	-0.2057	0.2711	-0.0817	-0.2114	9.7180	0.0882	0.3212	-0.8633	0.2108	520175.7812	0.1051	-0.0311	-0.0318	-0.4891	5.1206	-8.4065	0.4346	-0.5833	0.6344	520000.0000	0.4745	1.3693	-0.2589	-9.3738	1.7363	-1.8332	0.3784	-0.5905	-0.0398	520175.7812	3509012616.7836	3509012096.6078	-0.1142	0.0164	0.7660	0.9499	9.6676	0.5391	-0.6347	-0.6021	-0.0947	520175.7812	0.2924	-0.2120	-0.4124	-0.3862	6.4898	-7.4616	-0.6460	0.5651	0.2793	520175.7812	0.2729	-0.1059	-0.0867	1.3182	6.6670	7.5627	0.2004	-0.7452	-0.3065	0.0000	0.0000
520185.5469	-0.2446	0.8616	-0.3398	8.9577	3.4570	1.8688	-0.8095	-0.6039	-0.1258	520185.5469	-0.2057	0.2711	-0.0817	-0.2114	9.8740	0.0851	0.3212	-0.8633	0.2108	520185.5469	0.1051	-0.0311	-0.0318	-0.6448	4.9645	-8.3265	0.4909	-0.5771	0.5991	520009.7656	0.4745	1.3693	-0.2589	-9.4535	1.7363	-2.0640	0.3784	-0.6008	-0.0375	520185.5469	3509012616.7933	3509012096.6078	-0.0678	-0.5190	0.8372	1.0281	9.6668	0.4601	-0.6102	-0.6979	-0.1368	520185.5469	0.2924	-0.2120	-0.4124	-0.2286	6.5667	-7.4663	-0.8280	0.6513	0.2394	520185.5469	0.2729	-0.1059	-0.0867	1.2378	6.8956	7.4827	0.1614	-0.7529	-0.3041	0.0000	0.0000
520195.3125	0.0150	0.2453	-0.1431	9.0381	3.4570	1.9432	-0.7924	-0.5961	-0.1562	520195.3125	-0.2057	0.2711	-0.0817	-0.1318	9.7195	0.2454	0.3750	-0.8301	0.1699	520195.3125	-0.0281	0.1070	0.0318	-0.6448	5.0437	-8.2505	0.4748	-0.5396	0.6233	520019.5312	0.4745	1.3693	-0.2589	-9.3754	1.6599	-1.9868	0.3784	-0.6008	-0.0375	520195.3125	3509012616.8031	3509012096.6078	-0.0678	-0.5190	0.8372	0.9499	9.7454	0.5383	-0.6020	-0.6511	-0.1032	520195.3125	0.2920	-0.2258	-0.4573	-0.2286	6.4897	-7.4648	-0.7400	0.6071	0.2324	520195.3125	-0.0304	-0.1059	0.0012	1.3158	6.5882	7.3302	0.1892	-0.7510	-0.3226	0.0000	0.0000
